Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Sponsors],EVENT[Publisher]
33rd Annual National Conference on Artificial Intelligence,2019,AAAI,AAAI2019,27-Jan-2019,1-Feb-2019,,,,Honolulu,Hawaii,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI-19/,,AAAI
32nd Annual National Conference on Artificial Intelligence,2018,AAAI,AAAI2018,2-Feb-2018,7-Feb-2018,,,,New Orleans,Louisiana,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI-18/,Amazon,AAAI
31st Annual National Conference on Artificial Intelligence,2017,AAAI,AAAI2017,4-Feb-2017,9-Feb-2017,2590,638,24.6%,San Francisco,California,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai17.php,Amazon,AAAI
30th Annual National Conference on Artificial Intelligence,2016,AAAI,AAAI2016,12-Feb-2016,17-Feb-2016,2132,549,25.8%,Phoenix,Arizona,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai16.php,Microsoft Research,AAAI
29th Annual National Conference on Artificial Intelligence,2015,AAAI,AAAI2015,25-Jan-2015,30-Jan-2015,1991,531,26.7%,Austin,Texas,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai15.php,Microsoft Research,AAAI
28th Annual National Conference on Artificial Intelligence,2014,AAAI,AAAI2014,27-Jul-2014,31-Jul-2014,1406,398,28.3%,Québec,Québec,Canada,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai14.php,Amazon,AAAI
27th Annual National Conference on Artificial Intelligence,2013,AAAI,AAAI2013,14-Jul-2013,18-Jul-2013,827,203,24.5%,Bellevue,Washington,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai13.php,Amazon,AAAI
26th Annual National Conference on Artificial Intelligence,2012,AAAI,AAAI2012,22-Jul-2012,26-Jul-2012,1129,294,26.0%,Toronto,Ontario,Canada,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai12.php,Microsoft Research,AAAI
25th Annual National Conference on Artificial Intelligence,2011,AAAI,AAAI2011,7-Aug-2011,11-Aug-2011,975,242,24.8%,San Francisco,California,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai11.php,Google,AAAI
24th Annual National Conference on Artificial Intelligence,2010,AAAI,AAAI2010,11-Jul-2010,15-Jul-2010,982,264,26.9%,Atlanta,Georgia,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai10.php,Google,AAAI
23rd Annual National Conference on Artificial Intelligence,2008,AAAI,AAAI2008,13-Jul-2008,17-Jul-2008,937,227,24.2%,Chicago,Illinois,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai08.php,Google,AAAI
22nd Annual National Conference on Artificial Intelligence,2007,AAAI,AAAI2007,22-Jul-2007,26-Jul-2007,921,253,27.5%,Vancouver,British Columbia,Canada,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai07.php,Google,AAAI
21st Annual National Conference on Artificial Intelligence,2006,AAAI,AAAI2006,16-Jul-2006,20-Jul-2006,774,236,30.5%,Boston,Massachusetts,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai06.php,Google,AAAI
20th Annual National Conference on Artificial Intelligence,2005,AAAI,AAAI2005,9-Jul-2005,13-Jul-2005,803,229,28.5%,Pittsburgh,Pennsylvania,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai05.php,Google,AAAI
19th Annual National Conference on Artificial Intelligence,2004,AAAI,AAAI2004,25-Jul-2004,29-Jul-2004,453,121,26.7%,San Jose,California,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai04.php,Google,AAAI
18th Annual National Conference on Artificial Intelligence,2002,AAAI,AAAI2002,28-Jul-2002,1-Aug-2002,469,121,25.8%,Edmonton,Alberta,Canada,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai02.php,Microsoft Research,AAAI
17th Annual National Conference on Artificial Intelligence,2000,AAAI,AAAI2000,30-Jul-2000,3-Aug-2000,431,143,33.2%,Austin,Texas,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai00.php,Microsoft Research,AAAI
16th Annual National Conference on Artificial Intelligence,1999,AAAI,AAAI1999,18-Jul-1999,22-Jul-1999,400,109,27.3%,Orlando,Florida,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai99.php,Microsoft Research,AAAI
15th Annual National Conference on Artificial Intelligence,1998,AAAI,AAAI1998,26-Jul-1998,30-Jul-1998,475,144,30.3%,Madison,Wisconsin,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai98.php,Microsoft Research,AAAI
14th Annual National Conference on Artificial Intelligence,1997,AAAI,AAAI1997,27-Jul-1997,31-Jul-1997,323,117,36.2%,Providence,Rhode Island,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai97.php,Microsoft Research,AAAI
13th Annual National Conference on Artificial Intelligence,1996,AAAI,AAAI1996,4-Aug-1996,8-Aug-1996,643,197,30.6%,Portland,Oregon,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai96.php,,AAAI
12th Annual National Conference on Artificial Intelligence,1994,AAAI,AAAI1994,31-Jul-1994,4-Aug-1994,780,222,28.5%,Seattle,Washington,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai94.php,,AAAI
11th Annual National Conference on Artificial Intelligence,1993,AAAI,AAAI1993,11-Jul-1993,15-Jul-1993,524,126,24.0%,Washington,,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai93.php,,AAAI
10th Annual National Conference on Artificial Intelligence,1992,AAAI,AAAI1992,12-Jul-1992,16-Jul-1992,636,133,20.9%,San Jose,California,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai92.php,,AAAI
9th Annual National Conference on Artificial Intelligence,1991,AAAI,AAAI1991,14-Jul-1991,19-Jul-1991,603,142,23.5%,Anaheim,California,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai91.php,,AAAI
8th Annual National Conference on Artificial Intelligence,1990,AAAI,AAAI1990,29-Jul-1990,3-Aug-1990,892,161,18.0%,Boston,Massachusetts,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai90.php,,AAAI
7th Annual National Conference on Artificial Intelligence,1988,AAAI,AAAI1988,21-Aug-1988,26-Aug-1988,850,148,17.4%,Paul,Minnesota,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai88.php,,AAAI
6th Annual National Conference on Artificial Intelligence,1987,AAAI,AAAI1987,13-Jul-1987,17-Jul-1987,715,149,20.8%,Seattle,Washington,USA,Artificial Intelligence,Conference,aaai.org/Conferences/AAAI/aaai87.php,,AAAI
