Title,Event[Start date],Event[Acronym],Event[Series],Event[start date],Event[End date],Event[submitted paper],Event[Accepted paper],Event[submission rate],Event[City],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,,Events[sponsors],Event[Publisher]
International Conference on Autonomous Agents and Multiagent Systems,2018,AAMAS 2018,AAMAS,10-Jul-2018,15-Jul-2018,597,151,25.30%,Stockholk,,Sweden,Autonomous Agents and Multiagent Systems,conference,http://celweb.vuse.vanderbilt.edu/aamas18/,,,Google,Springer
International Conference on Autonomous Agents and Multiagent Systems,2017,AAMAS 2017,AAMAS,8-May-2017,12-May-2017,595,155,26%,Sao-Paulo,,Brazil,Autonomous Agents and Multiagent Systems,conference,http://www.aamas2017.org/,,,FAPESP,Springer
International Conference on Autonomous Agents and Multiagent Systems,2016,AAMAS 2016,AAMAS,9-May-2016,13-May-2016,550,137,25.00%,,,Singapore,Autonomous Agents and Multiagent Systems,conference,https://sis.smu.edu.sg/aamas2016,,,NSF,Springer
International Conference on Autonomous Agents and Multiagent Systems,2015,AAMAS 2015,AAMAS,4-May-2015,8-May-2015,670,180,27.00%,Istanbul,,Turkey,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/AAMAS/aamas2015/,,,NSF,Springer
International Conference on Autonomous Agents and Multiagent Systems,2014,AAMAS 2014,AAMAS,5-May-2014,9-May-2014,709,86,12.00%,Paris,,France,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/AAMAS/aamas2014/,,,NSF,Springer
International Conference on Autonomous Agents and Multiagent Systems,2013,AAMAS 2013,AAMAS,6-May-2013,10-May-2013,599,140,23%,Saint Paul,Minnesota,USA,Autonomous Agents and Multiagent Systems,conference,http://aamas2013.cs.umn.edu/,,,NSF,Springer
International Conference on Autonomous Agents and Multiagent Systems,2012,AAMAS 2012,AAMAS,4-Jun-2012,8-Jun-2012,671,137,20.40%,Valencia,,Spain,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/Proceedings/aamas2012/,,,FIPA,Springer
International Conference on Autonomous Agents and Multiagent Systems,2011,AAMAS 2011,AAMAS,2-May-2011,6-May-2011,575,126,21.90%,Taipai,,Taiwan,Autonomous Agents and Multiagent Systems,conference,http://www.aamas-conference.org/AAMAS/aamas2011/,,,IFAAMAS,Springer
International Conference on Autonomous Agents and Multiagent Systems,2010,AAMAS 2010,AAMAS,10-May-2010,14-May-2010,685,163,23.80%,Toronto,,Canada,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/Proceedings/aamas2010/,,,IFAAMAS,Springer
International Conference on Autonomous Agents and Multiagent Systems,2009,AAMAS 2009,AAMAS,10-May-2009,15-May-2009,651,132,20.30%,Budapest,,Hungary,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/Proceedings/aamas09/,,,FIPA,Springer
International Conference on Autonomous Agents and Multiagent Systems,2008,AAMAS 2008,AAMAS,12-May-2008,16-May-2008,721,141,19.60%,Estoril,,Portugual,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/Proceedings/aamas08/,,,FIPA,Springer
International Conference on Autonomous Agents and Multiagent Systems,2007,AAMAS 2007,AAMAS,14-May-2007,18-May-2007,531,121,22.80%,Honolulu,,Hawaii,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/AAMAS/aamas07/,,,TOSHIBA,Springer
International Conference on Autonomous Agents and Multiagent Systems,2006,AAMAS 2006,AAMAS,8-May-2006,12-May-2006,550,127,23.10%,Hakodate,,Japan,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/AAMAS/aamas06/,,,TOSHIBA,Springer
International Conference on Autonomous Agents and Multiagent Systems,2005,AAMAS 2005,AAMAS,25-Jul-2005,29-Jul-2005,530,130,24.50%,Utrecht,,Netherland,Autonomous Agents and Multiagent Systems,conference,https://dl.acm.org/citation.cfm?id=1082473,,,IBM RESEARCH,Springer
International Conference on Autonomous Agents and Multiagent Systems,2004,AAMAS 2004,AAMAS,19-Jul-2004,23-Jul-2004,577,142,24.60%,NewYork,,USA,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/AAMAS/aamas04/,,,IBM ,Springer
International Conference on Autonomous Agents and Multiagent Systems,2003,AAMAS 2003,AAMAS,14-Jul-2003,18-Jul-2003,466,115,24.70%,Melbourne,,Australia,Autonomous Agents and Multiagent Systems,conference,http://www.ifaamas.org/AAMAS/aamas03/,,,IBM,Springer
International Conference on Autonomous Agents and Multiagent Systems,2002,AAMAS 2002,AAMAS,15-Jul-2002,19-Jul-2002,530,142,26.80%,Bologna,,Italy,Autonomous Agents and Multiagent Systems,conference,https://dl.acm.org/citation.cfm?id=545056,,,,Springer
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
