Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,,EVENT[PUBLISHER],Event[Sponsor]
IEEE/ACM International Conference on Automated Software Engineering,2019,ASE 2019,ASE,11-Nov-2019,15-Nov-2019,,,,San Diego,California,USA,Automated software Engineering,Conference,https://2019.ase-conferences.org/,,,IEEE,HUAWEI
IEEE/ACM International Conference on Automated Software Engineering,2018,ASE 2018,ASE,3-Sep-2018,7-Sep-2018,,,,Montpelleir,,France,Automated software Engineering,Conference,http://www.ase2018.com/,,,IEEE,HCA
IEEE/ACM International Conference on Automated Software Engineering,2017,ASE 2027,ASE,30-Oct-2017,3-Nov-2017,388,65,16.75%,Urbana,,USA,Automated software Engineering,Conference,https://dblp.org/db/conf/kbse/ase2017,,,IEEE,SMU
IEEE/ACM International Conference on Automated Software Engineering,2016,ASE 2016,ASE,3-Sep-2016,7-Sep-2016,333,53,15.92%,,,singapore,Automated software Engineering,Conference,http://www.ase2016.org/,,,IEEE,IEEE
IEEE/ACM International Conference on Automated Software Engineering,2015,ASE 2015,ASE,9-Nov-2015,13-Nov-2015,289,60,14%,Lincoln,Nebraska,USA,Automated software Engineering,Conference,http://ase2015.unl.edu/#tab-main,,,IEEE,CCI
IEEE/ACM International Conference on Automated Software Engineering,2014,ASE 2014,ASE,15-Sep-2014,19-Sep-2014,337,82,24%,Vasteras,,sweden,Automated software Engineering,Conference,http://ase2014.org/,,,IEEE,GOOGLE
IEEE/ACM International Conference on Automated Software Engineering,2013,ASE 2013,ASE,11-Nov-2013,15-Nov-2013,254,43,16.93%,Pala Alto,California,USA,Automated software Engineering,Conference,http://www.ase2013.org/,,,IEEE,Adesso
IEEE/ACM International Conference on Automated Software Engineering,2012,ASE 2012,ASE,3-Sep-2012,7-Sep-2012,138,47,34.06%,Essen,,Germany,Automated software Engineering,Conference,http://www.ase-conferences.org/ase/past/ase2012/index.html,,,IEEE,IEEE
IEEE/ACM International Conference on Automated Software Engineering,2011,ASE 2011,ASE,6-Nov-2011,12-Nov-2011,252,37,15%,"Lawrence,Kan",,USA,Automated software Engineering,Conference,http://ase-conferences.org/ase/past/ase2011/www.continuinged.ku.edu/programs/ase/index.html,,,IEEE,IEEE
IEEE/ACM International Conference on Automated Software Engineering,2010,ASE 2010,ASE,20-Sep-2010,24-Sep-2010,190,33,17.37%,Antwerp,,Belgium,Automated software Engineering,Conference,https://soft.vub.ac.be/ase2010/,,,IEEE,CCI
IEEE/ACM International Conference on Automated Software Engineering,2009,ASE 2009,ASE,16-Nov-2009,20-Nov-2009,222,38,17%,Auckland,,New zealand,Automated software Engineering,Conference,http://ase-conferences.org/ase/past/ase2009/,,,IEEE,
