Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[HomePage],,EVENT[PUBLISHER],Event[Sponsor]
Computational Complexity Conference,2018,CCC 2018,CCC,22-Jun-2018,24-Jun-2018,,,,San Deigo,CA,USA,Computatinal Complexity,Conference,http://drops.dagstuhl.de/portals/lipics/index.php?semnr=16071,,ACM,Microsoft
Computational Complexity Conference,2017,CCC 2017,CCC,6-Jul-2017,9-Jul-2017,98,33,33.70%,Riga,,Latvia,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2017,,ACM,Microsoft
Computational Complexity Conference,2016,CCC 2016,CCC,29-May-2016,1-Jun-2016,91,34,37.40%,Tokyo,,Japan,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2016,,ACM,Microsoft
Computational Complexity Conference,2015,CCC 2015,CCC,17-Jun-2015,19-Jun-2015,110,30,27.30%,Portland,Oregan,USA,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2015,,ACM,IEEE
Annual IEEE Conference on Computational Complexity,2014,CCC 2014,CCC,11-Jun-2014,13-Jun-2014,94,29,30.90%,Vancouver,BC,Canada,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2014,,ACM,IEEE
Annual IEEE Conference on Computational Complexity,2013,CCC 2013,CCC,5-Jun-2013,7-Jun-2013,90,29,32.20%,K.lo alto,California,USA,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2013,,ACM,IEEE
Annual IEEE Conference on Computational Complexity,2012,CCC 2012,CCC,26-Jun-2012,29-Jun-2012,119,34,28.60%,Porto,,Portugual,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2012,,ACM,Microsoft
Annual IEEE Conference on Computational Complexity,2011,CCC 2011,CCC,8-Jun-2011,10-Jun-2011,83,30,36.10%,San Jose,California,USA,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2011,,ACM,IEEE
Annual IEEE Conference on Computational Complexity,2010,CCC 2010,CCC,9-Jun-2010,12-Jun-2010,76,25,32.90%,Cambridge,,Canada,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2010,,ACM,IEEE
Annual IEEE Conference on Computational Complexity,2009,CCC 2009,CCC,15-Jul-2009,18-Jul-2009,113,37,32.70%,Paris,,France,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2009,,ACM,IEEE
Annual IEEE Conference on Computational Complexity,2008,CCC 2008,CCC,23-Jun-2008,26-Jun-2008,87,32,36.80%,College Park,Maryland,USA,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2008,,ACM,
Annual IEEE Conference on Computational Complexity,2007,CCC 2007,CCC,13-Jun-2007,16-Jun-2007,90,30,33.30%,San Deigo,CA,USA,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2007,,ACM,
Annual IEEE Conference on Computational Complexity,2006,CCC 2006,CCC,16-Jul-2006,20-Jul-2006,87,28,32.30%,Prague,,Czech Republic,Computatinal Complexity,Conference,https://dblp.org/db/conf/coco/coco2006,,ACM,
