Event[Title],Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[sponsor]
Conference on Computer and Communications Security,2018,CCS 2018,CCS,4-Jun-2018,8-Jun-2018,,,,Songdo,,Korea,Computer and Communications Security,Conference,http://asiaccs2018.org/,ACM,NSF
Conference on Computer and Communications Security,2017,CCS 2017,CCS,30-Oct-2017,3-Nov-2017,836,151,18.1%,Dallas,,USA,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2017/,ACM,NSF
Conference on Computer and Communications Security,2016,CCS 2016,CCS,24-Oct-2016,28-Oct-2016,831,137,16.5%,Hofburg Palace,Vienna,Austria,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2016/,ACM,NSF
Conference on Computer and Communications Security,2015,CCS 2015,CCS,12-Oct-2015,16-Oct-2015,660,128,19.4%,Denver,Colorado,USA,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2015/,ACM,NSF
Conference on Computer and Communications Security,2014,CCS 2014,CCS,3-Nov-2014,7-Nov-2014,585,114,19.5%,Scottsdale,Arizona,USA,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2014/,ACM,NSF
Conference on Computer and Communications Security,2013,CCS 2013,CCS,4-Nov-2013,8-Nov-2013,530,105,19.8%,Berlin,,Germany,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2013/,ACM,NSF
Conference on Computer and Communications Security,2012,CCS 2012,CCS,16-Oct-2012,18-Oct-2012,426,81,19.0%,Raleigh,NC,USA,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2012/,ACM,NSF
Conference on Computer and Communications Security,2011,CCS 2011,CCS,17-Oct-2011,21-Oct-2011,429,60,14.0%,Chicago,Illnois,USA,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2011/,ACM,NSF
Conference on Computer and Communications Security,2010,CCS 2010,CCS,4-Oct-2010,8-Oct-2010,325,55,16.9%,Chicago,Illnois,USA,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2010/,ACM,NSF
Conference on Computer and Communications Security,2009,CCS 2009,CCS,9-Nov-2009,13-Nov-2009,317,58,18.3%,Chicago,Illnois,USA,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2009/,ACM,NSF
Conference on Computer and Communications Security,2008,CCS 2008,CCS,27-Oct-2008,31-Oct-2008,274,51,18.6%,Alexandria,Virginia,USA,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2008/,ACM,
Conference on Computer and Communications Security,2007,CCS 2007,CCS,29-Oct-2007,2-Nov-2007,302,55,18.2%,Alexandria,Virginia,USA,Computer and Communications Security,Conference,https://www.sigsac.org/ccs/CCS2007/,ACM,
