Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,Event[sponsors],Event[Publisher],,,,,,,,
Conference on Human Factors in Computing Systems,2018,CHI 2018,CHI,21-Apr-2018,26-Apr-2018,,,,Monterial,,Canada,Human Factors in Computing Systems,Conference,https://chi2018.acm.org/,,Facebook,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2017,CHI 2017,CHI,6-May-2017,5/11/2017,2400,600,0.25,Denver,,USA,Human Factors in Computing Systems,Conference,https://chi2017.acm.org/,,Google,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2016,CHI 2016,CHI,7-May-2016,5/12/2016,2435,565,0.232032854,San Jose,California,USA,Human Factors in Computing Systems,Conference,http://chi2016.acm.org/wp/,,Google,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2015,CHI 2015,CHI,18-Apr-2015,4/23/2015,2120,486,0.229245283,Seoul,,Korea,Human Factors in Computing Systems,Conference,https://chi2015.acm.org/,,Google,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2014,CHI 2014,CHI,26-Apr-2014,5/1/2014,2043,465,0.227606461,Toronto,,Canada,Human Factors in Computing Systems,Conference,https://chi2014.acm.org/,,Google,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2013,CHI 2013,CHI,27-Apr-2013,5/2/2013,1963,392,0.199694345,,,Paris,Human Factors in Computing Systems,Conference,https://chi2013.acm.org/,,Google,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2012,CHI 2012,CHI,5-May-2012,5/10/2012,1577,370,0.234622701,Austin,,Texas,Human Factors in Computing Systems,Conference,https://chi2012.acm.org/,,Google,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2011,CHI 2011,CHI,7-May-2011,5/12/2011,1532,410,0.267624021,Vancouver,,Canada,Human Factors in Computing Systems,Conference,http://www.chi2011.org/,,Google,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2010,CHI 2010,CHI,10-Apr-2010,4/15/2010,1346,302,0.224368499,Atlanta,,USA,Human Factors in Computing Systems,Conference,http://www.chi2010.org/,,Google,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2009,CHI 2009,CHI,4-Apr-2009,4/9/2009,1130,277,0.245132743,Boston,,USA,Human Factors in Computing Systems,Conference,http://www.chi2009.org/,,SIGCHI,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2008,CHI 2008,CHI,5-Apr-2008,4/10/2008,714,157,0.219887955,Florence,,Italy,Human Factors in Computing Systems,Conference,http://www.chi2008.org/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2007,CHI 2007,CHI,28-Apr-2007,5/3/2003,840,182,0.216666667,San Jose,,USA,Human Factors in Computing Systems,Conference,http://www.chi2007.org/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2006,CHI 2006,CHI,24-Apr-2006,4/27/2006,626,151,0.241214058,Montreal,,Canada,Human Factors in Computing Systems,Conference,http://www.chi2006.org/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2005,CHI 2005,CHI,2-Apr-2005,4/7/2005,372,93,0.25,Portland,,USA,Human Factors in Computing Systems,Conference,http://www.chi2005.org/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2004,CHI 2004,CHI,24-Apr-2004,4/29/2004,578,93,0.160899654,Vienna,,Austria,Human Factors in Computing Systems,Conference,http://www.chi2004.org/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2003,CHI 2003,CHI,5-Apr-2003,4/10/2003,468,75,0.16025641,Florida,,USA,Human Factors in Computing Systems,Conference,http://www.chi2003.org/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2002,CHI 2002,CHI,20-Apr-2002,4/25/2002,414,61,0.147342995,Minnesota,,USA,Human Factors in Computing Systems,Conference,http://chi2002.org/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2001,CHI 2001,CHI,31-Mar-2001,4/5/2001,352,69,0.196022727,Seattle,,USA,Human Factors in Computing Systems,Conference,http://www.sigchi.org/chi2001/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,2000,CHI 2000,CHI,1-Apr-2000,4/6/2000,336,72,0.214285714,Hague,,Netherlands,Human Factors in Computing Systems,Conference,http://www.sigchi.org/chi2000/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1999,CHI 1999,CHI,15-May-1999,5/20/1999,312,78,0.25,Pittsburgh,,USA,Human Factors in Computing Systems,Conference,http://www.sigchi.org/chi99/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1998,CHI 1998,CHI,18-Apr-1998,4/23/1998,351,81,0.230769231,Los Angeles,,USA,Human Factors in Computing Systems,Conference,http://www.sigchi.org/chi98/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1997,CHI 1997,CHI,22-Mar-1997,4/27/1997,234,55,0.235042735,Atlanta,,Georgia,Human Factors in Computing Systems,Conference,http://www.sigchi.org/chi97/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1996,CHI 1996,CHI,13-Apr-1996,4/18/1996,256,55,0.21484375,Columbia,,Canada,Human Factors in Computing Systems,Conference,http://www.sigchi.org/chi96/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1995,CHI 1995,CHI,7-May-1995,5/11/1995,228,66,0.289473684,Denver,,USA,Human Factors in Computing Systems,Conference,http://www.sigchi.org/chi95/,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1994,CHI 1994,CHI,24-Apr-1994,4/28/1994,263,70,0.266159696,Boston,,USA,Human Factors in Computing Systems,Conference,,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1993,CHI 1993,CHI,24-Apr-1993,4/29/1993,330,62,0.187878788,Amsterdam,,Netherlands,Human Factors in Computing Systems,Conference,,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1992,CHI 1992,CHI,3-May-1992,5/7/1992,216,67,0.310185185,Monterey,,USA,Human Factors in Computing Systems,Conference,http://dblp.uni-trier.de/db/conf/chi/chi92.html,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1991,CHI 1991,CHI,28-Apr-1991,5/5/1991,240,56,0.233333333,New Orleans,,Mexico,Human Factors in Computing Systems,Conference,,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1990,CHI 1990,CHI,1-Apr-1990,4-5-90,260,47,0.180769231,Seattle,,USA,Human Factors in Computing Systems,Conference,,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1989,CHI 1989,CHI,30-Apr-1989,5/4/1989,199,54,0.271356784,Austin,,Texas,Human Factors in Computing Systems,Conference,,,,ACM,,,,,,,,
Conference on Human Factors in Computing Systems,1988,CHI 1988,CHI,15-Jun-1988,6/19/1988,187,39,0.20855615,Washington,,USA,Human Factors in Computing Systems,Conference,,,,ACM,,,,,,,,
