Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,,Event[Sponsors],Event[Publisher]
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2018,CSCW 2018,CSCW,3-Nov-2018,7-Nov-2018,,,,NewYork,,USA,Computer-Supported Cooperative Work and Social Computing,Conference,http://cscw.acm.org/2018/,,,Facebook,ACM
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2017,CSCW 2017,CSCW,25-Feb-2017,1-Mar-2017,530,183,34.53%,Portland,,USA,Computer-Supported Cooperative Work and Social Computing,Conference,https://dl.acm.org/citation.cfm?id=2998181,,,SIGCHI,ACM
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2016,CSCW 2016,CSCW,27-Feb-2016,2-Mar-2016,571,142,24.87%,SanFransisco,,USA,Computer-Supported Cooperative Work and Social Computing,Conference,http://cscw.acm.org/2016/,,,SIGCHI,ACM
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2015,CSCW 2015,CSCW,14-Mar-2015,18-Mar-2015,575,161,28.00%,Vancouver,BC,Canada,Computer-Supported Cooperative Work and Social Computing,Conference,http://cscw.acm.org/2015/,,,SIGCHI,ACM
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2014,CSCW 2014,CSCW,15-Feb-2014,19-Feb-2014,497,134,27%,Baltimore,Maryland,USA,Computer-Supported Cooperative Work and Social Computing,Conference,https://cscw.acm.org/2014/,,,NSF,ACM
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2013,CSCW 2013,CSCW,23-Feb-2013,27-Feb-2013,390,139,35.64%,San Antonio,Texas,USA,Computer-Supported Cooperative Work and Social Computing,Conference,https://cscw.acm.org/2013/,,,SIGCHI,ACM
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2012,CSCW 2012,CSCW,11-Feb-2012,15-Feb-2012,290,127,43.79%,Seattle,Washigton,USA,Computer-Supported Cooperative Work and Social Computing,Conference,http://cscw2012.org/,,,SIGCHI,ACM
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2011,CSCW 2011,CSCW,19-Mar-2011,23-Mar-2011,264,58,21.97%,Hangzhou,,China,Computer-Supported Cooperative Work and Social Computing,Conference,http://cscw2011.org/,,,NSF,ACM
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2010,CSCW 2010,CSCW,6-Feb-2010,10-Feb-2010,288,58,20%,Savannah,Georgia,USA,Computer-Supported Cooperative Work and Social Computing,Conference,http://cscw2010.org/,,,SIGCHI,ACM
ACM Conference on Computer-Supported Cooperative Work and Social Computing,2009,CSCW 2009,CSCW,22-Apr-2009,24-Apr-2009,110,35,31.82%,Santiago,,USA,Computer-Supported Cooperative Work and Social Computing,Conference,http://2009.cscwd.org/,,,SIGCHI,ACM
