Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[sponsor]
IEEE Computer Security Foundations Symposium,2019,CSF 2019,CSF,24-Jun-2019,27-Jun-2019,,,,Hoboken,,,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,CBCC
IEEE Computer Security Foundations Symposium,2018,CSF 2018,CSF,9-Jul-2018,12-Jul-2018,72,25,34.72%,Oxford,,UK,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,NSF
IEEE Computer Security Foundations Symposium,2017,CSF  2017,CSF,22-Aug-2017,26-Aug-2017,94,32,34.04%,Santa Barabara,CA,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,IEEE
IEEE Computer Security Foundations Symposium,2016,CSF 2016,CSF,27-Jun-2016,1-Jul-2016,87,31,35.63%,Lisbon,,Portugual,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,IEEE
IEEE Computer Security Foundations Symposium,2015,CSF 2015,CSF,13-Jul-2015,17-Jul-2015,102,35,34.31%,Verona,,Italy,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,IEEE
IEEE Computer Security Foundations Symposium,2014,CSF 2014,CSF,19-Jul-2014,22-Jul-2014,83,29,34.94%,Vienna,,Austria,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,IEEE
IEEE Computer Security Foundations Symposium,2013,CSF 2013,CSF,26-Jun-2013,28-Jun-2013,73,19,26.03%,New Orleans,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,IEEE
IEEE Computer Security Foundations Symposium,2012,CSF 2012,CSF,25-Jun-2012,27-Jun-2012,101,25,24.75%,Cambridge,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,IEEE
IEEE Computer Security Foundations Symposium,2011,CSF 2011,CSF,27-Jun-2011,29-Jun-2011,81,21,26%,Cernay,,France,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,intel
IEEE Computer Security Foundations Symposium,2010,CSF 2010,CSF,17-Jul-2010,19-Jul-2010,81,23,28%,Edinburgh,,Scottland,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,IEEE
IEEE Computer Security Foundations Symposium,2009,CSF 2009,CSF,8-Jul-2009,10-Jul-2009,93,22,23.70%,Port Jefferson,,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
IEEE Computer Security Foundations Symposium,2008,CSF 2008,CSF,23-Jun-2008,25-Jun-2008,115,21,18.30%,Pittsburgh,PA,USA,Computer security ,Symposium,http://www.ieee-security.org/CSFWweb/past.html,IEEE,
