Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Sponsor],Event[Publisher],,,,,,,,,
IEEE  Conference on Computer Vision and Pattern Recognition,2019,CVPR 2019,CVPR,15-Jan-2019,21-Jun-2019,,,,Long beach,California,USA,Computer Vision,Conference,http://cvpr2019.thecvf.com/,AMAZON,IEEE,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,2018,CVPR 2018,CVPR,18-Jun-2018,22-Jun-2018,,,,Salt Lake,Utah,USA,Computer Vision,Conference,cvpr2018.thecvf.com/,AMAZON,IEEE,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,2017,CVPR 2017,CVPR,21-Jul-2017,27-Jul-2017,2620,783,29.9%,Honolulu,Hawaii,USA,Computer Vision,Conference,cvpr2017.thecvf.com/,AMAZON,IEEE,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,2016,CVPR 2016,CVPR,27-Jun-2016,30-Jun-2016,2145,643,30.0%,Las Vegas,,USA,Computer Vision,Conference,cvpr2016.thecvf.com/,AMAZON,IEEE,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,2015,CVPR 2015,CVPR,7-Jun-2015,12-Jun-2015,2123,602,28.4%,Boston,,USA,Computer Vision,Conference,www.pamitc.org/cvpr15/,AMAZON,IEEE,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,2014,CVPR 2014,CVPR,23-Jun-2014,28-Jun-2014,1807,540,29.9%,Columbus,,USA,Computer Vision,Conference,www.pamitc.org/cvpr14/,GOOGLE,IEEE,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,2013,CVPR 2013,CVPR,23-Jun-2013,28-Jun-2013,1798,472,26.3%,Portland,,USA,Computer Vision,Conference,www.pamitc.org/cvpr13/,Springer,IEEE,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,2012,CVPR 2012,CVPR,16-Jun-2012,21-Jun-2012,1933,466,24.1%,Providence,,USA,Computer Vision,Conference,,Springer,IEEE,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,2011,CVPR 2011,CVPR,20-Jun-2011,25-Jun-2011,1677,438,26.1%,Colorado Springs,,USA,Computer Vision,Conference,,Springer,IEEE,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,2010,CVPR 2010,CVPR,13-Jun-2010,18-Jun-2010,1724,461,26.7%,San Francisco,California,USA,Computer Vision,Conference,,Intel,IEEE,,,,,,,,,
IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2009,CVPR 2009,CVPR,20-Jun-2009,25-Jun-2009,1464,383,26.2%,Miami,Florida,USA,Computer Vision,Conference,,Google,IEEE,,,,,,,,,
IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2008,CVPR 2008,CVPR,24-Jun-2008,26-Jun-2008,1593,508,31.9%,Anchorage,Alaska,USA,Computer Vision,Conference,,Springer,IEEE,,,,,,,,,
IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2007,CVPR 2007,CVPR,18-Jun-2007,23-Jun-2007,1250,353,28.2%,Minneapolis,Minnesota,USA,Computer Vision,Conference,,Honey Well,IEEE,,,,,,,,,
IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2006,CVPR 2006,CVPR,17-Jun-2006,22-Jun-2006,1131,318,28.1%,New York,New York,USA,Computer Vision,Conference,,IEEE,IEEE,,,,,,,,,
IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2005,CVPR 2005,CVPR,20-Jun-2005,26-Jun-2005,1160,324,27.9%,San Diego,California,USA,Computer Vision,Conference,,IEEE,IEEE,,,,,,,,,
IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2004,CVPR 2004,CVPR,27-Jun-2004,2-Jul-2004,873,260,29.8%,Washington,,USA,Computer Vision,Conference,,IEEE,IEEE,,,,,,,,,
IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2003,CVPR 2003,CVPR,16-Jun-2003,22-Jun-2003,905,209,23.1%,Madison,Wisconsin,USA,Computer Vision,Conference,,IEEE,IEEE,,,,,,,,,
