Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Home Page],,EVENT[PUBLISHER],Event[Sponsor]
Data Compression Conference,2018,DCC 2018,DCC,27-Mar-2018,30-Mar-2018,,,,Snowbird,Utah,USA,Data Compression,Conference,https://signalprocessingsociety.org/blog/dcc-2018-2018-data-compression-conference,,IEEE,IEEE
Data Compression Conference,2017,DCC 2017,DCC,4-Apr-2107,7-Apr-2017,,,,Snowbird,Utah,USA,Data Compression,Conference,https://ieeexplore.ieee.org/document/7921888?denied=,,IEEE,SPS
Data Compression Conference,2016,DCC 2016,DCC,30-Mar-2016,1-Apr-2016,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2016,,IEEE,IEEE
Data Compression Conference,2015,DCC 2015,DCC,7-Apr-2015,9-Apr-2015,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2015,,IEEE,IEEE
Data Compression Conference,2014,DCC 2014,DCC,26-Mar-2014,28-Mar-2014,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2014,,IEEE,IEEE
Data Compression Conference,2013,DCC 2013,DCC,20-Mar-2013,22-Mar-2013,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2013,,IEEE,IEEE
Data Compression Conference,2012,DCC 2012,DCC,10-Apr-2012,12-Apr-2012,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2012,,IEEE,IEEE
Data Compression Conference,2011,DCC 2011,DCC,29-Mar-2011,31-Mar-2011,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2011,,IEEE,IEEE
Data Compression Conference,2010,DCC 2010,DCC,24-MA-2010,26-Mar-2010,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2010,,IEEE,IEEE
Data Compression Conference,2009,DCC 2009,DCC,16-Mar-2009,18-Mar-2009,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2009,,IEEE,IEEE
Data Compression Conference,2008,DCC 2008,DCC,25-Mar-2008,27-Mar-2008,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2008,,IEEE,
Data Compression Conference,2007,DCC 2007,DCC,27-Mar-2007,29-Mar-2007,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2007,,IEEE,
Data Compression Conference,2006,DCC 2006,DCC,28-Mar-2006,30-Mar-2006,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2006,,IEEE,
Data Compression Conference,2005,DCC 2005,DCC,29-Mar-2005,31-Mar-2005,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2005,,IEEE,
Data Compression Conference,2004,DCC 2004,DCC,23-Mar-2004,25-Mar-2004,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2004,,IEEE,
Data Compression Conference,2003,DCC 2003,DCC,25-Mar-2003,27-Mar-2003,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2003,,IEEE,
Data Compression Conference,2002,DCC 2002,DCC,2-Apr-2002,4-Apr-2002,,44,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2002,,IEEE,
Data Compression Conference,2001,DCC 2001,DCC,27-Mar-2001,29-Mar-2001,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2001,,IEEE,
Data Compression Conference,2000,DCC 2000,DCC,28-Mar-2000,30-Mar-2000,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp.org/db/conf/dcc/dcc2000,,IEEE,
Data Compression Conference,1999,DCC 1999,DCC,29-Mar,31-Mar-1999,,52,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp1.uni-trier.de/db/conf/dcc/dcc99.html,,IEEE,
Data Compression Conference,1998,DCC 1998,DCC,30-Mar-1998,1-Apr-1998,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp1.uni-trier.de/db/conf/dcc/dcc98.html,,IEEE,
Data Compression Conference,1997,DCC 1997,DCC,25-Mar-1997,27-Mar-1997,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp1.uni-trier.de/db/conf/dcc/dcc97.html,,IEEE,
Data Compression Conference,1996,DCC 1996,DCC,31-Mar-1996,3-Apr-1996,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp1.uni-trier.de/db/conf/dcc/dcc96.html,,IEEE,
Data Compression Conference,1995,DCC 1995,DCC,28-Mar-1995,30-Mar-1995,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp1.uni-trier.de/db/conf/dcc/dcc95.html,,IEEE,
Data Compression Conference,1994,DCC 1994,DCC,29-Mar-1994,31-Mar-1994,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp1.uni-trier.de/db/conf/dcc/dcc94.html,,IEEE,
Data Compression Conference,1993,DCC 1993,DCC,30-Mar-1993,1-Apr-1993,,44,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp1.uni-trier.de/db/conf/dcc/dcc93.html,,IEEE,
Data Compression Conference,1992,DCC 1992,DCC,24-Mar-1992,27-Mar-1992,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp1.uni-trier.de/db/conf/dcc/dcc92.html,,IEEE,
Data Compression Conference,1991,DCC 1991,DCC,8-Apr-1991,11-Apr-1991,,,,Snowbird,Utah,USA,Data Compression,Conference,https://dblp1.uni-trier.de/db/conf/dcc/dcc91.html,,IEEE,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
