Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,,,,Event[Sponsors],Event[Publisher]
European Conference on Artificial Intelligence,2018,ECAI 2018,ECAI,13-Jul-2018,19-Jul-2018,3470,710,20%,Stockholm,,Sweden,Artificial Intelligence,Conference,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=70805&copyownerid=106070,,,,,Tencent,IOS
European Conference on Artificial Intelligence,2016,ECAI 2016,ECAI,29-Aug-2016,2-Sep-2016,656,177,26.98%,The Hague,,Netherland,Artificial Intelligence,Conference,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=47470&copyownerid=79982,,,,,IBM,IOS
European Conference on Artificial Intelligence,2014,ECAI 2014,ECAI,18-Aug-2014,22-Aug-2014,611,178,29%,Prague,,Czech Republic,Artificial Intelligence,Conference,https://www.ecai2014.org/,,,,,Artint,IOS
European Conference on Artificial Intelligence,2012,ECAI 2012,ECAI,27-Aug-2012,31-Aug-2012,563,163,29%,Montpellier,,France,Artificial Intelligence,Conference,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=11756,,,,,IBM,IOS
European Conference on Artificial Intelligence,2010,ECAI 2010,ECAI,16-Aug-2010,20-Aug-2010,607,135,22%,Lisbon,,Portugual,Artificial Intelligence,Conference,http://ecai2010.appia.pt/,,,,,Artint,IOS
European Conference on Artificial Intelligence,2008,ECAI 2008,ECAI,21-Jul-2008,25-Jul-2008,680,121,23%,Patras,,Greece,Artificial Intelligence,Conference,https://dblp.org/db/conf/ecai/ecai2008.html,,,,,ECCAI,IOS
European Conference on Artificial Intelligence,2006,ECAI 2006,ECAI,28-Aug-2006,1-Sep-2006,500,130,26%,Riva del garda,,Italy,Artificial Intelligence,Conference,http://ecai2006.fbk.eu/cda/aree/index.php,,,,,ECCAI,IOS
European Conference on Artificial Intelligence,2004,ECAI 2004,ECAI,22-Aug-2004,27-Aug-2004,787,180,22.90%,Valencia,,Spain,Artificial Intelligence,Conference,https://dblp1.uni-trier.de/db/conf/ecai/ecai2004.html,,,,,ECCAI,IOS
European Conference on Artificial Intelligence,2002,ECAI 2002,ECAI,21-Jul-2002,26-Jul-2002,500,180,27.40%,Lyon,,France,Artificial Intelligence,Conference,http://frontiersinai.com/ecai/ecai2002/index.html,,,,,ECCAI,IOS
European Conference on Artificial Intelligence,2000,ECAI 2000,ECAI,20-Aug-2000,25-Aug-2000,443,140,31.60%,Berlin,,Germany,Artificial Intelligence,Conference,http://frontiersinai.com/ecai/ecai2000/index.html,,,,,Telecom,IOS
European Conference on Artificial Intelligence,1998,ECAI 1998,ECAI,23-Aug-1998,28-Aug-1998,456,158,34.65%,Brighton,,UK,Artificial Intelligence,Conference,https://www.amazon.co.uk/ECAI-Proceedings-Conference-Artificial-Intelligence/dp/0471984310,,,,,,IOS
European Conference on Artificial Intelligence,1996,ECAI 1996,ECAI,11-Aug-1996,16-Aug-1996,450,133,30%,Budapest,,Hungary,Artificial Intelligence,Conference,https://dblp.org/db/conf/ecai/ecai96,,,,,,IOS
European Conference on Artificial Intelligence,1994,ECAI 1994,ECAI,8-Aug-1994,12-Aug-1994,450,150,33.33%,Amsterdam,,Netherland,Artificial Intelligence,Conference,https://dblp.org/db/conf/ecai/ecai94.html,,,,,,IOS
European Conference on Artificial Intelligence,1992,ECAI 1992,ECAI,3-Aug-1992,7-Aug-1992,,200,,Vienna ,,Austria,Artificial Intelligence,Conference,https://trove.nla.gov.au/work/28886932?selectedversion=NBD9110519,,,,,,IOS
European Conference on Artificial Intelligence,1990,ECAI 1990,ECAI,6-Aug-1990,10-Aug-1990,,,,Stockholm,,Sweden,Artificial Intelligence,Conference,http://vldbarc.org/dblp/db/conf/ecai/index.html,,,,,,IOS
European Conference on Artificial Intelligence,1988,ECAI 1988,ECAI,1-Aug-1988,5-Aug-1988,,,,Munich,,Germany,Artificial Intelligence,Conference,http://vldbarc.org/dblp/db/conf/ecai/index.html,,,,,,IOS
European Conference on Artificial Intelligence,1986,ECAI 1986,ECAI,20-Jul-1986,25-Jul-1986,,,,Brighton,,UK,Artificial Intelligence,Conference,http://vldbarc.org/dblp/db/conf/ecai/index.html,,,,,,IOS
European Conference on Artificial Intelligence,1984,ECAI 1984,ECAI,5-Sep-1984,7-Sep-1984,,,,Pisa,,Italy,Artificial Intelligence,Conference,http://vldbarc.org/dblp/db/conf/ecai/index.html,,,,,,IOS
European Conference on Artificial Intelligence,1982,ECAI 1982,ECAI,,,,,,Paris,,France,Artificial Intelligence,Conference,http://vldbarc.org/dblp/db/conf/ecai/index.html,,,,,,IOS
