Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,Event[Sponsors],Event[Publisher]
European Conference on Computer Vision,2018,ECCV 2018,ECCV,8-Sep-2018,14-Sep-2018,2439,776,31.82%,Munich,,Germany,Computer Vision,Conference,https://eccv2018.org/,,IBM Research,Springer
European Conference on Computer Vision,2016,ECCV 2016,ECCV,8-Oct-2016,16-Oct-2016,1480,415,28.04%,Amsterdam,,Netherland,Computer Vision,Conference,http://www.eccv2016.org/,,Google,Springer
European Conference on Computer Vision,2014,ECCV 2014,ECCV,6-Sep-2014,12-Sep-2014,1444,363,25.14%,Zurich,,Germany,Computer Vision,Conference,http://eccv2014.org/,,Google,Springer
European Conference on Computer Vision,2012,ECCV 2012,ECCV,7-Oct-2012,13-Oct-2012,1437,408,28%,Firenze,,Italy,Computer Vision,Conference,https://eccv2012.unifi.it/,,Facebook,Springer
European Conference on Computer Vision,2010,ECCV 2010,ECCV,5-Sep-2010,11-Sep-2010,1174,328,28%,Crete,,Greece,Computer Vision,Conference,https://www.ics.forth.gr/eccv2010/intro.php,,Google,Springer
European Conference on Computer Vision,2008,ECCV 2008,ECCV,12-Oct-2008,18-Oct-2008,871,243,27.90%,Marseille,,France,Computer Vision,Conference,http://eccv2008.inrialpes.fr/,,Springer,Springer
European Conference on Computer Vision,2006,ECCV 2006,ECCV,7-May-2006,13-May-2006,900,192,21.33%,Graz,,Austria,Computer Vision,Conference,http://eccv2006.tugraz.at/,,Siemens,Springer
European Conference on Computer Vision,2004,ECCV 2004,ECCV,11-May-2004,14-May-2004,555,190,34.23%,Prague,,Czech Republic,Computer Vision,Conference,http://cmp.felk.cvut.cz/eccv2004/,,Microsoft Research,Springer
European Conference on Computer Vision,2002,ECCV 2002,ECCV,28-May-2002,31-May-2002,600,226,37.67%,Copenhagen,,Denmark,Computer Vision,Conference,https://searchworks.stanford.edu/view/4802292,,Springer,Springer
European Conference on Computer Vision,2000,ECCV 2000,ECCV,26-Jun-2000,1-July-2000,266,116,43.61%,Dublin,,Ireland,Computer Vision,Conference,https://link.springer.com/book/10.1007/3-540-45053-X,,Springer,Springer
European Conference on Computer Vision,1998,ECCV 1998,ECCV,2-Jun-1998,6-Jun-1998,223,42,18.83%,Freiburg,,Germany,Computer Vision,Conference,https://www.springer.com/de/book/9783540646136,,,Springer
European Conference on Computer Vision,1996,ECCV 1996,ECCV,14-Apr-1996,18-Apr-1996,328,123,37.50%,Cambridge,,UK,Computer Vision,Conference,https://www.springer.com/gp/book/9783540611233,,,Springer
European Conference on Computer Vision,1994,ECCV 1994,ECCV,2-May-1994,6-May-1994,300,115,38.33%,stockholm,,Sweden,Computer Vision,Conference,https://www.springer.com/de/book/9783540579571,,,Springer
European Conference on Computer Vision,1992,ECCV 1992,ECCV,19-May-1992,22-May-1992,308,105,28.04%,Santa Margherita Ligure,,Italy,Computer Vision,Conference,https://link.springer.com/book/10.1007/3-540-55426-2,,,Springer
European Conference on Computer Vision,1990,ECCV 1990,ECCV,23-Apr-1990,27-Apr-1990,,,,Antibes,,France,Computer Vision,Conference,https://www.springer.com/gp/book/9783540525226,,INRIA,Springer
,,,,,,,,,,,,,,,,,
