Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Acceptance Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,Events[Sponsors],Event[Publisher],,,,,,,,,
21th International Conference on Extending Database Technology,2018,EDBT 2018,EDBT,26-Mar-2018,29-Mar-2018,,,,Vienna,,Austria,Databases,Conference,edbticdt2018.at/,,Oracle,ACM,,,,,,,,,
20th International Conference on Extending Database Technology,2017,EDBT 2017,EDBT,21-Mar-2017,24-Mar-2017,168,37,22.0%,Venice,,Italy,Databases,Conference,edbticdt2017.unive.it/,,IBM,ACM,,,,,,,,,
19th International Conference on Extending Database Technology,2016,EDBT 2016,EDBT,15-Mar-2016,16-Mar-2016,282,102,36.2%,Bordeaux,,France,Databases,Conference,edbticdt2016.labri.fr/,,SAP,ACM,,,,,,,,,
18th International Conference on Extending Database Technology,2015,EDBT 2015,EDBT,23-Mar-2015,27-Mar-2015,228,74,32.5%,Brussels,,Belgium,Databases,Conference,,,IBM,ACM,,,,,,,,,
17th International Conference on Extending Database Technology,2014,EDBT 2014,EDBT,24-Mar-2014,28-Mar-2014,266,52,19.5%,Athens,,Greece,Databases,Conference,www.edbticdt2014.gr/,,IBM,ACM,,,,,,,,,
16th International Conference on Extending Database Technology,2013,EDBT 2013,EDBT,18-Mar-2013,22-Mar-2013,235,48,20.4%,Genoa,,Italy,Databases,Conference,edbticdt2013.disi.unige.it/,,IBM,ACM,,,,,,,,,
15th International Conference on Extending Database Technology,2012,EDBT 2012,EDBT,27-Mar-2012,30-Mar-2012,193,43,22.3%,Berlin,,Germany,Databases,Conference,edbticdt2012.dima.tu-berlin.de/,,IBM,ACM,,,,,,,,,
14th International Conference on Extending Database Technology,2011,EDBT 2011,EDBT,21-Mar-2011,24-Mar-2011,148,41,27.7%,Uppsala,,Sweden,Databases,Conference,edbticdt2011.it.uu.se/,,hp,ACM,,,,,,,,,
13th International Conference on Extending Database Technology,2010,EDBT 2010,EDBT,22-Mar-2010,26-Mar-2010,307,54,17.6%,Lausanne,,Switzerland,Databases,Conference,,,Google,ACM,,,,,,,,,
12th International Conference on Extending Database Technology,2009,EDBT 2009,EDBT,24-Mar-2009,26-Mar-2009,447,110,24.6%,Saint-Petersburg,,Russia,Databases,Conference,www.math.spbu.ru/edbticdt/index.html,,Google,ACM,,,,,,,,,
11th International Conference on Extending Database Technology,2008,EDBT 2008,EDBT,25-Mar-2008,29-Mar-2008,327,59,18.0%,Nantes,,France,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt2008.html,,,ACM,,,,,,,,,
10th International Conference on Extending Database Technology,2006,EDBT 2006,EDBT,26-Mar-2006,31-Mar-2006,352,60,17.0%,Munich,,Germany,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt2006.html,,,ACM,,,,,,,,,
9th International Conference on Extending Database Technology,2004,EDBT 2004,EDBT,14-Mar-2004,18-Mar-2004,294,42,14.3%,Heraklion,,Greece,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt2004.html,,,ACM,,,,,,,,,
8th International Conference on Extending Database Technology,2002,EDBT 2002,EDBT,25-Mar-2002,27-Mar-2002,207,36,17.4%,Prague,,Czech Republic,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt2002.html,,,ACM,,,,,,,,,
7th International Conference on Extending Database Technology,2000,EDBT 2000,EDBT,27-Mar-2000,31-Mar-2000,187,30,16.0%,Konstanz,,Germany,Databases,Conference,www.edbt.org/conf/edbt/2000/welcome.php.html,,,ACM,,,,,,,,,
6th International Conference on Extending Database Technology,1998,EDBT 1998,EDBT,23-Mar-1998,27-Mar-1998,191,32,16.8%,Valencia,,Spain,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt98.html,,,ACM,,,,,,,,,
5th International Conference on Extending Database Technology,1996,EDBT 1996,EDBT,25-Mar-1996,29-Mar-1996,178,31,17.4%,Avignon,,France,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt96.html,,,ACM,,,,,,,,,
4th International Conference on Extending Database Technology,1994,EDBT 1994,EDBT,28-Mar-1994,31-Mar-1994,180,31,17.2%,Cambridge,,UK,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt94.html,,,ACM,,,,,,,,,
3rd International Conference on Extending Database Technology,1992,EDBT 1992,EDBT,23-Mar-1992,27-Mar-1992,220,33,15.0%,Vienna,,Austria,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt92.html,,,ACM,,,,,,,,,
2nd International Conference on Extending Database Technology,1990,EDBT 1990,EDBT,26-Mar-1990,30-Mar-1990,178,27,15.2%,Venice,,Italy,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt90.html,,,ACM,,,,,,,,,
1st International Conference on Extending Database Technology,1988,EDBT 1988,EDBT,14-Mar-1988,18-Mar-1988,,29,,Venice,,Italy,Databases,Conference,dblp.uni-trier.de/db/conf/edbt/edbt88.html,,,ACM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
