Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Acceptance Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor],,,,,,,,,,
15th European Semantic Web Conference,2018,ESWC 2018,ESWC,6-Mar-2018,6-Jul-2018,,,,Heraklion,Crete,Greece,Web,Conference,2018.eswc-conferences.org/,Springer,Ontotext,,,,,,,,,,
14th European Semantic Web Conference,2017,ESWC 2017,ESWC,28-May-2017,6-Jan-2017,197,61,31.0%,Portoroz,Slovenia,Balkans,Web,Conference,2017.eswc-conferences.org/,Springer,Springer,,,,,,,,,,
13th European Semantic Web Conference,2016,ESWC 2016,ESWC,29-Feb-2016,6-Feb-2016,204,47,23.0%,Anissaras,Crete,Greece,Web,Conference,2016.eswc-conferences.org/,Springer,IOS,,,,,,,,,,
12th European Semantic Web Conference,2015,ESWC 2015,ESWC,31-May-2015,6-Apr-2015,145,33,22.8%,Portoroz,Slovenia,Balkans,Web,Conference,2015.eswc-conferences.org/,Springer,Elseiver,,,,,,,,,,
11th European Semantic Web Conference,2014,ESWC 2014,ESWC,25-May-2014,29/5/2014,178,41,23.0%,Heraklion,Crete,Greece,Web,Conference,2014.eswc-conferences.org/,Springer,Planet Data,,,,,,,,,,
10th European Semantic Web Conference,2013,ESWC 2013,ESWC,26-May-2013,30/5/2013,162,37,22.8%,Montpellier,,France,Web,Conference,2013.eswc-conferences.org/,Springer,Planet Data,,,,,,,,,,
9th European Semantic Web Conference,2012,ESWC 2012,ESWC,27-May-2012,31/5/2012,212,53,25.0%,Heraklion,Crete,Greece,Web,Conference,2012.eswc-conferences.org/,Springer,monnet,,,,,,,,,,
8th European Semantic Web Conference,2011,ESWC 2011,ESWC,29-May-2011,6-Feb-2011,247,57,23.1%,Heraklion,Crete,Greece,Web,Conference,www.eswc2011.org/,Springer,Elseiver,,,,,,,,,,
7th European Semantic Web Conference,2010,ESWC 2010,ESWC,30-May-2010,6-Apr-2010,245,52,21.2%,Heraklion,Crete,Greece,Web,Conference,www.eswc2010.org/,Springer,ontotext,,,,,,,,,,
6th European Semantic Web Conference,2009,ESWC 2009,ESWC,31-May-2009,6-Apr-2009,250,45,18.0%,Heraklion,Crete,Greece,Web,Conference,www.eswc2009.org/,Springer,Ontotext,,,,,,,,,,
5th European Semantic Web Conference,2008,ESWC 2008,ESWC,6-Jan-2008,6-May-2008,270,51,18.9%,Tenerife,,Spain,Web,Conference,www.eswc2008.org/,Springer,,,,,,,,,,,
4th European Semantic Web Conference,2007,ESWC 2007,ESWC,6-Mar-2007,6-Jul-2007,,,,Innsbruck,,Austria,Web,Conference,www.eswc2007.org/,Springer,,,,,,,,,,,
3rd European Semantic Web Conference,2006,ESWC 2006,ESWC,6-Nov-2006,14/6/2006,181,48,32.4%,Budva,Montenegro,Balkans,Web,Conference,www.eswc2006.org/,Springer,,,,,,,,,,,
2nd European Semantic Web Conference,2005,ESWC 2005,ESWC,29-May-2005,6-Jan-2005,148,48,34.2%,Heraklion,Crete,Greece,Web,Conference,www.eswc2005.org/,Springer,,,,,,,,,,,
1st European Semantic Web Symposium,2004,ESWS 2004,ESWS,5-Oct-2004,5-Dec-2004,79,,,Heraklion,Crete,Greece,Web,Conference,http://esws2004.sti2.org/,Springer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
