Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsors]
 International Conference on the Theory and Applications of Cryptographic Techniques,2018,EuroCrypt 2018,EuroCrypt,29-Apr-2018,3-May-2018,,,,Tel Aviv,,Isreal,Cryptographic Techniques,Conference,eurocrypt.iacr.org/2018/,Springer,arm
 International Conference on the Theory and Applications of Cryptographic Techniques,2017,EuroCrypt 2017,EuroCrypt,30-Apr-2017,4-May-2017,264,67,25.4%,Paris,,France,Cryptographic Techniques,Conference,eurocrypt2017.di.ens.fr/,Springer,THALES
 International Conference on the Theory and Applications of Cryptographic Techniques,2016,EuroCrypt 2016,EuroCrypt,8-May-2016,12-May-2016,274,62,22.6%,Vienna,,Austria,Cryptographic Techniques,Conference,ist.ac.at/eurocrypt2016/,Springer,intel
 International Conference on the Theory and Applications of Cryptographic Techniques,2015,EuroCrypt 2015,EuroCrypt,26-Apr-2015,30-Apr-2015,194,57,29.4%,Sofia,,Bulgaria,Cryptographic Techniques,Conference,www.cosic.esat.kuleuven.be/eurocrypt_2015/,Springer,google
 International Conference on the Theory and Applications of Cryptographic Techniques,2014,EuroCrypt 2014,EuroCrypt,11-May-2014,15-May-2014,197,38,19.3%,Copenhagen,,Denmark,Cryptographic Techniques,Conference,ec14.compute.dtu.dk/,Springer,google
 International Conference on the Theory and Applications of Cryptographic Techniques,2013,EuroCrypt 2013,EuroCrypt,26-May-2013,30-May-2013,201,41,20.4%,Athens,,Greece,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2013/,Springer,intel
 International Conference on the Theory and Applications of Cryptographic Techniques,2012,EuroCrypt 2012,EuroCrypt,15-Apr-2012,19-Apr-2012,195,41,21.0%,Cambridge,,UK,Cryptographic Techniques,Conference,www.cs.bris.ac.uk/eurocrypt2012/,Springer,CESG
 International Conference on the Theory and Applications of Cryptographic Techniques,2011,EuroCrypt 2011,EuroCrypt,15-May-2011,19-May-2011,167,31,18.6%,Tallinn,,Estonia,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2011/,Springer,Qualcomm
 International Conference on the Theory and Applications of Cryptographic Techniques,2010,EuroCrypt 2010,EuroCrypt,30-May-2010,3-Jun-2010,188,35,18.6%,French Riviera,,France,Cryptographic Techniques,Conference,crypto.rd.francetelecom.com/events/eurocrypt2010/,Springer,Qualcomm
 International Conference on the Theory and Applications of Cryptographic Techniques,2009,EuroCrypt 2009,EuroCrypt,26-Apr-2009,30-Apr-2009,148,33,22.3%,Cologne,,Germany,Cryptographic Techniques,Conference,www.iacr.org/conferences/eurocrypt2009/,Springer,NXP
