Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Sponsors],Event[Publisher]
"European Conference on Genetic Programming,",2018,EuroGP 2018,EuroGP,4-Apr-2018,6-Apr-2018,36,11,30.56%,Parma,,Italy,Genetic Programming,Conference,https://www.springer.com/de/book/9783319775524,Facebook,IOS
"European Conference on Genetic Programming,",2017,EuroGP 2017,EuroGP,19-Apr-2017,21-Apr-2017,32,14,43.75%,Amsterdam,,Netherland,Genetic Programming,Conference,https://www.springer.com/de/book/9783319556956,Facebook,IOS
"European Conference on Genetic Programming,",2016,EuroGP 2016,EuroGP,30-Mar-2016,1-Apr-2016,36,11,30.56%,Porto,,Portugual,Genetic Programming,Conference,https://www.springer.com/gp/book/9783319306674,Facebook,IOS
"European Conference on Genetic Programming,",2015,EuroGP 2015,EuroGP,8-Apr-2015,10-Apr-2015,36,12,33.33%,copenHagen,,Denmark,Genetic Programming,Conference,https://www.springer.com/de/book/9783319165004,Facebook,IOS
"European Conference on Genetic Programming,",2014,EuroGP 2014,EuroGP,23-Apr-2014,25-Apr-2014,40,15,37.50%,Granada,,Spain,Genetic Programming,Conference,https://www.springer.com/de/book/9783662443026,Facebook,IOS
"European Conference on Genetic Programming,",2013,EuroGP 2013,EuroGP,3-Apr-2013,5-Apr-2013,47,18,38.30%,Vienna,,Austria,Genetic Programming,Conference,https://www.springer.com/de/book/9783642372063,Facebook,IOS
"European Conference on Genetic Programming,",2012,EuroGP 2012,EuroGP,11-Apr-2012,13-Apr-2012,46,18,39.13%,Malaga,,Spain,Genetic Programming,Conference,https://www.springer.com/de/book/9783642291388,Facebook,IOS
"European Conference on Genetic Programming,",2011,EuroGP 2011,EuroGP,27-Apr-2011,29-Apr-2011,59,20,33.90%,Torino,,Italy,Genetic Programming,Conference,https://www.springer.com/gp/book/9783642204067,HuGeF,IOS
"European Conference on Genetic Programming,",2010,EuroGp 2010,EuroGP,7-Apr-2010,9-Apr-2010,48,21,43.75%,Istanbul,,Turkey,Genetic Programming,Conference,https://www.springer.com/gp/book/9783642121470,Microsoft,IOS
"European Conference on Genetic Programming,",2009,EuroGP 2009,EuroGP,15-Apr-2009,17-Apr-2009,57,21,36.84%,Tubingen,,Germany,Genetic Programming,Conference,https://www.springer.com/gp/book/9783642011801,ARPA,IOS
"European Conference on Genetic Programming,",2008,EuroGP 2008,EuroGP,26-Mar-2008,28-Mar-2008,61,21,34%,Naples,,Italy,Genetic Programming,Conference,https://www.springer.com/us/book/9783540786702,,IOS
"European Conference on Genetic Programming,",2007,EuroGP 2007,EuroGP,11-Apr-2007,13-Apr-2007,71,21,29.58%,Valencia,,Spain,Genetic Programming,Conference,https://www.springer.com/de/book/9783540716020,,IOS
"European Conference on Genetic Programming,",2006,EuroGP 2006,EuroGP,10-Apr-2006,12-Apr-2006,59,21,35.59%,Budapest,,Hungary,Genetic Programming,Conference,https://www.springer.com/de/book/9783540331438,,IOS
"European Conference on Genetic Programming,",2005,EuroGP 2005,EuroGP,30-Mar-2005,1-Apr-2005,64,20,31.25%,Lausanne,,Switzerland,Genetic Programming,Conference,https://www.springer.com/de/book/9783540254362,,IOS
"European Conference on Genetic Programming,",2004,EuroGP 2004,EuroGP,5-Apr-2004,7-Apr-2004,61,19,31.15%,Coimbra,,Portugal,Genetic Programming,Conference,https://www.springer.com/gp/book/9783540213468,,IOS
"European Conference on Genetic Programming,",2003,EuroGP 2003,EuroGP,14-Apr-2003,16-Apr-2003,61,24,39.34%,Essex,,UK,Genetic Programming,Conference,https://www.springer.com/gp/book/9783540009719,,IOS
"European Conference on Genetic Programming,",2002,EuroGP 2002,EuroGP,3-Apr-2002,5-Apr-2002,42,18,42.86%,Kinsale,,Ireland,Genetic Programming,Conference,https://www.springer.com/de/book/9783540433781,,IOS
"European Conference on Genetic Programming,",2001,EuroGP 2001,EuroGP,18-Apr-2001,20-Apr-2001,42,17,40.48%,Lake Como,,Italy,Genetic Programming,Conference,https://www.springer.com/gp/book/9783540418993,,IOS
"European Conference on Genetic Programming,",2000,EuroGP 2000,EuroGP,15-Apr-2000,16-Apr-2000,39,14,35.90%,Edinburg,Scotland,UK,Genetic Programming,Conference,https://www.springer.com/de/book/9783540673392,,IOS
"European Conference on Genetic Programming,",1999,EuroGP 1999,EuroGP,26-May-1999,27-May-1999,,,,Goteberg,,Sweden,Genetic Programming,Conference,https://dblp1.uni-trier.de/db/conf/eurogp/,,IOS
"European Conference on Genetic Programming,",1998,EuroGP 1998,EuroGP,14-Apr-1998,15-Apr-1998,,,,Paris,,France,Genetic Programming,Conference,https://dblp1.uni-trier.de/db/conf/eurogp/,,IOS
