Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,,Event[sponsor],Event[Publisher]
European Conference on Computer Systems,2018,EuroSys 2018,EuroSys,23-Apr-2018,26-Apr-2018,262,43,0.164122137,Porto,,Portugual,Computer Systems,Conference,http://eurosys2018.org/,,,VMWare,ACM
European Conference on Computer Systems,2017,EuroSys 2017,EuroSys,23-Apr-2017,26-Apr-2017,200,41,0.205,Belgrade,,Serbia,Computer Systems,Conference,https://eurosys2017.github.io/,,,Cisco,ACM
European Conference on Computer Systems,2016,EuroSys 2016,EuroSys,18-Apr-2016,21-Apr-2016,180,38,0.211111111,London,,UK,Computer Systems,Conference,http://eurosys16.doc.ic.ac.uk/,,,Cisco,ACM
European Conference on Computer Systems,2015,EuroSys 2015,EuroSys,21-Apr-2015,24-Apr-2015,150,32,0.213333333,Bordeaux,,France,Computer Systems,Conference,http://eurosys2015.labri.fr/,,,VMWare,ACM
European Conference on Computer Systems,2014,EuroSys 2014,EuroSys,13-Apr-2014,16-Apr-2014,147,27,0.183673469,Amstedam,,Netherland,Computer Systems,Conference,http://eurosys2014.vu.nl/,,,VMWare,ACM
European Conference on Computer Systems,2013,EuroSys 2013,EuroSys,14-Apr-2013,17-Apr-2013,143,28,0.195804196,Prague,,Czech Republic,Computer Systems,Conference,http://eurosys2013.tudos.org/index.html,,,VMWare,ACM
European Conference on Computer Systems,2012,EuroSys 2012,EuroSys,10-Apr-2012,13-Apr-2012,179,27,0.150837989,Bern ,,switzerland,Computer Systems,Conference,http://www1.unine.ch/eurosys2012/,,,VMWare,ACM
European Conference on Computer Systems,2011,EuroSys 2011,EuroSys,10-Apr-2011,13-Apr-2011,161,24,0.149068323,Salzbarg,,Austria,Computer Systems,Conference,http://eurosys2011.cs.uni-salzburg.at/welcome.html,,,VMWare,ACM
European Conference on Computer Systems,2010,EuroSys 2010,EuroSys,13-Apr-2010,16-Apr-2010,140,27,0.192857143,Paris,,France,Computer Systems,Conference,http://eurosys2010.sigops-france.fr/,,,VMWare,ACM
European Conference on Computer Systems,2009,EuroSys 2009,EuroSys,31-Mar-2009,3-Apr-2009,149,64,0.429530201,Nuremberg,,Germany,Computer Systems,Conference,http://eurosys2009.informatik.uni-erlangen.de/,,,VMWare,ACM
European Conference on Computer Systems,2008,EuroSys 2008,EuroSys,31-Mar-2008,4-Apr-2008,131,24,0.183206107,Glasgow,,Scotland,Computer Systems,Conference,http://www.dcs.gla.ac.uk/Conferences/EuroSys2008/,,,,ACM
European Conference on Computer Systems,2007,EuroSys 2007,EuroSys,21-Mar-2007,23-Mar-2007,157,65,0.414012739,Lisbon,,Portugual,Computer Systems,Conference,https://dl.acm.org/citation.cfm?id=1272996,,,,ACM
European Conference on Computer Systems,2006,EuroSys 2006,EuroSys,18-Apr-2006,21-Apr-2006,174,29,0.166666667,Leuven,,Belguim,Computer Systems,Conference,https://dl.acm.org/citation.cfm?id=1272996,,,,ACM
"  ,",,,,,,,,,,,,,,,,,,
