Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor]
Fundamental Approaches to Software Engineering,2018,FASE 2018,FASE,14-Apr-2018,20-Apr-2018,,,,,,Greece,,,,ACM,FACEBOOK
Fundamental Approaches to Software Engineering,2017,FASE 2017,FASE,22-Apr-2017,29-Apr-2017,91,23,25.3%,Uppsala,,Sweden,Software Engineering,Conference,www.etaps.org/index.php/2017/fase,ACM,FACEBOOK
Fundamental Approaches to Software Engineering,2016,FASE 2016,FASE,2-Apr-2016,8-Apr-2016,90,24,26.7%,,,Netherlands,Software Engineering,Conference,www.etaps.org/index.php/2016/fase,ACM,ASML
Fundamental Approaches to Software Engineering,2015,FASE 2015,FASE,11-Apr-2015,18-Apr-2015,80,23,28.8%,,,UK,Software Engineering,Conference,www.etaps.org/index.php/2015/fase,ACM,WINTON
Fundamental Approaches to Software Engineering,2014,FASE 2014,FASE,5-Apr-2014,13-Apr-2014,125,28,22.4%,,,France,Software Engineering,Conference,www.etaps.org/index.php/2014/fase,ACM,EAPLS
Fundamental Approaches to Software Engineering,2013,FASE 2013,FASE,16-Mar-2013,24-Mar-2013,112,26,23.2%,,,Italy,Software Engineering,Conference,www.etaps.org/index.php/2013/fase,ACM,EAPLS
Fundamental Approaches to Software Engineering,2012,FASE 2012,FASE,24-Mar-2012,1-Apr-2012,134,33,24.6%,,,Estonia,Software Engineering,Conference,www.etaps.org/index.php/2012/fase,ACM,EAPLS
Fundamental Approaches to Software Engineering,2011,FASE 2011,FASE,26-Mar-2011,3-Apr-2011,99,29,29.3%,,,Germany,Software Engineering,Conference,www.etaps.org/index.php/2011/fase,ACM,EAPLS
Fundamental Approaches to Software Engineering,2010,FASE 2010,FASE,20-Mar-2010,28-Mar-2010,96,24,25.0%,,,Cyprus,Software Engineering,Conference,www.etaps.org/2010/,ACM,FACEBOOK
Fundamental Approaches to Software Engineering,2009,FASE 2009,FASE,22-Mar-2009,29-Mar-2009,124,30,24.2%,,,UK,Software Engineering,Conference,www.etaps.org/2009/,ACM,adesso
Fundamental Approaches to Software Engineering,2008,FASE 2008,FASE,29-Mar-2008,6-Apr-2008,,,,,,Hungary,Software Engineering,Conference,www.etaps.org/2008/,ACM,
Fundamental Approaches to Software Engineering,2007,FASE 2007,FASE,22-Apr-2007,29-Apr-2007,141,30,21.3%,,,Portugal,Software Engineering,Conference,www.etaps.org/2007/,ACM,
Fundamental Approaches to Software Engineering,2006,FASE 2006,FASE,26-Mar-2006,27-Mar-2006,166,27,16.3%,,,Austria,Software Engineering,Conference,www.etaps.org/2006/,ACM,
Fundamental Approaches to Software Engineering,2005,FASE 2005,FASE,4-Apr-2005,8-Apr-2005,99,22,22.2%,,,UK,Software Engineering,Conference,www.etaps.org/2005/,ACM,
Fundamental Approaches to Software Engineering,2004,FASE 2004,FASE,29-Mar-2004,2-Apr-2004,91,22,24.2%,,,Spain,Software Engineering,Conference,www.etaps.org/2004/,ACM,
Fundamental Approaches to Software Engineering,2003,FASE 2003,FASE,7-Apr-2003,11-Apr-2003,89,20,22.5%,,,Poland,Software Engineering,Conference,www.etaps.org/2003/,ACM,
Fundamental Approaches to Software Engineering,2002,FASE 2002,FASE,8-Apr-2002,12-Apr-2002,60,21,35.0%,,,France,Software Engineering,Conference,www.etaps.org/2002/,ACM,
Fundamental Approaches to Software Engineering,2001,FASE 2001,FASE,2-Apr-2001,6-Apr-2001,74,22,29.7%,,,Italy,Software Engineering,Conference,www.etaps.org/2001/,ACM,
Fundamental Approaches to Software Engineering,2000,FASE 2000,FASE,25-Mar-2000,2-Apr-2000,60,21,35.0%,,,Germany,Software Engineering,Conference,www.etaps.org/2000/,ACM,
Fundamental Approaches to Software Engineering,1999,FASE 1999,FASE,22-Mar-1999,28-Mar-1999,,13,,,,Netherlands,Software Engineering,Conference,www.etaps.org/1999/,ACM,
Fundamental Approaches to Software Engineering,1998,FASE 1998,FASE,28-Mar-1998,4-Apr-1998,59,18,30.5%,,,Portugal,Software Engineering,Conference,www.etaps.org/1998/,ACM,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
