Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[sponsor],Event[Publisher]
Annual Symposium on Foundations of Computer Science,2019,FOCS 2019,FOCS,26-Oct-2019,29-Oct-2019,,,,Maryland,,USA,Foundations of Computer Science,Symposium,ieee-focs.org/,,IEEE
 Annual Symposium on Foundations of Computer Science,2018,FOCS 2018,FOCS,7-Oct-2018,9-Oct-2018,,,,Paris,,France,Foundations of Computer Science,Symposium,ieee-focs.org/,Google,IEEE
 Annual Symposium on Foundations of Computer Science,2017,FOCS 2017,FOCS,15-Oct-2017,17-Oct-2017,323,90,27.9%,Berkeley,California,USA,Foundations of Computer Science,Symposium,,IEEE,IEEE
 Annual Symposium on Foundations of Computer Science,2016,FOCS 2016,FOCS,9-Oct-2016,11-Oct-2016,307,85,27.7%,New Brunswick,New Jersey,USA,Foundations of Computer Science,Symposium,www.wisdom.weizmann.ac.il/~dinuri/focs16/CFP.html,IEEE,IEEE
 Annual Symposium on Foundations of Computer Science,2015,FOCS 2015,FOCS,18-Oct-2015,20-Oct-2015,314,86,27.4%,Berkeley,California,USA,Foundations of Computer Science,Symposium,focs15.simons.berkeley.edu/,Microsoft,IEEE
 Annual Symposium on Foundations of Computer Science,2014,FOCS 2014,FOCS,18-Oct-2014,21-Oct-2014,273,68,24.9%,Philadelphia,,USA,Foundations of Computer Science,Symposium,www.boazbarak.org/focs14/,IEEE,IEEE
 Annual Symposium on Foundations of Computer Science,2013,FOCS 2013,FOCS,27-Oct-2013,30-Oct-2013,281,79,28.1%,Berkeley,California,USA,Foundations of Computer Science,Symposium,simons.berkeley.edu/focs2013/,IEEE,IEEE
 Annual Symposium on Foundations of Computer Science,2012,FOCS 2012,FOCS,20-Oct-2012,23-Oct-2012,248,79,31.9%,New Brunswick,New Jersey,USA,Foundations of Computer Science,Symposium,theory.stanford.edu/~tim/focs12/,Microsoft,IEEE
 Annual Symposium on Foundations of Computer Science,2011,FOCS 2011,FOCS,22-Oct-2011,25-Oct-2011,292,85,29.1%,Palm Springs,California,USA,Foundations of Computer Science,Symposium,web.cs.ucla.edu/~rafail/FOCS11/,IEEE,IEEE
 Annual Symposium on Foundations of Computer Science,2010,FOCS 2010,FOCS,23-Oct-2010,26-Oct-2010,270,81,30.0%,Las Vegas,,USA,Foundations of Computer Science,Symposium,theory.stanford.edu/focs2010/,IEEE,IEEE
 Annual Symposium on Foundations of Computer Science,2009,FOCS 2009,FOCS,24-Oct-2009,27-Oct-2009,249,75,30.1%,Atlanta,,USA,Foundations of Computer Science,Symposium,www.cc.gatech.edu/focs2009/,Google,IEEE
 Annual Symposium on Foundations of Computer Science,2008,FOCS 2008,FOCS,25-Oct-2008,28-Oct-2008,276,79,28.6%,Philadelphia,,USA,Foundations of Computer Science,Symposium,www.cs.cmu.edu/~FOCS2008/,,IEEE
 Annual Symposium on Foundations of Computer Science,2007,FOCS 2007,FOCS,20-Oct-2007,23-Oct-2007,302,66,21.9%,Providence,,USA,Foundations of Computer Science,Symposium,focs2007.org/,,IEEE
 Annual Symposium on Foundations of Computer Science,2006,FOCS 2006,FOCS,22-Oct-2006,24-Oct-2006,240,71,29.6%,Berkeley,California,USA,Foundations of Computer Science,Symposium,ieee-focs.org/focs2006/,,IEEE
