Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,,Event[sponsors],Event[Publisher]
14th ACM/SIGEVO Conference on Foundations of Genetic Algorithms,2017,FOGA 2017,FOGA,12-Jan-2017,15-Jan-2017,23,13,56.5%,Copenhagen,,Denmark,Foundations of Genetic Algorithms,Conference,foga-2017.sigevo.org/,,,Sigevo,ACM
13th ACM Conference on Foundations of Genetic Algorithms,2015,FOGA 2015,FOGA,17-Jan-2015,20-Jan-2015,26,16,61.5%,Aberystwyth,Wales,UK,Foundations of Genetic Algorithms,Conference,foga2015.dcs.aber.ac.uk/,,,Sigevo,ACM
12th International Workshop on Foundations of Genetic Algorithms,2013,FOGA 2013,FOGA,16-Jan-2013,20-Jan-2013,31,16,51.6%,Adelaide,,Australia,Foundations of Genetic Algorithms,Conference,www.sigevo.org/foga-2013/,,,Sigevo,ACM
11th International Workshop on Foundations of Genetic Algorithms,2011,FOGA 2011,FOGA,5-Jan-2011,9-Jan-2011,35,21,60.0%,Schwarzenberg,,Australia,Foundations of Genetic Algorithms,Workshop,www.sigevo.org/foga-2011/,,,Sigevo,ACM
10th ACM SIGEVO International Workshop on Foundations of Genetic Algorithms,2009,FOGA 2009,FOGA,9-Jan-2009,11-Jan-2009,30,18,60.0%,Orlando,Florida,USA,Foundations of Genetic Algorithms,Workshop,www.sigevo.org/foga-2009/,,,Sigevo,ACM
9th International Workshop on Foundations of Genetic Algorithms,2007,FOGA 2007,FOGA,8-Jan-2007,11-Jan-2007,22,12,54.5%,Mexico,,USA,Foundations of Genetic Algorithms,Workshop,www.sigevo.org/foga-2007/,,,Sigevo,ACM
8th International Workshop on Foundations of Genetic Algorithms,2005,FOGA 2005,FOGA,5-Jan-2005,9-Jan-2005,,16,,Aizu-Wakamatsu,,Japan,Foundations of Genetic Algorithms,Workshop,dblp.uni-trier.de/db/conf/foga/foga2005.html,,,Sigevo,ACM
7th Workshop on Foundations of Genetic Algorithms,2002,FOGA 2002,FOGA,2-Sep-2002,4-Sep-2002,,,,Torremolinos,,Spain,Foundations of Genetic Algorithms,Workshop,dblp.org/db/conf/foga/foga2002.html,,,Sigevo,ACM
6th Workshop on Foundations of Genetic Algorithms,2000,FOGA 2000,FOGA,21-Jul-2000,23-Jul-2000,,,,Charlottesville,,USA,Foundations of Genetic Algorithms,Workshop,dblp.org/db/conf/foga/foga2000,,,Sigevo,ACM
5th Workshop on Foundations of Genetic Algorithms,1998,FOGA 1998,FOGA,24-Sep-1998,28-Sep-1998,,,,Amsterdam,,Netherlands,Foundations of Genetic Algorithms,Workshop,dblp.uni-trier.de/db/conf/foga/foga1998.html,,,Sigevo,ACM
4th Workshop on Foundations of Genetic Algorithms,1996,FOGA 1996,FOGA,3-Aug-1996,5-Aug-1996,,,,San Diego,California,USA,Foundations of Genetic Algorithms,Workshop,dblp.uni-trier.de/db/conf/foga/foga1996.html,,,,ACM
3rd Workshop on Foundations of Genetic Algorithms,1994,FOGA 1994,FOGA,31-Jul-1994,2-Aug-1994,,,,Estes Park,Colorado,USA,Foundations of Genetic Algorithms,Workshop,dblp.uni-trier.de/db/conf/foga/foga1994.html,,,,ACM
2nd Workshop on Foundations of Genetic Algorithms,1992,FOGA 1992,FOGA,26-Jul-1992,29-Jul-1992,,,,Vail,Colorado,USA,Foundations of Genetic Algorithms,Workshop,dblp.uni-trier.de/db/conf/foga/foga1992.html,,,,ACM
1st Workshop on Foundations of Genetic Algorithms,1990,FOGA 1990,FOGA,15-Jul-1990,18-Jul-1990,,,,Bloomington,Indiana,USA,Foundations of Genetic Algorithms,Workshop,dblp.uni-trier.de/db/conf/foga/foga1990.html,,,,ACM
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
