Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,EVENT[PUBLISHER],Event[sponsor]
ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering ,2018,FSE 2018,FSE,4-Nov-2018,9-Nov-2018,,,,Beuna Vista,Florida,USA,Software Engineering,Symposium,https://conf.researchr.org/home/fse-2018,,Springer,SWIFT
ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering ,2017,FSE 2017,FSE,4-Sep-2017,8-Sep-2017,295,72,24.41%,Paderborn,,Germany,Software Engineering,Symposium,http://esec-fse17.uni-paderborn.de/,,Springer,Miele
International Symposium on the Foundations of Software Engineering,2016,FSE 2016,FSE,13-Nov-2016,18-Nov-2016,1149,201,17%,seattle,Washington,USA,Software Engineering,Symposium,http://www.cs.ucdavis.edu/fse2016/,,Springer,Intel
International Symposium on the Foundations of Software Engineering,2015,FSE 2015,FSE,30-Aug-2015,4-Sep-2015,291,74,25.40%,Bergamo,,Italy,Software Engineering,Symposium,http://esec-fse15.dei.polimi.it/,,Springer,SIGSOFT
International Symposium on the Foundations of Software Engineering,2014,FSE 2014,FSE,16-Nov-2014,21-Nov-2014,280,61,21.79%,Hongkong,,china,Software Engineering,Symposium,cvpr2018.thecvf.com,,Springer,NXP
International Symposium on the Foundations of Software Engineering,2013,FSE 2013,FSE,18-Aug-2013,26-Aug-2013,251,51,20%,Saint petersburg,,Russia,Software Engineering,Symposium,http://esec-fse.inf.ethz.ch/,,Springer,NRF
International Symposium on the Foundations of Software Engineering,2012,FSE 2012,FSE,11-Sep-2012,16-Nov-2012,201,34,16.92%,Cary,North California,USA,Software Engineering,Symposium,https://www.sigsoft.org/fse20/,,Springer,IBM
International Symposium on the Foundations of Software Engineering,2011,FSE 2011,FSE,5-Sep-2011,9-Sep-2011,203,34,16.75%,Szeged,,Hungary,Software Engineering,Symposium,http://2011.esec-fse.org/,,Springer,Microsoft
International Symposium on the Foundations of Software Engineering,2010,FSE 2010,FSE,7-Nov-2010,11-Nov-2010,169,34,20%,Sante Fe,,USA,Software Engineering,Symposium,http://fse18.cse.wustl.edu/index.html,,Springer,CIST
International Symposium on the Foundations of Software Engineering,2009,FSE 2009,FSE,24-Aug-2009,28-Aug-2009,217,32,15%,Amsterdam,,Netherland,Software Engineering,Symposium,https://ti.arc.nasa.gov/events/esec-fse-09/,,Springer,PWHC
International Symposium on the Foundations of Software Engineering,2008,FSE 2008,FSE,9-Nov-2008,14-Nov-2008,152,31,20%,Atlanta,Georgia,USA,Software Engineering,Symposium,https://dblp.org/db/conf/sigsoft/fse2008,,Springer,
International Symposium on the Foundations of Software Engineering,2007,FSE 2007,FSE,3-Sep-2007,7-Sep-2007,251,42,17%,Cavat near Dubrovnik,,Croatia ,Software Engineering,Symposium,https://dl.acm.org/citation.cfm?id=1295014,,Springer,
International Symposium on the Foundations of Software Engineering,2006,FSE 2006,FSE,5-Nov-2006,11-Nov-2006,125,30,24.00%,Portland,,Oregon,Software Engineering,Symposium,http://www.cs.uoregon.edu/events/fse14/,,Springer,
International Symposium on the Foundations of Software Engineering,2005,FSE 2005,FSE,5-Sep-2005,9-Sep-2005,201,32,15.92%,Lisbon,,Portugual,Software Engineering,Symposium,https://dl.acm.org/citation.cfm?id=1081706,,Springer,
International Symposium on the Foundations of Software Engineering,2004,FSE 2004,FSE,31-Oct-2004,6-Nov-2004,169,25,15%,NewportBeach,,USA,Software Engineering,Symposium,https://dblp.org/db/conf/sigsoft/fse2004.html,,Springer,
International Symposium on the Foundations of Software Engineering,2003,FSE 2003,FSE,1-Sep-2003,5-Sep-2003,168,33,20%,Helsinki,,Finland,Software Engineering,Symposium,https://dblp.org/db/conf/sigsoft/fse2003,,Springer,
International Symposium on the Foundations of Software Engineering,2002,FSE 2002,FSE,18-Nov-2002,22-Nov-2002,128,17,13%,Charleston,South California,USA,Software Engineering,Symposium,https://dblp.org/db/conf/sigsoft/fse2002,,Springer,
International Symposium on the Foundations of Software Engineering,2001,FSE 2001,FSE,10-Sep-2001,14-Sep-2001,137,29,21%,Veinna,,Austria,Software Engineering,Symposium,https://dblp.org/db/conf/sigsoft/fse2001,,Springer,
International Symposium on the Foundations of Software Engineering,2000,FSE 2000,FSE,6-Nov-2000,10-Nov-2000,92,17,18%,Diego,California,USA,Software Engineering,Symposium,https://dblp.org/db/conf/sigsoft/fse2000,,Springer,
International Symposium on the Foundations of Software Engineering,1999,FSE 1999,FSE,6-Sep-1999,10-Sep-1999,141,29,20.57%,Toulouse,,France,Software Engineering,Symposium,https://link.springer.com/book/10.1007/3-540-48166-4#about,,Springer,
International Symposium on the Foundations of Software Engineering,1998,FSE 1998,FSE,3-Nov-1998,5-Nov-1998,194,39,20.10%,Lake Buena Vista,Florida,USA,Software Engineering,Symposium,https://dblp.uni-trier.de/db/conf/sigsoft/fse98.html,,Springer,
International Symposium on the Foundations of Software Engineering,1997,FSE 1997,FSE,22-Sep-1997,25-Sep-1997,194,27,13.92%,Zurich,,switzerland,Software Engineering,Symposium,https://link.springer.com/book/10.1007/3-540-63531-9,,Springer,
