Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,,EVENT[PUBLISHER],Event[Sponsor]
International Conference on Functional Programming,2018,ICFP 2018,ICFP,23-Sep-2018,29-Sep-2018,,,,St.Louis,Missouri,USA,Functional Programming,Conference,https://conf.researchr.org/home/icfp-2018,,,ACM,ahrefs
International Conference on Functional Programming,2017,ICFP 2017,ICFP,3-Sep-2017,9-Sep-2017,127,44,34.65%,Oxford,,UK,Functional Programming,Conference,https://conf.researchr.org/home/icfp-2017,,,ACM,ahrefs
International Conference on Functional Programming,2016,ICFP 2016,ICFP,18-Sep-2016,24-Sep-2016,118,37,31.36%,Nara,,Japan,Functional Programming,Conference,https://conf.researchr.org/home/icfp-2016,,,ACM,ahrefs
International Conference on Functional Programming,2015,ICFP 2015,ICFP,31-Aug-2015,2-Sep-2015,119,35,29.41%,Vancouver,British colombia,Canada,Functional Programming,Conference,http://icfpconference.org/icfp2015/,,,ACM,ahrefs
International Conference on Functional Programming,2014,ICFP 2014,ICFP,1-Sep-2014,3-Sep-2014,85,28,33%,Gothenburg,,Sweden,Functional Programming,Conference,http://icfpconference.org/icfp2014/,,,ACM,Google
International Conference on Functional Programming,2013,ICFP 2013,ICFP,25-Sep-2013,27-Sep-2013,133,40,30%,Boston,,USA,Functional Programming,Conference,http://icfpconference.org/icfp2013/,,,ACM,NSF
International Conference on Functional Programming,2012,ICFP 2012,ICFP,10-Sep-2012,12-Sep-2012,88,32,36%,copenhagen,,Denmark,Functional Programming,Conference,http://icfpconference.org/icfp2012/,,,ACM,NSF
International Conference on Functional Programming,2011,ICFP 2011,ICFP,19-Sep-2011,21-Sep-2011,92,33,36%,Tokyo,,Japan,Functional Programming,Conference,http://www.icfpconference.org/icfp2011/,,,ACM,CITRIX
International Conference on Functional Programming,2010,ICFP 2010,ICFP,27-Sep-2010,29-Sep-2010,99,33,33%,Baltimore,Maryland,USA,Functional Programming,Conference,https://www.icfpconference.org/icfp2010/,,,ACM,Galios
International Conference on Functional Programming,2009,ICFP 2009,ICFP,31-Aug-2009,2-Sep-2009,85,26,31%,Edinburgh,,Scotland,Functional Programming,Conference,http://www.cs.nott.ac.uk/~pszgmh/icfp09.html,,,ACM,Galios
International Conference on Functional Programming,2008,ICFP 2008,ICFP,22-Sep-2008,24-Sep-2008,99,35,35%,Victoria,British colombia,Canada,Functional Programming,Conference,http://www.icfpconference.org/icfp2008/,,,ACM,
International Conference on Functional Programming,2007,ICFP 2007,ICFP,1-Oct-2007,3-Oct-2007,103,26,25%,Freiburg,,Germany,Functional Programming,Conference,http://www.icfpconference.org/archived/icfp2007/proglang.informatik.uni-freiburg.de/ICFP2007/index.html,,,ACM,
International Conference on Functional Programming,2006,ICFP 2006,ICFP,18-Sep-2006,20-Sep-2006,74,24,32%,Portland,Oregon,USA,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,2005,ICFP 2005,ICFP,26-Sep-2005,28-Sep-2005,87,26,30%,Tallinn,,Estonia,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,2004,ICFP 2004,ICFP,19-Sep-2004,22-Sep-2004,80,21,26%,Snowbird,Utah,USA,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,2003,ICFP 2003,ICFP,25-Aug-2003,29-Aug-2003,95,24,25%,Uppsala,,Sweden,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,2002,ICFP 2002,ICFP,4-Oct-2002,6-Oct-2002,76,24,32%,Pittsburg,Pennsylvania,USA,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,2001,ICFP 2001,ICFP,3-Sep-2001,5-Sep-2001,66,23,35%,Florence,,Italy,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,2000,ICFP 2000,ICFP,18-Sep-2000,20-Sep-2000,110,24,22%,Montreal,,Canada,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,1999,ICFP 1999,ICFP,27-Sep-1999,29-Sep-1999,81,25,31%,Paris,,France,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,1998,ICFP 1998,ICFP,26-Sep-1998,29-Sep-1998,77,30,39%,Baltimore,Maryland,USA,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,1997,ICFP 1997,ICFP,9-Jun-1997,11-Jun-1997,78,25,32%,Amesterdam,,Netherland,Functional Programming,Conference,https://icfpconference.org/history.html,,,ACM,
International Conference on Functional Programming,1996,ICFP 1996,ICFP,24-May-1996,26-May-1996,83,25,30%,Philadelphia,Pennysylvania,USA,Functional Programming,,https://icfpconference.org/history.html,,,ACM,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
