Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor]
IEEE International Conference on Semantic Computing,2018,ICSC 2018,ICSC,31-January-2018,2-Feb-2018,502,105,21%,Laguna Hils,California,USA,Semantic Computing,Conference,https://semanticcomputing.wixsite.com/icsc2018,IEEE,IEEE
IEEE International Conference on Semantic Computing,2017,ICSC 2017,ICSC,30-Jan-2017,2-January-2017,129,26,20.15%,San Deigo,California,USA,Semantic Computing,Conference,https://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7879542,IEEE,IEEE
IEEE International Conference on Semantic Computing,2016,ICSC 2016,ICSC,3-February-2016,5-February-2016,,,28.80%,Laguna Hils,California,USA,Semantic Computing,Conference,http://ieeeism.wixsite.com/icsc2016,IEEE,IEEE
IEEE International Conference on Semantic Computing,2015,ICSC 2015,ICSC,7-Feb-2015,9-Feb-2015,,28,28%,Anaheim,California,USA,Semantic Computing,Conference,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7050754,IEEE,IEEE
IEEE International Conference on Semantic Computing,2014,ICSC 2014,ICSC,16-Jun-2014,18-Jun-2014,,26,35%,NewPort Beach,California,USA,Semantic Computing,Conference,https://dblp1.uni-trier.de/db/conf/semco/index.html,IEEE,
IEEE International Conference on Semantic Computing,2013,ICSC 2013,ICSC,16-Sep-2013,18-Sep-2013,122,36,30%,Irvine,California,USA,Semantic Computing,Conference,https://dblp1.uni-trier.de/db/conf/semco/index.html,IEEE,
IEEE International Conference on Semantic Computing,2012,ICSC 2012,ICSC,19-Sep-2012,21-Sep-2012,906,298,32.89%,Paleremo,,Italy,Semantic Computing,Conference,https://dblp1.uni-trier.de/db/conf/semco/index.html,IEEE,
IEEE International Conference on Semantic Computing,2011,ICSC 2011,ICSC,18-Sep-2011,21-Sep-2011,100,20,21%,Palo Alto,California,USA,Semantic Computing,Conference,https://dblp1.uni-trier.de/db/conf/semco/index.html,IEEE,
IEEE International Conference on Semantic Computing,2010,ICSC 2010,ICSC,22-Sep-2010,24-Sep-2010,100,35,32%,Pittsburg,PA,USA,Semantic Computing,Conference,https://dblp1.uni-trier.de/db/conf/semco/index.html,IEEE,
IEEE International Conference on Semantic Computing,2009,ICSC 2009,ICSC,14-Sep-2009,16-Sep-2009,113,34,30%,Berkeley,California,USA,Semantic Computing,Conference,https://dblp1.uni-trier.de/db/conf/semco/index.html,IEEE,
IEEE International Conference on Semantic Computing,2008,ICSC 2008,ICSC,4-Aug-2008,7-Aug-2008,,,,Santa Clara,California,USA,Semantic Computing,Conference,https://dblp1.uni-trier.de/db/conf/semco/index.html,IEEE,
IEEE International Conference on Semantic Computing,2007,ICSC 2007,ICSC,17-Sep-2007,19-Sep-2007,,,,Irvine,California,USA,Semantic Computing,Conference,https://dblp1.uni-trier.de/db/conf/semco/index.html,IEEE,
