Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Publisher],Event[Sponsor]
40th International Conference on Software Engineering,2018,ICSE 2018,ICSE,27-May-2018,3-Jun-2018,,,,Gothenburg,,Sweden,Software Engineering ,Conference,www.icse2018.org/,ACM,Intel
39th International Conference on Software Engineering,2017,ICSE 2017,ICSE,20-May-2017,28-May-2017,415,68,16.4%,Buenos Aires,,Argentina,Software Engineering ,Conference,icse2017.gatech.edu/,ACM,Intel
38th International Conference on Software Engineering,2016,ICSE 2016,ICSE,14-May-2016,22-May-2016,530,101,19.1%,Austin,Texas,USA,Software Engineering ,Conference,2016.icse.cs.txstate.edu/,ACM,Intel
37th International Conference on Software Engineering,2015,ICSE 2015,ICSE,16-May-2015,24-May-2015,452,84,18.6%,Firenze,,Italy,Software Engineering ,Conference,2015.icse-conferences.org/,ACM,Oracle
36th International Conference on Software Engineering,2014,ICSE 2014,ICSE,31-May-2014,7-Jun-2014,496,99,20.0%,Hyderabad,,India,Software Engineering ,Conference,2014.icse-conferences.org/,ACM,Microsoft
35th International Conference on Software Engineering,2013,ICSE 2013,ICSE,18-May-2013,26-May-2013,461,85,18.4%,San Francisco,California,USA,Software Engineering ,Conference,2013.icse-conferences.org/,ACM,Microsoft
34th International Conference on Software Engineering,2012,ICSE 2012,ICSE,2-Jun-2012,9-Jun-2012,408,87,21.3%,Zurich,,Switzerland,Software Engineering ,Conference,files.ifi.uzh.ch/icseweb/,ACM,NSF
33rd International Conference on Software Engineering,2011,ICSE 2011,ICSE,21-May-2011,28-May-2011,441,62,14.1%,Honolulu,Hawaii,USA,Software Engineering ,Conference,2011.icse-conferences.org/,ACM,Microsoft
32nd International Conference on Software Engineering,2010,ICSE 2010,ICSE,2-May-2010,8-May-2010,380,52,13.7%,Cape Town,,South Africa,Software Engineering ,Conference,www.sbs.co.za/icse2010/,ACM,Microsoft
31st International Conference on Software Engineering,2009,ICSE 2009,ICSE,16-May-2009,24-May-2009,405,50,12.3%,Vancouver,,Canada,Software Engineering ,Conference,www.cs.uoregon.edu/events/icse2009/home/,ACM,Microsoft
30th International Conference on Software Engineering,2008,ICSE 2008,ICSE,10-May-2008,18-May-2008,371,56,15.1%,Leipzig,,Germany,Software Engineering ,Conference,icse08.upb.de/,ACM,
29th International Conference on Software Engineering,2007,ICSE 2007,ICSE,19-May-2007,7-May-2007,334,49,14.7%,Minneapolis,Minnesota,USA,Software Engineering ,Conference,web4.cs.ucl.ac.uk/icse07/,ACM,
28th International Conference on Software Engineering,2006,ICSE 2006,ICSE,20-May-2006,28-May-2006,395,36,9.1%,Shanghai,,China,Software Engineering ,Conference,isr.uci.edu/icse-06/,ACM,
27th International Conference on Software Engineering,2005,ICSE 2005,ICSE,15-May-2005,21-May-2005,313,44,14.1%,St. Louis,Missouri,USA,Software Engineering ,Conference,www.icse-conferences.org/2005/Home/,ACM,
26th International Conference on Software Engineering,2004,ICSE 2004,ICSE,23-May-2004,28-May-2004,436,58,13.3%,Edinburgh,Scotland,UK,Software Engineering ,Conference,www.icse-conferences.org/2004/index.html,ACM,
25th International Conference on Software Engineering,2003,ICSE 2003,ICSE,3-May-2003,10-May-2003,324,42,13.0%,Portland,Oregon,USA,Software Engineering ,Conference,www.icse-conferences.org/2003/index.html,ACM,
24th International Conference on Software Engineering,2002,ICSE 2002,ICSE,19-May-2002,25-May-2002,303,48,15.8%,Orlando,Florida,USA,Software Engineering ,Conference,www.icse-conferences.org/2002/index.html,ACM,
23rd International Conference on Software Engineering,2001,ICSE 2001,ICSE,12-May-2001,19-May-2001,368,47,12.8%,Toronto,Ontario,Canada,Software Engineering ,Conference,www.icse-conferences.org/2001/index.html,ACM,
22nd International Conference on Software Engineering,2000,ICSE 2000,ICSE,4-Jun-2000,11-Jun-2000,335,49,14.6%,Limerick,,Ireland,Software Engineering ,Conference,dblp2.uni-trier.de/db/conf/icse/,ACM,
21st International Conference on Software Engineering,1999,ICSE 1999,ICSE,16-May-1999,22-May-1999,269,50,18.6%,Los Angeles,California,USA,Software Engineering ,Conference,dblp2.uni-trier.de/db/conf/icse/,ACM,
20th International Conference on Software Engineering,1998,ICSE 1998,ICSE,19-Apr-1998,25-Apr-1998,209,41,19.6%,Kyoto,,Japan,Software Engineering ,Conference,icse98.aist-nara.ac.jp/,ACM,
19th International Conference on Software Engineering,1997,ICSE 1997,ICSE,17-May-1997,23-May-1997,219,50,22.8%,Boston,,USA,Software Engineering ,Conference,www.icse-conferences.org/1997/,ACM,
18th International Conference on Software Engineering,1996,ICSE 1996,ICSE,25-Mar-1996,30-Mar-1996,213,52,24.4%,Berlin,,Germany,Software Engineering ,Conference,dblp2.uni-trier.de/db/conf/icse/,ACM,
17th International Conference on Software Engineering,1995,ICSE 1995,ICSE,23-Apr-1995,30-Apr-1995,155,28,18.1%,Seattle,Washington,USA,Software Engineering ,Conference,www.cs.washington.edu/research/se/icse17/,ACM,
16th International Conference on Software Engineering,1994,ICSE 1994,ICSE,16-May-1994,21-May-1994,,,,Sorrento,,Italy,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse94.html,ACM,
15th International Conference on Software Engineering,1993,ICSE 1993,ICSE,17-May-1993,21-May-1993,,,,Baltimore,Maryland,USA,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse93.html,ACM,
14th International Conference on Software Engineering,1992,ICSE 1992,ICSE,11-May-1992,15-May-1992,,,,Melbourne,,Australia,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse92.html,ACM,
13th International Conference on Software Engineering,1991,ICSE 1991,ICSE,13-May-1991,17-May-1991,,,,Austin,Texas,USA,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse91.html,ACM,
12th International Conference on Software Engineering,1990,ICSE 1990,ICSE,26-Mar-1990,30-Mar-1990,,,,Nice,,France,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse90.html,ACM,
11th International Conference on Software Engineering,1989,ICSE 1989,ICSE,15-May-1989,18-May-1989,,,,Pittsburg,,USA,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse89.html,ACM,
10th International Conference on Software Engineering,1988,ICSE 1988,ICSE,11-Apr-1988,15-Apr-1988,,,,Singapore,,Singapore,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse88.html,ACM,
9th International Conference on Software Engineering,1987,ICSE 1987,ICSE,30-Mar-1987,2-Apr-1987,,,,Monterey,California,USA,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse87.html,ACM,
8th International Conference on Software Engineering,1985,ICSE 1985,ICSE,28-Aug-1985,30-Aug-1985,,,,London,,UK,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse85.html,ACM,
7th International Conference on Software Engineering,1984,ICSE 1984,ICSE,26-Mar-1984,29-Mar-1984,,,,Orlando,Florida,USA,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse84.html,ACM,
6th International Conference on Software Engineering,1982,ICSE 1982,ICSE,13-Sep-1982,16-Sep-1982,,,,Tokyo,,Japan,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse82.html,ACM,
5th International Conference on Software Engineering,1981,ICSE 1981,ICSE,9-Mar-1981,12-Mar-1981,,,,San Diego,California,USA,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse81.html,ACM,
4th International Conference on Software Engineering,1979,ICSE 1979,ICSE,17-Sep-1979,19-Sep-1979,,,,Munich,,Germany,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse79.html,ACM,
3rd International Conference on Software Engineering,1978,ICSE 1978,ICSE,10-May-1978,12-May-1978,,,,Atlanta,Georgia,USA,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse78.html,ACM,
2nd International Conference on Software Engineering,1976,ICSE 1976,ICSE,13-Oct-1976,15-Oct-1976,,,,San Francisco,California,USA,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse76.html,ACM,
1st International Conference on Software Engineering,1975,ICSE 1975,ICSE,11-Sep-1975,12-Sep-1975,,,,Washington,,USA,Software Engineering ,Conference,dblp.uni-trier.de/db/conf/icse/icse75.html,ACM,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
