Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Acceptance Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor],,,,,,,,,,
IEEE International Conference on Web Services,2019,ICWS 2019,ICWS,8-Jul-2019,13-Jul-2019,,,,Milan,,Italy,Web,Conference,http://conferences.computer.org/icws/2019/,Springer,IBM,,,,,,,,,,
IEEE International Conference on Web Services,2018,ICWS 2018,ICWS,2-Jul-2018,7-Jul-2018,,,,San Francisco,California,USA,Web,Conference,conferences.computer.org/icws/2018/,Springer,Semantic software,,,,,,,,,,
IEEE International Conference on Web Services,2017,ICWS 2017,ICWS,25-Jun-2017,30-Jun-2017,630,126,20.0%,Honolulu,Hawaii,USA,Web,Conference,www.icws.org/2017/,Springer,IBM,,,,,,,,,,
IEEE International Conference on Web Services,2016,ICWS 2016,ICWS,27-Jun-2016,2-Jul-2016,250,30,14.0%,San Francisco,,USA,Web,Conference,icws.org/2016/,Springer,Elseiver,,,,,,,,,,
IEEE International Conference on Web Services,2015,ICWS 2015,ICWS,27-Jun-2015,2-Jul-2015,270,47,17.4%,New York,,USA,Web,Conference,icws.org/2015/,Springer,Elseiver,,,,,,,,,,
IEEE International Conference on Web Services,2014,ICWS 2014,ICWS,27-Jun-2014,2-Jul-2014,133,24,18.0%,Alaska,,USA,Web,Conference,icws.org/2014/,Springer,Elseiver,,,,,,,,,,
IEEE International Conference on Web Services,2013,ICWS 2013,ICWS,27-Jun-2013,2-Jul-2013,447,85,19.0%,Santa Clara Marriott,California,USA,Web,Conference,icws.org/2013/,Springer,Elseiver,,,,,,,,,,
IEEE International Conference on Web Services,2012,ICWS 2012,ICWS,24-Jun-2012,29-Jun-2012,176,30,17.0%,Honolulu,Hawaii,USA,Web,Conference,icws.org/2012/,Springer,Elseiver,,,,,,,,,,
IEEE International Conference on Web Services,2011,ICWS 2011,ICWS,4-Jul-2011,9-Jul-2011,264,37,14.0%,Washington,,USA,Web,Conference,icws.org/2011/,Springer,Elseiver,,,,,,,,,,
IEEE International Conference on Web Services,2010,ICWS 2010,ICWS,5-Jul-2010,10-Jul-2010,222,39,17.6%,Miami,Florida,USA,Web,Conference,icws.org/2010/,Springer,BBN Technologies,,,,,,,,,,
IEEE International Conference on Web Services,2009,ICWS 2009,ICWS,6-Jul-2009,10-Jul-2009,404,63,15.6%,Los Angeles,,USA,Web,Conference,www.icws.org/2009/,Springer,,,,,,,,,,,
IEEE International Conference on Web Services,2008,ICWS 2008,ICWS,12-Sep-2008,26-Sep-2008,269,43,16.0%,Beijing,,China,Web,Conference,www.icws.org/2008/,Springer,,,,,,,,,,,
IEEE International Conference on Web Services,2007,ICWS 2007,ICWS,9-Jul-2007,13-Jul-2007,267,48,18.0%,Salt Lake City,,USA,Web,Conference,www.icws.org/2007/,Springer,,,,,,,,,,,
IEEE International Conference on Web Services,2006,ICWS 2006,ICWS,18-Sep-2006,22-Sep-2006,300,48,16.0%,Chicago,,USA,Web,Conference,www.icws.org/2006/,Springer,,,,,,,,,,,
IEEE International Conference on Web Services,2005,ICWS 2005,ICWS,11-Jul-2005,15-Jul-2005,233,44,18.9%,Orlando,,USA,Web,Conference,www.icws.org/2005/,Springer,,,,,,,,,,,
IEEE International Conference on Web Services,2004,ICWS 2004,ICWS,6-Jun-2004,6-Sep-2004,230,66,28.7%,San Diego,California,USA,Web,Conference,www.icws.org/2004/,Springer,,,,,,,,,,,
IEEE International Conference on Web Services,2003,ICWS 2003,ICWS,23-Jun-2003,26-Jun-2003,57,17,29.8%,Las Vegas,Nevada,USA,Web,Conference,www.icws.org/2003/,Springer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
