Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[SPONSORS],Event[Publisher],,,,,,,,,
28th International Joint Conference on Artificial intellience,2019,IJCAI 2019,IJCAI,10-Aug-2019,16-Aug-2019,,,,Macao,,China,Artificial Intelligence,Conference,https://ijcai19.org/,Tencent,AAAI,,,,,,,,,
27th International Joint Conference on Artificial Intelligence,2018,IJCAI 2018,IJCAI,13-Jul-2018,19-Jul-2018,,,,Stockholm,,Sweden,Artificial Intelligence,Conference,www.ijcai-18.org/,Microsoft,AAAI,,,,,,,,,
26th International Joint Conference on Artificial Intelligence,2017,IJCAI 2017,IJCAI,19-Aug-2017,25-Aug-2017,2540,661,26%,Melbourne,VIC,Australia,Artificial Intelligence,Conference,ijcai-17.org/,Alibaba Group,AAAI,,,,,,,,,
25th International Joint Conference on Artificial Intelligence,2016,IJCAI 2016,IJCAI,9-Jul-2016,15-Jul-2016,2294,551,24%,New York,New York,USA,Artificial Intelligence,Conference,ijcai-16.org/,Sony,AAAI,,,,,,,,,
24th International Joint Conference on Artificial Intelligence,2015,IJCAI 2015,IJCAI,25-Jul-2015,31-Jul-2015,1996,572,28.7%,Buenos Aires,,Argentina,Artificial Intelligence,Conference,www.ijcai.org/proceedings/2015,Alibaba Group,AAAI,,,,,,,,,
23rd International Joint Conference on Artificial Intelligence,2013,IJCAI 2013,IJCAI,3-Aug-2013,9-Aug-2013,1473,413,28%,Beijing,,China,Artificial Intelligence,Conference,www.aaai.org/Press/Proceedings/ijcai13.php,Alibaba Group,AAAI,,,,,,,,,
22nd International Joint Conference on Artificial Intelligence,2011,IJCAI 2011,IJCAI,16-Jul-2011,22-Jul-2011,1325,400,30.2%,Barcelona,Catalonia,Spain,Artificial Intelligence,Conference,ijcai-11.iiia.csic.es/,Google,AAAI,,,,,,,,,
21th International Joint Conference on Artificial Intelligence,2009,IJCAI 2009,IJCAI,11-Jul-2009,17-Jul-2009,1291,331,25.6%,Pasadena,California,USA,Artificial Intelligence,Conference,www.ijcai.org/past/ijcai-09/,Google,AAAI,,,,,,,,,
20th International Joint Conference on Artificial Intelligence,2007,IJCAI 2007,IJCAI,6-Jan-2007,12-Jan-2007,1365,470,34.4%,Hyderabad,,India,Artificial Intelligence,Conference,www.ijcai.org/proceedings/2007,Google,AAAI,,,,,,,,,
19th International Joint Conference on Artificial Intelligence,2005,IJCAI 2005,IJCAI,30-Jul-2005,5-Aug-2005,1329,240,18.1%,Edinburgh,Scotland,UK,Artificial Intelligence,Conference,www.ijcai.org/past/ijcai-05/,IJCAI,AAAI,,,,,,,,,
18th International Joint Conference on Artificial Intelligence,2003,IJCAI 2003,IJCAI,9-Aug-2003,18-Aug-2003,913,189,20.7%,Acapulco,,Mexico,Artificial Intelligence,Conference,www.ijcai.org/proceedings/2003,IJCAI,AAAI,,,,,,,,,
17th International Joint Conference on Artificial Intelligence,2001,IJCAI 2001,IJCAI,4-Aug-2001,10-Aug-2001,796,197,24.7%,Seattle,,USA,Artificial Intelligence,Conference,www.ijcai.org/past/ijcai-01/,IJCAI,AAAI,,,,,,,,,
16th International Joint Conference on Artificial Intelligence,1999,IJCAI 1999,IJCAI,31-Jul-1999,6-Aug-1999,750,194,25.9%,Stockholm,,Sweden,Artificial Intelligence,Conference,www.ijcai.org/past/ijcai-99/,IJCAI,AAAI,,,,,,,,,
15th International Joint Conference on Artificial Intelligence,1997,IJCAI 1997,IJCAI,23-Aug-1997,29-Aug-1997,882,216,24.5%,Nagoya,,Japan,Artificial Intelligence,Conference,www.ijcai.org/past/ijcai-97/,IJCAI,AAAI,,,,,,,,,
14th International Joint Conference on Artificial Intelligence,1995,IJCAI 1995,IJCAI,20-Aug-1995,25-Aug-1995,1112,249,22.4%,Montréal,Québec,Canada,Artificial Intelligence,Conference,www.ijcai.org/past/ijcai-95/,IJCAI,AAAI,,,,,,,,,
13th International Joint Conference on Artificial Intelligence,1993,IJCAI 1993,IJCAI,28-Aug-1993,3-Sep-1993,,,,Chambéry,,France,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai93,IJCAI,AAAI,,,,,,,,,
12th International Joint Conference on Artificial Intelligence,1991,IJCAI 1991,IJCAI,24-Aug-1991,30-Aug-1991,,,,Sydney,New South Wales,Australia,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai91,IJCAI,AAAI,,,,,,,,,
11th International Joint Conference on Artificial Intelligence,1989,IJCAI 1989,IJCAI,1-Aug-1989,,,,,Detroit,Michigan,USA,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai89,Google,AAAI,,,,,,,,,
10th International Joint Conference on Artificial Intelligence,1987,IJCAI 1987,IJCAI,23-Aug-1987,28-Aug-1987,,,,Milan,,Italy,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai87,IJCAI,AAAI,,,,,,,,,
9th International Joint Conference on Artificial Intelligence,1985,IJCAI 1985,IJCAI,1-Aug-1985,,,,,Los Angeles,California,USA,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai85,Sony,AAAI,,,,,,,,,
8th International Joint Conference on Artificial Intelligence,1983,IJCAI 1983,IJCAI,1-Aug-1983,,,,,Karlsruhe,,Germany,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai83,,AAAI,,,,,,,,,
7th International Joint Conference on Artificial Intelligence,1981,IJCAI 1981,IJCAI,24-Aug-1981,29-Aug-1981,,,,Vancouver,British Columbia,Canada,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai81,,AAAI,,,,,,,,,
6th International Joint Conference on Artificial Intelligence,1979,IJCAI 1979,IJCAI,20-Aug-1979,24-Aug-1979,,,,Tokyo,,Japan,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai79,,AAAI,,,,,,,,,
5th International Joint Conference on Artificial Intelligence,1977,IJCAI 1977,IJCAI,22-Aug-1977,25-Aug-1977,,,,Cambridge,MA,USA,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai77,,AAAI,,,,,,,,,
4th International Joint Conference on Artificial Intelligence,1975,IJCAI 1975,IJCAI,3-Sep-1975,8-Sep-1975,,,,Tbilisi,,Georgia,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai75,,AAAI,,,,,,,,,
3rd International Joint Conference on Artificial Intelligence,1973,IJCAI 1973,IJCAI,20-Aug-1973,23-Aug-1973,,,,Standford,California,USA,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai73,,AAAI,,,,,,,,,
2nd International Joint Conference on Artificial Intelligence,1971,IJCAI 1971,IJCAI,1-Sep-1971,3-Sep-1971,,,,London,,UK,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai71,,AAAI,,,,,,,,,
1st International Joint Conference on Artificial Intelligence,1969,IJCAI 1969,IJCAI,7-May-1969,9-May-1969,,,,Washington,DC,USA,Artificial Intelligence,Conference,dblp.org/db/conf/ijcai/ijcai69,,AAAI,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
