Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,EVENT[PUBLISHER],Event[Sponsor]
International Symposium on Symbolic and Algebraic Computation,2018,ISSAC 2018,ISSAC,16-Jul-2018,19-Jul-2018,,47,,New York,,USA,Symbolic and Algebraic Computation,Conference,www.issac-conference.org/2018/,,ACM,PODD
ISSAC 2017,2017,ISSAC 2017,ISSAC,25-Jul-2017,28-Jul-2017,,55,,Kaiserslautern,,Germany,Symbolic and Algebraic Computation,Conference,www.issac-conference.org/2017/,,ACM,WOLFRAM
ISSAC 2016,2016,ISSAC 2016,ISSAC,20-Jul-2016,22-Jul-2016,,50,,Waterloo,Ontario,Canada,Symbolic and Algebraic Computation,Conference,www.issac-conference.org/2016/,,ACM,SIGSAM
ISSAC 2015,2015,ISSAC 2015,ISSAC,6-Jul-2015,9-Jul-2015,71,43,60.56%,Bath,,UK,Symbolic and Algebraic Computation,Conference,www.issac-conference.org/2015/,,ACM,Maplesoft
ISSAC 2014,2014,ISSAC 2014,ISSAC,23-Jul-2014,25-Jul-2014,96,51,53.13%,Kobe,,Japan,Symbolic and Algebraic Computation,Conference,www.issac-conference.org/2014/,,ACM,Maplesoft
ISSAC 2013,2013,ISSAC 2013,ISSAC,26-Jul-2013,29-Jul-2013,,47,,Boston,Massachusetts,USA,Symbolic and Algebraic Computation,Conference,www.issac-conference.org/2013/,,ACM,Maplesoft
ISSAC 2012,2012,ISSAC 2012,ISSAC,22-Jul-2012,25-Jul-2012,96,51,53.13%,Grenoble,,France,Symbolic and Algebraic Computation,Conference,www.issac-conference.org/2012/,,ACM,Maplesoft
ISSAC 2011,2011,ISSAC 2011,ISSAC,8-Jun-2011,11-Jun-2011,83,44,53.01%,San Jose,,USA,Symbolic and Algebraic Computation,Conference,www.issac-symposium.org/2011/,,ACM,Maplesoft
ISSAC 2010,2010,ISSAC 2010,ISSAC,25-Jul-2010,28-Jul-2010,110,45,40.91%,Munich,,Germany,Symbolic and Algebraic Computation,Conference,www.issac-symposium.org/2010/,,ACM,Maplesoft
ISSAC 2009,2009,ISSAC 2009,ISSAC,28-Jul-2009,31-Jul-2009,73,47,64.38%,Seoul,,Korea,Symbolic and Algebraic Computation,Conference,issac2009.kias.re.kr/,,ACM,Maplesoft
ISSAC 2008,2008,ISSAC 2008,ISSAC,20-Jul-2008,23-Jul-2008,99,40,40.40%,Hagenberg,,Austria,Symbolic and Algebraic Computation,Conference,www.risc.jku.at/conferences/issac2008/,,ACM,
ISSAC 2007,2007,ISSAC 2007,ISSAC,29-Jul-2007,1-Aug-2007,98,50,51.02%,Waterloo,Ontario,Canada,Symbolic and Algebraic Computation,Conference,www.sigsam.org/issac/2007/,,ACM,
ISSAC 2006,2006,ISSAC 2006,ISSAC,9-Jul-2006,12-Jul-2006,97,48,49.48%,Genova,,Italy,Symbolic and Algebraic Computation,Conference,www.sigsam.org/issac/2006/,,ACM,
ISSAC 2005,2005,ISSAC 2005,ISSAC,24-Jul-2005,27-Jul-2005,,,,Beijing,,China,Symbolic and Algebraic Computation,Conference,www.sigsam.org/issac/2005/,,ACM,
ISSAC 2004,2004,ISSAC 2004,ISSAC,4-Jul-2004,7-Jul-2004,131,48,36.64%,Santander,,Spain,Symbolic and Algebraic Computation,Conference,www.sigsam.org/issac/2004/,,ACM,
ISSAC 2003,2003,ISSAC 2003,ISSAC,3-Aug-2003,6-Aug-2003,68,36,52.94%,Philadelphia,Pennsylvania,USA,Symbolic and Algebraic Computation,Conference,www.sigsam.org/issac/2003/,,ACM,
ISSAC 2002,2002,ISSAC 2002,ISSAC,7-Jul-2002,10-Jul-2002,86,35,40.70%,Lille,,France,Symbolic and Algebraic Computation,Conference,www.sigsam.org/issac/2002/,,ACM,
ISSAC 2001,2001,ISSAC 2001,ISSAC,22-Jul-2001,25-Jul-2001,,,,London,,Canada,Symbolic and Algebraic Computation,Conference,www.sigsam.org/issac/2001/,,ACM,
ISSAC 2000,2000,ISSAC 2000,ISSAC,6-Aug-2000,9-Aug-2000,98,40,40.82%,St. Andrews,,Scotland,Symbolic and Algebraic Computation,Conference,www.sigsam.org/issac/2000/,,ACM,
ISSAC 1999,1999,ISSAC 1999,ISSAC,28-Jul-1999,31-Jul-1999,,,,Vancouver,,Canada,Symbolic and Algebraic Computation,Conference,web.archive.org/web/19990203031253/www.cecm.sfu.ca/ISSAC99/,,ACM,
ISSAC 1998,1998,ISSAC 1998,ISSAC,13-Aug-1998,15-Aug-1998,,,,Rostock,,Germany,Symbolic and Algebraic Computation,Conference,www.sigsam.org/issac/1998/,,ACM,
ISSAC 1997,1997,ISSAC 1997,ISSAC,21-Jul-1997,23-Jul-1997,,,,Maui,Hawaii,USA,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac97.html,,ACM,
ISSAC 1996,1996,ISSAC 1996,ISSAC,4-Jul-1996,6-Jul-1996,121,41,0.338842975,Zurich,,Switzerland,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac96.html,,ACM,
ISSAC 1995,1995,ISSAC 1995,ISSAC,10-Jun-1995,12-Jun-1995,,,,Montreal,,Canada,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac95.html,,ACM,
ISSAC 1994,1994,ISSAC 1994,ISSAC,20-Jul-1994,22-Jul-1994,,,,Oxford,,UK,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac94.html,,ACM,
ISSAC 1993,1993,ISSAC 1993,ISSAC,6-Jul-1993,8-Jul-1993,,,,Kiev,,Ukraine,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac93.html,,ACM,
ISSAC 1992,1992,ISSAC 1992,ISSAC,27-Jul-1992,29-Jul-1992,,,,Berkeley,California,USA,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac92.html,,ACM,
ISSAC 1991,1991,ISSAC 1991,ISSAC,15-Jul-1991,17-Jul-1991,,,,Bonn,,Germany,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac91.html,,ACM,
ISSAC 1990,1990,ISSAC 1990,ISSAC,20-Aug-1990,24-Aug-1990,,,,Tokyo,,Japan,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac90.html,,ACM,
ISSAC 1989,1989,ISSAC 1989,ISSAC,17-Aug-1989,19-Aug-1989,,,,Portland,Oregon,USA,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac89.html,,ACM,
ISSAC 1988,1988,ISSAC 1988,ISSAC,4-Jul-1988,8-Jul-1988,,,,Rome,,Italy,Symbolic and Algebraic Computation,Conference,dblp2.uni-trier.de/db/conf/issac/issac88.html,,ACM,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
