Title,Event[Start Year],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor],,,,,,,,,
18th International Semantic Web Conference,2019,ISWC 2019,ISWC,25-Jun-2019,30-Jun-2019,,,,San Diego,,USA,Semantic web,Conference,http://icws.org/2019/,IEEE,Springer,,,,,,,,,
17th International Semantic Web Conference,2018,ISWC 2018,ISWC,8-Oct-2018,12-Oct-2018,,,,Monterey,California,USA,Semantic web,Conference,iswc2018.semanticweb.org/,IEEE,Springer,,,,,,,,,
16th International Semantic Web Conference,2017,ISWC 2017,ISWC,21-Oct-2017,25-Oct-2017,326,67,20.6%,Vienna,,Austria,Semantic web,Conference,iswc2017.semanticweb.org/,IEEE,Springer,,,,,,,,,
15th International Semantic Web Conference,2016,ISWC 2016,ISWC,17-Oct-2016,21-Oct-2016,212,39,18.4%,Kobe,,Japan,Semantic web,Conference,iswc2016.semanticweb.org/,IEEE,IBM,,,,,,,,,
14th International Semantic Web Conference,2015,ISWC 2015,ISWC,11-Oct-2015,15-Oct-2015,172,38,22.1%,Bethlehem,Pennsylvania,USA,Semantic web,Conference,iswc2015.semanticweb.org/,IEEE,IEEE,,,,,,,,,
13th International Semantic Web Conference,2014,ISWC 2014,ISWC,19-Oct-2014,23-Oct-2014,180,38,21.1%,Riva del Garda,Trentino,Italy,Semantic web,Conference,iswc2014.semanticweb.org/,IEEE,Springer,,,,,,,,,
12th International Semantic Web Conference,2013,ISWC 2013,ISWC,21-Oct-2013,25-Oct-2013,210,45,21.4%,Sydney,,Australia,Semantic web,Conference,iswc2013.semanticweb.org/,IEEE,,,,,,,,,,
11th International Semantic Web Conference,2012,ISWC 2012,ISWC,11-Nov-2012,15-Nov-2012,183,41,22.4%,Boston,,USA,Semantic web,Conference,iswc2012.semanticweb.org/,IEEE,,,,,,,,,,
10th International Semantic Web Conference,2011,ISWC 2011,ISWC,23-Oct-2011,27-Oct-2011,264,50,18.9%,Bonn,,Germany,Semantic web,Conference,iswc2011.semanticweb.org/,IEEE,,,,,,,,,,
9th International Semantic Web Conference,2010,ISWC 2010,ISWC,7-Nov-2010,11-Nov-2010,228,51,22.4%,Shanghai,,China,Semantic web,Conference,iswc2010.semanticweb.org/,IEEE,,,,,,,,,,
8th International Semantic Web Conference,2009,ISWC 2009,ISWC,25-Oct-2009,29-Oct-2009,250,43,17.2%,Chantilly,,USA,Semantic web,Conference,iswc2009.semanticweb.org/,IEEE,,,,,,,,,,
7th International Semantic Web Conference,2008,ISWC 2008,ISWC,26-Oct-2008,30-Oct-2008,261,43,16.5%,Karlsruhe,,Germany,Semantic web,Conference,iswc2008.semanticweb.org/,IEEE,,,,,,,,,,
6th International Semantic Web Conference,2007,ISWC 2007,ISWC,11-Nov-2007,15-Nov-2007,257,50,19.5%,Busan,,Korea,Semantic web,Conference,iswc2007.semanticweb.org/,IEEE,,,,,,,,,,
5th International Semantic Web Conference,2006,ISWC 2006,ISWC,5-Nov-2006,9-Nov-2006,215,52,24.2%,Athens,,USA,Semantic web,Conference,iswc2006.semanticweb.org/,IEEE,,,,,,,,,,
4th International Semantic Web Conference,2005,ISWC 2005,ISWC,6-Nov-2005,10-Nov-2005,217,54,24.9%,Galway,,Ireland,Semantic web,Conference,iswc2005.semanticweb.org/,IEEE,,,,,,,,,,
3rd International Semantic Web Conference,2004,ISWC 2004,ISWC,7-Nov-2004,11-Nov-2004,205,48,23.4%,Hiroshima,,Japan,Semantic web,Conference,iswc2004.semanticweb.org/,IEEE,,,,,,,,,,
2nd International Semantic Web Conference,2003,ISWC 2003,ISWC,20-Oct-2003,23-Oct-2003,262,49,18.7%,Sanibel Island,Florida,USA,Semantic web,Conference,iswc2003.semanticweb.org/,IEEE,,,,,,,,,,
1st International Semantic Web Conference,2002,ISWC 2002,ISWC,9-Jun-2002,12-Jun-2002,95,27,28.4%,Chia,Sardinia,Italy,Semantic web,Conference,iswc2002.semanticweb.org/,IEEE,,,,,,,,,,
