Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[sponsors],Event[Publisher]
IEEE Symposium on Information Visualization,2018,Infovis 2018,Infovis,21-Oct-2018,26-Oct-2018,185,47,25.13%,Berlin,,Germany,Information Visualization,Symposium,http://ieeevis.org/year/2018/welcome,NSF,IEEE
IEEE Symposium on Information Visualization,2017,Infovis 2017,Infovis,1-Oct-2017,6-Oct-2017,170,39,22.94%,Phoenix,Arizona,USA,Information Visualization,Symposium,http://ieeevis.org/year/2017/welcome,NSF,IEEE
IEEE Symposium on Information Visualization,2016,Infovis 2016,Infovis,23-Oct-2016,28-Oct-2016,165,38,23%,Baltimore,Maryland,USA,Information Visualization,Symposium,http://ieeevis.org/year/2016/info/call-participation/infovis-papers,NSF,IEEE
IEEE Symposium on Information Visualization,2015,Infovis 2015,Infovis,25-Oct-2015,30-Oct-2015,178,38,21.34%,Chicago,,USA,Information Visualization,Symposium,http://ieeevis.org/year/2015/info/call-participation/infovis-papers,NSF,IEEE
IEEE Symposium on Information Visualization,2014,Infovis 2014,Infovis,9-Nov-2014,14-Nov-2014,196,45,23%,Paris,,France,Information Visualization,Symposium,http://ieeevis.org/year/2014/info/call-participation/infovis-papers,INRIA,IEEE
IEEE Symposium on Information Visualization,2013,Infovis 2013,Infovis,13-Oct-2013,18-Oct-2013,151,38,25%,Atlanta,Georgia,USA,Information Visualization,Symposium,http://ieeevis.org/year/2013/info/vis-welcome/welcome,Cisco,IEEE
IEEE Symposium on Information Visualization,2012,Infovis 2012,Infovis,14-Oct-2012,19-Oct-2012,178,44,24.72%,seattle,washington,USA,Information Visualization,Symposium,http://ieeevis.org/year/2012/info/call-participation/welcome,IBM,IEEE
IEEE Symposium on Information Visualization,2011,Infovis 2011,Infovis,23-Oct-2011,28-Oct-2011,172,44,25.58%,Providence,,USA,Information Visualization,Symposium,http://ieeevis.org/year/2011/paper-session/all/infovis,Tableau,IEEE
IEEE Symposium on Information Visualization,2010,Infovis 2010,Infovis,24-Oct-2010,29-Oct-2010,135,35,26%,Salt Lake city,Utah,USA,Information Visualization,Symposium,http://vis.computer.org/VisWeek2010/infovis/index.html,SCI,IEEE
IEEE Symposium on Information Visualization,2009,Infovis 2009,Infovis,11-Oct-2009,16-Oct-2009,141,37,26%,Atlantic city,New Jesy,USA,Information Visualization,Symposium,http://vis.computer.org/VisWeek2009/infovis/,I2,IEEE
IEEE Symposium on Information Visualization,2008,Infovis 2008,Infovis,19-Oct-2008,24-Oct-2008,107,28,26%,Colombus,,USA,Information Visualization,Symposium,http://vis.computer.org/VisWeek2008/infovis/sessions_overview.html,,IEEE
IEEE Symposium on Information Visualization,2007,Infovis 2007,Infovis,28-Oct-2007,1-Nov-2007,116,27,23%,Sacamento,California,USA,Information Visualization,Symposium,http://vis.computer.org/vis2007/,,IEEE
IEEE Symposium on Information Visualization,2006,Infovis 2006,Infovis,29-Oct-2006,2-Nov-2006,104,27,23%,Baltimore,Maryland,USA,Information Visualization,Symposium,http://vis.computer.org/vis2006/,,IEEE
IEEE Symposium on Information Visualization,2005,Infovis 2005,Infovis,23-Oct-2005,25-Oct-2005,114,31,27%,Minneapolis,,USA,Information Visualization,Symposium,https://www.infovis.org/infovis/2005/,,IEEE
IEEE Symposium on Information Visualization,2004,Infovis 2004,Infovis,10-Oct-2004,12-Oct-2004,89,27,30%,Austin,Texas,USA,Information Visualization,Symposium,https://infovis.org/infovis2004/,,IEEE
IEEE Symposium on Information Visualization,2003,Infovis 2003,Infovis,20-Oct-2003,21-Oct-2003,90,29,32%,seattle,Washington,USA,Information Visualization,Symposium,https://dblp1.uni-trier.de/db/conf/infovis/,,IEEE
IEEE Symposium on Information Visualization,2002,Infovis 2002,Infovis,27-Oct-2002,1-Nov-2002,78,23,30%,Boston,MA,USA,Information Visualization,Symposium,https://dblp1.uni-trier.de/db/conf/infovis/,,IEEE
IEEE Symposium on Information Visualization,2001,Infovis 2001,Infovis,22-Oct-2001,23-Oct-2001,63,22,35%,San Deigo,California,USA,Information Visualization,Symposium,https://dblp1.uni-trier.de/db/conf/infovis/,,IEEE
IEEE Symposium on Information Visualization,2000,Infovis 2000,Infovis,9-Oct-2000,10-Oct-2000,,20,,Salt Lake city,,USA,Information Visualization,Symposium,https://dblp1.uni-trier.de/db/conf/infovis/,,IEEE
IEEE Symposium on Information Visualization,1999,Infovis 1999,Infovis,24-Oct-1999,29-Oct-1999,47,19,40%,San Francisco,,USA,Information Visualization,Symposium,https://dblp1.uni-trier.de/db/conf/infovis/,,IEEE
IEEE Symposium on Information Visualization,1998,Infovis 1998,Infovis,19-Oct-1998,20-Oct-1998,,18,,Research Triangle Park,,USA,Information Visualization,Symposium,https://dblp1.uni-trier.de/db/conf/infovis/,,IEEE
IEEE Symposium on Information Visualization,1997,Infovis 1997,Infovis,18-Oct-1997,25-Oct-1997,27,16,59%,Phoenix,,USA,Information Visualization,Symposium,https://dblp1.uni-trier.de/db/conf/infovis/,,IEEE
IEEE Symposium on Information Visualization,1996,Infovis 1996,Infovis,28-Oct-1996,29-Oct-1996,34,19,56%,San Francisco,,USA,Information Visualization,Symposium,https://dblp1.uni-trier.de/db/conf/infovis/,,IEEE
IEEE Symposium on Information Visualization,1995,Infovis 1995,Infovis,30-Oct-1995,31-Oct-1995,37,18,49%,Atlanta,Georgia,USA,Information Visualization,Symposium,https://dblp1.uni-trier.de/db/conf/infovis/,,IEEE
IEEE Symposium on Information Visualization,1994,Infovis 1994,Infovis,,,,,,Washington DC,,USA,Information Visualization,Symposium,,,IEEE
IEEE Symposium on Information Visualization,1993,Infovis 1993,Infovis,,,,,,San Jose,,USA,Information Visualization,Symposium,,,IEEE
IEEE Symposium on Information Visualization,1992,Infovis 1992,Infovis,,,,,,Boston,,USA,Information Visualization,Symposium,,,IEEE
IEEE Symposium on Information Visualization,1991,Infovis 1991,Infovis,,,,,,San Deigo,,USA,Information Visualization,Symposium,,,IEEE
IEEE Symposium on Information Visualization,1990,Infovis 1990,Infovis,,,,,,San Francisco,California,USA,Information Visualization,Symposium,,,IEEE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
