Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Events{Sponsor],Event[Publisher]
Annual International Conference on Mobile Computing and Networking,2019,MOBICOM 2019,MOBICOM,,,,,,,,,Mobile Computing and Networking,Conference,,,ACM
Annual International Conference on Mobile Computing and Networking,2018,MOBICOM 2018,MOBICOM,29-Oct-2018,2-Nov-2018,16,10,62.50%,New Delhi,,India,Mobile Computing and Networking,Conference,https://sigmobile.org/mobicom/2018/,ACM,ACM
Annual International Conference on Mobile Computing and Networking,2017,MOBICOM 2017,MOBICOM,16-Oct-2017,20-Oct-2017,186,35,18.82%,Snowbird,Utah,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2017/,SIGMOBILE,ACM
Annual International Conference on Mobile Computing and Networking,2016,MOBICOM 2016,MOBICOM,3-Oct-2016,7-Oct-2016,226,31,13.72%,New York,,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2016/,QUALCOMM,ACM
Annual International Conference on Mobile Computing and Networking,2015,MOBICOM 2015,MOBICOM,7-Sep-2015,11-Sep-2015,207,38,18.36%,Paris,,France,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2015/,NSF,ACM
Annual International Conference on Mobile Computing and Networking,2014,MOBICOM 2014,MOBICOM,7-Sep-2014,11-Sep-2014,220,36,16.36%,Maui,Hawaii,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2014/,NSF,ACM
Annual International Conference on Mobile Computing and Networking,2013,MOBICOM 2013,MOBICOM,30-Sep-2013,2-Oct-2013,207,28,13.53%,Miami,Florida,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2013/,NSF,ACM
Annual International Conference on Mobile Computing and Networking,2012,MOBICOM 2012,MOBICOM,22-Aug-2012,26-Aug-2012,212,32,15.10%,Istanbul,,turkey,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2012/,SIGMOBILE,ACM
Annual International Conference on Mobile Computing and Networking,2011,MOBICOM 2011,MOBICOM,19-Sep-2011,23-Sep-2011,214,29,13.60%,Las vegas,Neveda,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2011/,NSF,ACM
Annual International Conference on Mobile Computing and Networking,2010,MOBICOM 2010,MOBICOM,20-Sep-2010,24-Sep-2010,233,33,14.20%,chicago,,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2010/,ACM,ACM
Annual International Conference on Mobile Computing and Networking,2009,MOBICOM 2009,MOBICOM,20-Sep-2009,25-Sep-2009,282,30,10.60%,Beijing,,china,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2009/,ACM,ACM
Annual International Conference on Mobile Computing and Networking,2008,MOBICOM 2008,MOBICOM,14-Sep-2008,19-Sep-2008,264,31,11.70%,San Fancisco,California,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2008/,SIGMOBILE,ACM
Annual International Conference on Mobile Computing and Networking,2007,MOBICOM 2007,MOBICOM,9-Sep-2007,14-Sep-2007,233,26,11.10%,Montreal,,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2007/,,ACM
Annual International Conference on Mobile Computing and Networking,2006,MOBICOM 2006,MOBICOM,24-Sep-2006,29-Sep-2006,298,35,11.70%,Los Angeles ,,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2006/,,ACM
Annual International Conference on Mobile Computing and Networking,2005,MOBICOM 2005,MOBICOM,28-Aug-2005,2-Sep-2005,224,23,10.30%,Cologne,,Germany,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2005/,,ACM
Annual International Conference on Mobile Computing and Networking,2004,MOBICOM 2004,MOBICOM,26-Sep-2004,1-Oct-2004,327,26,8.00%,Philadelphia,PA,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2004/,,ACM
Annual International Conference on Mobile Computing and Networking,2003,MOBICOM 2003,MOBICOM,14-Sep-2003,19-Sep-2003,281,27,9.60%,San Deigo,California,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2003/,,ACM
Annual International Conference on Mobile Computing and Networking,2002,MOBICOM 2002,MOBICOM,23-Sep-2002,28-Sep-2002,364,26,9.60%,Atlanta,Georgia,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2002/,,ACM
Annual International Conference on Mobile Computing and Networking,2001,MOBICOM 2001,MOBICOM,16-Jul-2001,21-Jul-2001,281,30,10.70%,Rome,,Italy,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2001/,,ACM
Annual International Conference on Mobile Computing and Networking,2000,MOBICOM 2000,MOBICOM,6-Aug-2000,11-Aug-2000,226,28,12.30%,Boston,,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/2000/,,ACM
Annual International Conference on Mobile Computing and Networking,1999,MOBICOM 1999,MOBICOM,15-Aug-1999,20-Aug-1999,170,23,13.50%,Seattle,Washington,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/1999/,,ACM
Annual International Conference on Mobile Computing and Networking,1998,MOBICOM 1998,MOBICOM,25-Oct-1998,30-Oct-1998,147,27,18.40%,Dallas,Texas,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/1998/,,ACM
Annual International Conference on Mobile Computing and Networking,1997,MOBICOM 1997,MOBICOM,26-Sep-1997,30-Sep-1997,101,26,25.70%,Budapest,,Hungary,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/1997/,,ACM
Annual International Conference on Mobile Computing and Networking,1996,MOBICOM 1996,MOBICOM,11-Nov-1996,12-Nov-1996,90,18,20%,,,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/1996/,,ACM
Annual International Conference on Mobile Computing and Networking,1995,MOBICOM 1995,MOBICOM,13-Nov-1995,15-Nov-1995,79,20,25.30%,Berkley,California,USA,Mobile Computing and Networking,Conference,https://www.sigmobile.org/mobicom/1995/,,ACM
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
