Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Acceptance Rate],Event[City],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor],,,,,,,,,,
25th Annual Network and Distributed System Security Symposium,2018,NDSS 2018,NDSS,18-Feb-2018,21-Feb-2018,,,,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/,NDSS,CISCO,,,,,,,,,,
24th Annual Network and Distributed System Security Symposium,2017,NDSS 2017,NDSS,26-Feb-2017,1-Mar-2017,423,68,16.1%,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/ndss2017/,NDSS,CISCO,,,,,,,,,,
23rd Annual Network and Distributed System Security Symposium,2016,NDSS 2016,NDSS,21-Feb-2016,24-Feb-2016,389,60,15.4%,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/ndss2016/,NDSS,CISCO,,,,,,,,,,
22nd Annual Network and Distributed System Security Symposium,2015,NDSS 2015,NDSS,8-Feb-2015,11-Feb-2015,302,51,16.9%,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/ndss2015/,NDSS,CISCO,,,,,,,,,,
21th Annual Network and Distributed System Security Symposium,2014,NDSS 2014,NDSS,23-Feb-2014,26-Feb-2014,295,55,18.6%,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/ndss2014/,NDSS,CISCO,,,,,,,,,,
20th Annual Network and Distributed System Security Symposium,2013,NDSS 2013,NDSS,24-Feb-2013,27-Feb-2013,250,47,18.8%,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/ndss2013/,NDSS,CISCO,,,,,,,,,,
19th Annual Network and Distributed System Security Symposium,2012,NDSS 2012,NDSS,5-Feb-2012,8-Feb-2012,258,46,17.8%,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/ndss2012/,NDSS,intenet 2,,,,,,,,,,
18th Network and Distributed System Security Symposium,2011,NDSS 2011,NDSS,6-Feb-2011,9-Feb-2011,139,28,20.1%,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/ndss2011/,NDSS,CISCO,,,,,,,,,,
17th Network and Distributed System Security Symposium,2010,NDSS 2010,NDSS,28-Feb-2010,3-Mar-2010,156,24,15.4%,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/ndss2010/,NDSS,CISCO,,,,,,,,,,
16th Network and Distributed System Security Symposium,2009,NDSS 2009,NDSS,8-Feb-2009,11-Feb-2009,171,20,11.7%,San Diego,USA,Computer Security,Symposium,www.ndss-symposium.org/ndss2009/,NDSS,CISCO,,,,,,,,,,
