Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Sponsors],Event[Publisher]
International Conference on Pervasive Computing and Communications,2019,PERCOM 2019,PERCOM,11-Mar-2019,15-Mar-2019,,,,Kyoto,,Japan,Pervasive Computing,Conference,www.percom.org/,IEEE,IEEE
International Conference on Pervasive Computing and Communications,2018,PERCOM 2018,PERCOM,19-Mar-2018,23-Mar-2018,,,,Athens,,Greece,Pervasive Computing,Conference,www.percom.org/,IEEE,IEEE
International Conference on Pervasive Computing and Communications,2017,PERCOM 2017,PERCOM,13-Mar-2017,17-Mar-2017,194,32,16.5%,Kona,Hawaii,USA,Pervasive Computing,Conference,www.percom.org/Previous/ST2017/,NSF,IEEE
International Conference on Pervasive Computing and Communications,2016,PERCOM 2016,PERCOM,14-Mar-2016,18-Mar-2016,168,25,14.9%,Sydney,,Australia,Pervasive Computing,Conference,www.percom.org/Previous/ST2016/,NSF,IEEE
International Conference on Pervasive Computing and Communications,2015,PERCOM 2015,PERCOM,23-Mar-2015,27-Mar-2015,196,29,14.8%,St. Louis,,USA,Pervasive Computing,Conference,www.percom.org/Previous/ST2015/,NSF,IEEE
International Conference on Pervasive Computing and Communications,2014,PERCOM 2014,PERCOM,24-Mar-2014,28-Mar-2014,175,25,14.3%,Budapest,,Hungary,Pervasive Computing,Conference,www.percom.org/Previous/ST2014/,NSF,IEEE
International Conference on Pervasive Computing and Communications,2013,PERCOM 2013,PERCOM,18-Mar-2013,22-Mar-2013,174,27,15.5%,San Diego,California,USA,Pervasive Computing,Conference,www.percom.org/Previous/ST2013/,NSF,IEEE
International Conference on Pervasive Computing and Communications,2012,PERCOM 2012,PERCOM,19-Mar-2012,23-Mar-2012,150,28,18.7%,Lugano,,Switzerland,Pervasive Computing,Conference,www.percom.org/Previous/ST2012/,NSF,IEEE
International Conference on Pervasive Computing and Communications,2011,PERCOM 2011,PERCOM,21-Mar-2011,25-Mar-2011,154,27,17.5%,Seattle,,USA,Pervasive Computing,Conference,www.percom.org/Previous/ST2011/,NSF,IEEE
International Conference on Pervasive Computing and Communications,2010,PERCOM 2010,PERCOM,29-Mar-2010,2-Apr-2010,227,28,12.3%,Mannheim,,Germany,Pervasive Computing,Conference,www.percom.org/Previous/ST2010/,NSF,IEEE
International Conference on Pervasive Computing and Communications,2009,PERCOM 2009,PERCOM,9-Mar-2009,13-Mar-2009,199,26,13.1%,Galveston,Texas,USA,Pervasive Computing,Conference,www.percom.org/Previous/ST2009/,,IEEE
International Conference on Pervasive Computing and Communications,2008,PERCOM 2008,PERCOM,17-Mar-2008,21-Mar-2008,160,19,11.9%,,,Hong Kong,Pervasive Computing,Conference,www.percom.org/Previous/ST2008/,,IEEE
International Conference on Pervasive Computing and Communications,2007,PERCOM 2007,PERCOM,19-Mar-2007,23-Mar-2007,208,20,9.6%,White Plains,New York,USA,Pervasive Computing,Conference,www.percom.org/Previous/ST2007/,,IEEE
International Conference on Pervasive Computing and Communications,2006,PERCOM 2006,PERCOM,13-Mar-2006,17-Mar-2006,280,23,8.2%,Pisa,,Italy,Pervasive Computing,Conference,www.percom.org/Previous/ST2006/,,IEEE
International Conference on Pervasive Computing and Communications,2005,PERCOM 2005,PERCOM,8-Mar-2005,12-Mar-2005,233,38,16.3%,Kauai Island,,USA,Pervasive Computing,Conference,www.percom.org/Previous/ST2005/,,IEEE
International Conference on Pervasive Computing and Communications,2004,PERCOM 2004,PERCOM,14-Mar-2004,17-Mar-2004,193,31,16.1%,Orlando,Florida,USA,Pervasive Computing,Conference,www.percom.org/Previous/ST2004/,,IEEE
International Conference on Pervasive Computing and Communications,2003,PERCOM 2003,PERCOM,23-Mar-2003,26-Mar-2003,170,53,31.2%,Fort Worth,Texas,USA,Pervasive Computing,Conference,www.percom.org/Previous/ST2003/,,IEEE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
