Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Events[Sponsor],Event[Publisher],,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2019,PODS 2019,PODS,30-Jun-2019,5-Jul-2019,,,,Amsterdam,,Netherland,Database Systems,Symposium,sigmod2019.org/,Facebook,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2018,PODS 2018,PODS,10-Jun-2018,15-Jun-2018,,,,Houston,Texas,USA,Database Systems,Symposium,sigmod2018.org/,ACMSIGMOD,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2017,PODS 2017,PODS,14-May-2017,19-May-2017,,35,,Raleigh,,USA,Database Systems,Symposium,sigmod2017.org/,Oracle,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2016,PODS 2016,PODS,26-Jun-2016,1-Jul-2016,94,31,33.0%,San Francisco,California,USA,Database Systems,Symposium,www.sigmod2016.org/,Oracle,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2015,PODS 2015,PODS,31-May-2015,4-Jun-2015,80,25,31.3%,Melbourne,Victoria,Australia,Database Systems,Symposium,www.sigmod2015.org/,Oracle,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2014,PODS 2014,PODS,22-Jun-2014,27-Jun-2014,67,22,32.8%,Snowbird,,USA,Database Systems,Symposium,www.sigmod2014.org/,Oracle,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2013,PODS 2013,PODS,22-Jun-2013,27-Jun-2013,97,24,24.7%,New York,New York,USA,Database Systems,Symposium,www.sigmod.org/2013/,Microsoft,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2012,PODS 2012,PODS,20-May-2012,24-May-2012,101,26,25.7%,Scottsdale,,USA,Database Systems,Symposium,www.sigmod.org/2012/,Oracle,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2011,PODS 2011,PODS,12-Jun-2011,16-Jun-2011,113,25,22.1%,Athens,,Greece,Database Systems,Symposium,www.sigmod2011.org/,Oracle,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2010,PODS 2010,PODS,6-Jun-2010,11-Jun-2010,113,27,23.9%,Indianapolis,Indiana,USA,Database Systems,Symposium,www.sigmod2010.org/,Oracle,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2009,PODS 2009,PODS,29-Jun-2009,2-Jul-2009,97,26,26.8%,Providence,Rhode Island,USA,Database Systems,Symposium,www.sigmod09.org/,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2008,PODS 2008,PODS,9-Jun-2008,11-Jun-2008,159,28,17.6%,Vancouver,,Canada,Database Systems,Symposium,www.sigmod08.org/,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2007,PODS 2007,PODS,11-Jun-2007,13-Jun-2007,187,28,15.0%,Beijing,,China,Database Systems,Symposium,sigmod07.riit.tsinghua.edu.cn/,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2006,PODS 2006,PODS,26-Jun-2006,28-Jun-2006,185,35,18.9%,Chicago,Illinois,USA,Database Systems,Symposium,sigmod.org/publications/pastconf/sigmod2006/sigmod-pods06.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2005,PODS 2005,PODS,13-Jun-2005,15-Jun-2005,157,32,20.4%,Baltimore,Maryland,USA,Database Systems,Symposium,sigmod.org/publications/pastconf/sigmod2005/~sigmod05.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2004,PODS 2004,PODS,14-Jun-2004,16-Jun-2004,183,30,16.4%,Paris,,France,Database Systems,Symposium,sigmod.org/publications/pastconf/sigmod2004/PODScfp.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2003,PODS 2003,PODS,9-Jun-2003,12-Jun-2003,136,27,19.9%,San Diego,California,USA,Database Systems,Symposium,db.ucsd.edu/SIGMODPODS03/,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2002,PODS 2002,PODS,3-Jun-2002,5-Jun-2002,109,24,22.0%,Madison,Wisconsin,USA,Database Systems,Symposium,www-db.cs.wisc.edu/sigmodpods2002/,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2001,PODS 2001,PODS,21-May-2001,23-May-2001,99,26,26.3%,Santa Barbara,California,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods2001.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,2000,PODS 2000,PODS,15-May-2000,17-May-2000,119,26,21.8%,Dallas,Texas,USA,Database Systems,Symposium,lyle.smu.edu/sigmod2000/,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1999,PODS 1999,PODS,31-May-1999,2-Jun-1999,116,32,27.6%,Philadephia,Pennsylvania,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods99.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1998,PODS 1998,PODS,1-Jun-1998,3-Jun-1998,119,28,23.5%,Seattle,Washington,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods98.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1997,PODS 1997,PODS,12-May-1997,14-May-1997,118,23,19.5%,Tucson,Arizona,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods97.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1996,PODS 1996,PODS,3-Jun-1996,5-Jun-1996,84,22,26.2%,Montreal,,Canada,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods96.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1995,PODS 1995,PODS,22-May-1995,25-May-1995,94,25,26.6%,San Jose,California,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods95.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1994,PODS 1994,PODS,24-May-1994,26-May-1994,117,28,23.9%,Minneapolis,Minnesota,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods94.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1993,PODS 1993,PODS,25-May-1993,28-May-1993,115,26,22.6%,Washington,,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods93.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1992,PODS 1992,PODS,2-Jun-1992,4-Jun-1992,,,,San Diego,California,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods92.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1991,PODS 1991,PODS,29-May-1991,31-May-1991,,,,Denver,Colorado,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods91.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1990,PODS 1990,PODS,2-Apr-1990,4-Apr-1990,,,,Nashville,Tennessee,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods90.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1989,PODS 1989,PODS,29-Mar-1989,31-Mar-1989,,,,Philadelphia,Pennsylvania,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods89.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1988,PODS 1988,PODS,21-Mar-1988,23-Mar-1988,,,,Austin,Texas,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods88.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1987,PODS 1987,PODS,23-Mar-1987,25-Mar-1987,,,,San Diego,California,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods87.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1986,PODS 1986,PODS,24-Mar-1986,26-Mar-1986,,,,Cambridge,Massachusetts,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods86.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1985,PODS 1985,PODS,25-Mar-1985,27-Mar-1985,,,,Portland,Oregon,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods85.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1984,PODS 1984,PODS,2-Apr-1984,4-Apr-1984,,,,Waterloo,Ontario,Canada,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods84.html,,ACM,,,,,,,,,,
ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,1983,PODS 1983,PODS,21-Mar-1983,23-Mar-1983,,,,Atlanta,Georgia,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods83.html,,ACM,,,,,,,,,,
ACM Symposium on Principles of Database Systems,1982,PODS 1982,PODS,29-Mar-1982,31-Mar-1982,,,,Los Angeles,California,USA,Database Systems,Symposium,dblp2.uni-trier.de/db/conf/pods/pods82.html,,ACM,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
