Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,Event[Sponsors],Event[Publisher]
12th Conference on Recommender Systems ,2018,RecSys 2018,RecSys,2-Oct-2018,7-Oct-2018,,,,Vancouver,,Canada,Recommender Systems,Conference,recsys.acm.org/recsys18/,,Amazon,ACM
11th Conference on Recommender Systems ,2017,RecSys 2017,RecSys,27-Aug-2017,30-Aug-2017,125,26,20.8%,Como,,Italy,Recommender Systems,Conference,recsys.acm.org/recsys17/,,Netflix,ACM
10th Conference on Recommender Systems ,2016,RecSys 2016,RecSys,15-Sep-2016,19-Sep-2016,159,29,18.2%,Boston,,USA,Recommender Systems,Conference,recsys.acm.org/recsys16/,,Google,ACM
9th Conference on Recommender Systems ,2015,RecSys 2015,RecSys,16-Sep-2015,20-Sep-2015,131,28,21.4%,Vienna,,Austria,Recommender Systems,Conference,recsys.acm.org/recsys15/,,Amazon,ACM
8th Conference on Recommender Systems ,2014,RecSys 2014,RecSys,6-Oct-2014,10-Oct-2014,152,35,23.0%,Foster,California,USA,Recommender Systems,Conference,recsys.acm.org/recsys14/,,Google,ACM
7th Conference on Recommender Systems ,2013,RecSys 2013,RecSys,12-Oct-2013,16-Oct-2013,136,32,23.5%,Hong Kong,,China,Recommender Systems,Conference,recsys.acm.org/recsys13/,,IBM,ACM
6th Conference on Recommender Systems ,2012,RecSys 2012,RecSys,9-Sep-2012,13-Sep-2012,119,24,20.2%,Dublin,,Ireland,Recommender Systems,Conference,recsys.acm.org/recsys12/,,IBM,ACM
5th Conference on Recommender Systems ,2011,RecSys 2011,RecSys,23-Oct-2011,27-Oct-2011,110,22,20.0%,Chicago,,USA,Recommender Systems,Conference,recsys.acm.org/recsys11/,,SIGCHI,ACM
4th Conference on Recommender Systems ,2010,RecSys 2010,RecSys,26-Sep-2010,30-Sep-2010,129,25,19.4%,Barcelona,,Spain,Recommender Systems,Conference,recsys.acm.org/recsys10/,,Netflix,ACM
3rd Conference on Recommender Systems ,2009,RecSys 2009,RecSys,23-Oct-2009,25-Oct-2009,187,80,42.8%,,New York,USA,Recommender Systems,Conference,recsys.acm.org/recsys09/,,IBM,ACM
2nd Conference on Recommender Systems ,2008,RecSys 2008,RecSys,23-Oct-2008,25-Oct-2008,121,38,31.4%,Lausanne,,Switzerland,Recommender Systems,Conference,recsys.acm.org/recsys08/,,,ACM
1st Conference on Recommender Systems ,2007,RecSys 2007,RecSys,19-Oct-2007,20-Oct-2007,35,16,45.7%,Minneapolis,,USA,Recommender Systems,Conference,recsys.acm.org/recsys07/,,,ACM
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
