Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,Event[Sponsors],Event[Publisher]
International Symposium on Computer Architecture and High Performance Computing,2018,SBAC-PAD 2016,SBAC-PAD,24-Sep-2018,27-Sep-2018,,,,Lyon,,France,Computer Architecture and High Performance Computing,Symposium,http://www2.sbc.org.br/sbac/,,IEEE,IEEE
International Symposium on Computer Architecture and High Performance Computing,2017,SBAC-PAD 2018,SBAC-PAD,17-Oct-2017,20-Oct-2017,73,23,32%,Campinas,,Brazil,Computer Architecture and High Performance Computing,Symposium,http://www2.sbc.org.br/sbac/2017/,,IEEE,IEEE
International Symposium on Computer Architecture and High Performance Computing,2016,SBAC-PAD 2016,SBAC-PAD,26-Oct-2016,28-Oct-2016,77,27,35%,Los Angeles,,USA,Computer Architecture and High Performance Computing,Symposium,http://www2.sbc.org.br/sbac/2016/,,IEEE,IEEE
International Symposium on Computer Architecture and High Performance Computing,2015,SBAC-PAD 2015,SBAC-PAD,18-Oct-2015,21-Oct-2015,102,26,25.50%,Florianopolis,,Brazil,Computer Architecture and High Performance Computing,Symposium,http://www2.sbc.org.br/sbac/2015/,,IEEE,IEEE
International Symposium on Computer Architecture and High Performance Computing,2014,SBAC-PAD 2014,SBAC-PAD,22-Oct-2014,24-Oct-2014,132,43,32.60%,Paris ,,France,Computer Architecture and High Performance Computing,Symposium,http://sbac.lip6.fr/2014/,,IEEE,IEEE
International Symposium on Computer Architecture and High Performance Computing,2013,SBAC-PAD 2013,SBAC-PAD,23-Oct-2013,26-Oct-2013,108,28,26%,Porto de Galinhas,,Brazil,Computer Architecture and High Performance Computing,Symposium,http://www2.sbc.org.br/sbac/2013/,,IEEE,IEEE
International Symposium on Computer Architecture and High Performance Computing,2012,SBAC-PAD 2012,SBAC-PAD,24-Oct-2012,26-Oct-2012,128,36,28%,NewYork,,USA,Computer Architecture and High Performance Computing,Symposium,http://www2.sbc.org.br/sbac/2012/,,IEEE,IEEE
International Symposium on Computer Architecture and High Performance Computing,2011,SBAC-PAD 2011,SBAC-PAD,26-Oct-2011,29-Oct-2011,76,26,34.2,Vitoria,,Brazil,Computer Architecture and High Performance Computing,Symposium,http://www2.sbc.org.br/sbac/2011/,,Capes,IEEE
International Symposium on Computer Architecture and High Performance Computing,2010,SBAC-PAD 2010,SBAC-PAD,27-Oct-2010,30-Oct-2010,100,30,30%,Petropolis,,Brazil,Computer Architecture and High Performance Computing,Symposium,http://www2.sbc.org.br/sbac/2010/,,IEEE,IEEE
International Symposium on Computer Architecture and High Performance Computing,2009,SBAC-PAD 2009,SBAC-PAD,28-Oct-2009,31-Oct-2009,60,21,35%,"São Paulo,",,Brazil,Computer Architecture and High Performance Computing,Symposium,http://www2.sbc.org.br/sbac/2009/,,IEEE,IEEE
