Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Publisher],Event[Sponsors],,,,,,,,,
SIGGRAPH 2018,2018,SIGGRAPH 2018,SIGGRAPH,12-Aug-2018,16-Aug-2018,,,,Vancouver,,Canada,Graphics and Interactive Techniques,Conference,s2018.siggraph.org/,ACM,DELL,,,,,,,,,
SIGGRAPH 2017,2017,SIGGRAPH 2017,SIGGRAPH,30-Jul-2017,3-Aug-2017,439,127,0.28929385,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,s2017.siggraph.org/,ACM,HP,,,,,,,,,
SIGGRAPH 2016,2016,SIGGRAPH 2016,SIGGRAPH,24-Jul-2016,28-Jul-2016,467,119,0.254817987,Anaheim,California,USA,Graphics and Interactive Techniques,Conference,s2016.siggraph.org/,ACM,Intel,,,,,,,,,
SIGGRAPH 2015,2015,SIGGRAPH 2015,SIGGRAPH,9-Aug-2015,13-Aug-2015,462,118,0.255411255,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,s2015.siggraph.org/,ACM,Intel,,,,,,,,,
SIGGRAPH 2014,2014,SIGGRAPH 2014,SIGGRAPH,10-Aug-2014,14-Aug-2014,505,127,0.251485149,Vancouver,,Canada,Graphics and Interactive Techniques,Conference,s2014.siggraph.org/,ACM,Intel,,,,,,,,,
SIGGRAPH 2013,2013,SIGGRAPH 2013,SIGGRAPH,21-Jul-2013,25-Jul-2013,480,115,0.239583333,Anaheim,California,USA,Graphics and Interactive Techniques,Conference,s2013.siggraph.org/,ACM,Intel,,,,,,,,,
SIGGRAPH 2012,2012,SIGGRAPH 2012,SIGGRAPH,5-Aug-2012,9-Aug-2012,449,94,0.20935412,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,s2012.siggraph.org/,ACM,Intel,,,,,,,,,
SIGGRAPH 2011,2011,SIGGRAPH 2011,SIGGRAPH,7-Aug-2011,11-Aug-2011,432,82,0.189814815,Vancouver,,Canada,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2011/,ACM,DELL,,,,,,,,,
SIGGRAPH 2010,2010,SIGGRAPH 2010,SIGGRAPH,26-Jul-2010,30-Jul-2010,390,103,0.264102564,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2010/,ACM,Sony,,,,,,,,,
SIGGRAPH 2009,2009,SIGGRAPH 2009,SIGGRAPH,3-Aug-2009,7-Aug-2009,439,78,0.177676538,New Orleans,Louisiana,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2009/,ACM,ACM,,,,,,,,,
SIGGRAPH 2008,2008,SIGGRAPH 2008,SIGGRAPH,11-Aug-2008,15-Aug-2008,518,90,0.173745174,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2008/,ACM,,,,,,,,,,
SIGGRAPH 2007,2007,SIGGRAPH 2007,SIGGRAPH,5-Aug-2007,9-Aug-2007,455,108,0.237362637,San Diego,California,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2007/,ACM,,,,,,,,,,
SIGGRAPH 2006,2006,SIGGRAPH 2006,SIGGRAPH,30-Jul-2006,3-Aug-2006,474,86,0.181434599,Boston,Massachusetts,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2006/,ACM,,,,,,,,,,
SIGGRAPH 2005,2005,SIGGRAPH 2005,SIGGRAPH,31-Jul-2005,4-Aug-2005,461,98,0.212581345,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2005/,ACM,,,,,,,,,,
SIGGRAPH 2004,2004,SIGGRAPH 2004,SIGGRAPH,8-Aug-2004,12-Aug-2004,478,83,0.173640167,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2004/,ACM,,,,,,,,,,
SIGGRAPH 2003,2003,SIGGRAPH 2003,SIGGRAPH,27-Jul-2003,31-Jul-2003,424,81,0.191037736,San Diego,California,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2003/,ACM,,,,,,,,,,
SIGGRAPH 2002,2002,SIGGRAPH 2002,SIGGRAPH,23-Jul-2002,26-Jul-2002,358,67,0.187150838,San Antonio,Texas,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2002/,ACM,,,,,,,,,,
SIGGRAPH 2001,2001,SIGGRAPH 2001,SIGGRAPH,12-Aug-2001,17-Aug-2001,300,65,0.216666667,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2001/,ACM,,,,,,,,,,
SIGGRAPH 2000,2000,SIGGRAPH 2000,SIGGRAPH,23-Jul-2000,27-Jul-2000,304,59,0.194078947,New Orleans,Louisiana,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s2000/,ACM,,,,,,,,,,
SIGGRAPH 1999,1999,SIGGRAPH 1999,SIGGRAPH,8-Aug-1999,13-Aug-1999,320,52,0.1625,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s99/,ACM,,,,,,,,,,
SIGGRAPH 1998,1998,SIGGRAPH 1998,SIGGRAPH,19-Jul-1998,24-Jul-1998,303,45,0.148514851,Orlando,Florida,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s98/,ACM,,,,,,,,,,
SIGGRAPH 1997,1997,SIGGRAPH 1997,SIGGRAPH,3-Aug-1997,8-Aug-1997,265,48,0.181132075,Los Angeles,California,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/s97/,ACM,,,,,,,,,,
SIGGRAPH 1996,1996,SIGGRAPH 1996,SIGGRAPH,4-Aug-1996,9-Aug-1996,247,52,0.210526316,New Orleans,Louisiana,USA,Graphics and Interactive Techniques,Conference,www.siggraph.org/conferences/siggraph96/,ACM,,,,,,,,,,
