Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,,Event[Publisher],Event[sponsor]
International ACM SIGIR Conference on Research and Development in Information Retrieval,2018,SIGIR 2018,SIGIR,8-Jul-2018,12-Jul-2018,409,86,21%,Ann Arbor Michigan,,USA,Research and Development in Information Retrieval,Conference,http://sigir.org/sigir2018/,,,ACM,DiDi
International ACM SIGIR Conference on Research and Development in Information Retrieval,2017,SIGIR 2017,SIGIR,7-Aug-2017,11-Aug-2017,362,78,22%,Tokyo,,Japan,Research and Development in Information Retrieval,Conference,http://sigir.org/sigir2017/,,,ACM,Yahoo Japan
International ACM SIGIR Conference on Research and Development in Information Retrieval,2016,SIGIR 2016,SIGIR,17-Jul-2016,21-Jul-2016,341,62,18%,Pisa,,Italy,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=2911451&picked=prox&preflayout=flat,,,ACM,Google
International ACM SIGIR Conference on Research and Development in Information Retrieval,2015,SIGIR 2015,SIGIR,9-Aug-2015,13-Aug-2015,351,70,19.94%,Santiago,Chile,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=2766462&picked=prox,,,ACM,Google
International ACM SIGIR Conference on Research and Development in Information Retrieval,2014,SIGIR 2014,SIGIR,6-Jul-2014,11-Jul-2014,387,82,21%,Gold Coast,QLD,Australia,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=2600428&picked=prox&preflayout=flat,,,ACM,Google
International ACM SIGIR Conference on Research and Development in Information Retrieval,2013,SIGIR 2013,SIGIR,28-Jul-2013,1-Aug-2013,366,73,20%,Dubin,,Ireland,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=2484028&picked=prox,,,ACM,Sfi
International ACM SIGIR Conference on Research and Development in Information Retrieval,2012,SIGIR 2012,SIGIR,12-Aug-2012,16-Aug-2012,483,98,20%,Portland,OR,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=2348283&picked=prox&preflayout=flat,,,ACM,Google
International ACM SIGIR Conference on Research and Development in Information Retrieval,2011,SIGIR 2011,SIGIR,24-Jul-2011,28-Jul-2011,543,240,44%,Beijing,,china,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=2009916&picked=prox,,,ACM,ACM
International ACM SIGIR Conference on Research and Development in Information Retrieval,2010,SIGIR 2010,SIGIR,19-Jul-2010,23-Jul-2010,520,87,16.70%,Geneva,,Switzerland,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=1835449&picked=prox,,,ACM,Google
International ACM SIGIR Conference on Research and Development in Information Retrieval,2009,SIGIR 2009,SIGIR,19-Jul-2009,23-Jul-2009,494,78,15.79%,Boston,MA,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=1571941&picked=prox,,,ACM,Google
International ACM SIGIR Conference on Research and Development in Information Retrieval,2008,SIGIR 2008,SIGIR,20-Jul-2008,24-Jul-2008,399,85,17%,Singapore,,Singapore,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=1390334&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,2007,SIGIR 2007,SIGIR,23-Jul-2007,27-Jul-2007,490,84,17.50%,Amesterdam,,Netherland,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=1277741&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,2006,SIGIR 2006,SIGIR,6-Aug-2006,10-Aug-2006,399,74,18.50%,seattle,Washington,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=1148170&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,2005,SIGIR 2005,SIGIR,15-Aug-2005,19-Aug-2005,368,71,19%,Salvador,,Brazil,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=1076034&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,2004,SIGIR 2004,SIGIR,25-Jul-2004,29-Jul-2004,267,58,22%,Sheffield,,UK,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=1008992&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,2003,SIGIR 2003,SIGIR,28-Aug-2003,1-Sep-2003,266,46,17%,Toronto,ON,Canada,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=860435&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,2002,SIGIR 2002,SIGIR,11-Aug-2002,15-Aug-2002,219,44,20%,Tampere,,Finland,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=564376&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,2001,SIGIR 2001,SIGIR,9-Sep-2001,12-Sep-2001,201,47,23%,New Orleans,,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=383952&picked=prox&preflayout=flat,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,2000,SIGIR 2000,SIGIR,24-Jul-2000,28-Jul-2000,,,,Athens,,Greece,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=345508&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1999,SIGIR 1999,SIGIR,15-Aug-1999,19-Aug-1999,135,33,24%,Berkeley,CA,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=312624&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1998,SIGIR 1998,SIGIR,24-Aug-1998,28-Aug-1998,,,,Melbourne,,Australia,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=290941&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1997,SIGIR 1997,SIGIR,27-Jul-1997,31-Jul-1997,,,,Philadelphia,PA,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=258525&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1996,SIGIR 1996,SIGIR,18-Aug-1996,21-Aug-1996,,,,Zurich,,Switzerland,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=243199&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1995,SIGIR 1995,SIGIR,9-Jul-1995,13-Jul-1995,,,,seattle,,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=243199&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1994,SIGIR 1994,SIGIR,3-Jul-1994,6-Jul-1994,,,,Dublin,,Ireland,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=188490&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1993,SIGIR 1993,SIGIR,27-Jun-1993,1-Jul-1993,,,,Pittsburg,PA,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=160688&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1992,SIGIR 1992,SIGIR,21-Jul-1992,24-Jul-1992,,,,Copenhagen,,Denmark,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=133160&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1991,SIGIR 1991,SIGIR,13-Oct-1991,16-Oct-1991,,,,Chicago,,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=122860&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1990,SIGIR 1990,SIGIR,5-Sep-1990,7-Sep-1990,,,,Brussels,,Belgium,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=96749&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1989,SIGIR 1989,SIGIR,25-Jun-1989,28-Jun-1989,,,,Cambridge,MA,UK,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=75334&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1988,SIGIR 1988,SIGIR,,,,,,,,,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=75334&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1987,SIGIR1987,SIGIR,3-Jun-1987,5-Jun-1987,,,,New Orleans,MA,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=42005&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1986,SIGIR 1986,SIGIR,17-Oct-1986,18-Oct-1986,,,,San Deigo,,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=253168&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1985,SIGIR 1985,SIGIR,5-Jun-1985,7-Jun-1985,,,,Montreal,Quebec,Canada,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=253495&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1984,SIGIR 1984,SIGIR,2-Jul-1984,6-Jul-1984,,,,Cambridge,,UK,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=636805&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1983,SIGIR 1983,SIGIR,6-Jun-1983,8-Jun-1983,,,,Bethesda,Maryland,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=511793&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1982,SIGIR 1982,SIGIR,18-May-1982,20-May-1982,,,,West Berlin,,Germany,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=636713&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1981,SIGIR 1981,SIGIR,31-May-1981,2-Jun-1981,,,,Oakland,California,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=511754&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1980,SIGIR 1980,SIGIR,23-Jun-1980,27-Jun-1980,,,,Cambridge,England,UK,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=636669&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1979,SIGIR 1979,SIGIR,27-Sep-1979,28-Sep-1979,,,,Dallas,Texas,USA,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=511706&picked=prox,,,ACM,
International ACM SIGIR Conference on Research and Development in Information Retrieval,1978,SIGIR 1978,SIGIR,10-May-1978,12-May-1978,,,,,,,Research and Development in Information Retrieval,Conference,https://dl.acm.org/citation.cfm?id=800096&picked=prox,,,ACM,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
