Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Publisher],Event[sponsor]
International Conference on Management of Data,2018,SIGMOD 2018,SIGMOD,10-Jun-2018,15-Jun-2018,461,90,19.5%,Houston,Texas,USA,Management of Data,Conference,sigmod2018.org/,ACM,Facebook
SIGMOD 2017,2017,SIGMOD 2017,SIGMOD,14-May-2017,19-May-2017,525,105,20.0%,Raleigh,North Carolina,USA,Management of Data,Conference,sigmod2017.org/,ACM,Microsoft
SIGMOD 2016,2016,SIGMOD 2016,SIGMOD,26-Jun-2016,1-Jul-2016,722,137,19.0%,San Francisco,California,USA,Management of Data,Conference,www.sigmod2016.org/,ACM,Oracle
SIGMOD 2015,2015,SIGMOD 2015,SIGMOD,31-May-2015,5-Jun-2015,415,106,25.5%,Melbourne,Victoria,Australia,Management of Data,Conference,www.sigmod2015.org/,ACM,Oracle
SIGMOD 2014,2014,SIGMOD 2014,SIGMOD,22-Jun-2014,27-Jun-2014,421,107,25.4%,Snowbird,,USA,Management of Data,Conference,www.sigmod2014.org/,ACM,Oracle
SIGMOD 2013,2013,SIGMOD 2013,SIGMOD,22-Jun-2013,27-Jun-2013,372,76,20.4%,New York,New York,USA,Management of Data,Conference,www.sigmod.org/2013/,ACM,Oracle
SIGMOD 2012,2012,SIGMOD 2012,SIGMOD,20-May-2012,24-May-2012,289,48,16.6%,Scottsdale,,USA,Management of Data,Conference,www.sigmod.org/2012/,ACM,Oracle
SIGMOD 2011,2011,SIGMOD 2011,SIGMOD,12-Jun-2011,16-Jun-2011,375,87,23.2%,Athens,,Greece,Management of Data,Conference,www.sigmod2011.org/,ACM,Oracle
SIGMOD 2010,2010,SIGMOD 2010,SIGMOD,6-Jun-2010,10-Jun-2010,384,80,20.8%,Indianapolis,Indiana,USA,Management of Data,Conference,www.sigmod2010.org/,ACM,Oracle
SIGMOD 2009,2009,SIGMOD 2009,SIGMOD,29-Jun-2009,2-Jul-2009,430,118,27.4%,Providence,Rhode Island,USA,Management of Data,Conference,www.sigmod09.org/,ACM,Oracle
SIGMOD 2008,2008,SIGMOD 2008,SIGMOD,9-Jun-2008,12-Jun-2008,435,78,17.9%,Vancouver,,Canada,Management of Data,Conference,www.sigmod08.org/,ACM,
SIGMOD 2007,2007,SIGMOD 2007,SIGMOD,11-Jun-2007,14-Jun-2007,480,70,14.6%,Beijing,,China,Management of Data,Conference,sigmod07.riit.tsinghua.edu.cn/,ACM,
SIGMOD 2006,2006,SIGMOD 2006,SIGMOD,26-Jun-2006,29-Jun-2006,446,58,13.0%,Chicago,Illinois,USA,Management of Data,Conference,sigmod.org/publications/pastconf/sigmod2006/sigmod-pods06.html,ACM,
SIGMOD 2005,2005,SIGMOD 2005,SIGMOD,13-Jun-2005,16-Jun-2005,431,65,15.1%,Baltimore,Maryland,USA,Management of Data,Conference,sigmod.org/publications/pastconf/sigmod2005/~sigmod05.html,ACM,
SIGMOD 2004,2004,SIGMOD 2004,SIGMOD,13-Jun-2004,16-Jun-2004,431,69,16.0%,Paris,,France,Management of Data,Conference,sigmod.org/publications/pastconf/sigmod2004/SIGMODcfp.html,ACM,
SIGMOD 2003,2003,SIGMOD 2003,SIGMOD,9-Jun-2003,12-Jun-2003,342,53,15.5%,San Diego,California,USA,Management of Data,Conference,db.ucsd.edu/SIGMODPODS03/,ACM,
