Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,,EVENT[PUBLISHER],Event[Sponsor]
ACM Symposium on Parallelism in Algorithms and Architectures,2018,SPAA 2018,SPAA,16-Jul-2018,18-Jul-2018,120,36,30%,Vienna,,Austria,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=3210377&picked=prox,,,ACM,Oracle
ACM Symposium on Parallelism in Algorithms and Architectures,2017,SPAA 2017,SPAA,24-Jul-2017,26-Jul-2017,127,31,25%,Washington DC,,USA,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=3087556,,,ACM,SIGARCH
ACM Symposium on Parallelism in Algorithms and Architectures,2016,SPAA 2016,SPAA,11-Jul-2016,13-Jul-2016,,38,24%,Pacific Grove,CA,USA,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=2935764&picked=prox&preflayout=flat,,,ACM,SIGARCH
ACM Symposium on Parallelism in Algorithms and Architectures,2015,SPAA 2015,SPAA,13-Jun-2015,15-Jun-2015,131,31,24%,Portland,OR,USA,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=2755573&picked=prox,,,ACM,SIGARCH
ACM Symposium on Parallelism in Algorithms and Architectures,2014,SPAA 2014,SPAA,23-Jun-2014,25-Jun-2014,122,30,25%,Prague,,Czech Republic,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=2612669&picked=prox,,,ACM,SIGARCH
ACM Symposium on Parallelism in Algorithms and Architectures,2013,SPAA 2013,SPAA,23-Jul-2013,25-Jul-2013,130,31,24%,Montreal,QC,Canada,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=2486159&picked=prox,,,ACM,SIGARCH
ACM Symposium on Parallelism in Algorithms and Architectures,2012,SPAA 2012,SPAA,25-Jun-2012,27-Jun-2012,120,31,26%,Pittsburg,PA,USA,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=2312005&picked=prox,,,ACM,SIGARCH
ACM Symposium on Parallelism in Algorithms and Architectures,2011,SPAA 2011,SPAA,4-Jun-2011,6-Jun-2011,116,35,30%,San Jose,CA,USA,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=1989493&picked=prox,,,ACM,IBM
ACM Symposium on Parallelism in Algorithms and Architectures,2010,SPAA 2010,SPAA,13-Jun-2010,15-Jun-2010,110,35,32%,Thira,Santorini,Greece,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=1810479&picked=prox,,,ACM,SIGARCH
ACM Symposium on Parallelism in Algorithms and Architectures,2009,SPAA 2009,SPAA,11-Aug-2009,13-Aug-2009,114,35,31%,Calgary,AB,Canada,Parallelism in Algorithms and Architectures,Symposium,https://dl.acm.org/citation.cfm?id=1583991&picked=prox,,,ACM,intel
