Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor]
50th Annual ACM SIGACT Symposium on Theory of Computing,2018,STOC 2018,STOC,25-Jun-2018,29-Jun-2018,,,,Los Angeles,California,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2018/,ACM,google
49th Annual ACM SIGACT Symposium on Theory of Computing,2017,STOC 2017,STOC,19-Jun-2017,23-Jun-2017,422,103,24.4%,Montréal,Québec,Canada,Theory of Computing,Symposium,acm-stoc.org/stoc2017/,ACM,google
48th Annual ACM SIGACT Symposium on Theory of Computing,2016,STOC 2016,STOC,18-Jun-2016,21-Jun-2016,370,92,24.9%,Cambridge,,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2016/,ACM,google
47th Annual ACM SIGACT Symposium on Theory of Computing,2015,STOC 2015,STOC,14-Jun-2015,17-Jun-2015,347,93,26.8%,Portland,,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2015/,ACM,IBM
46th Annual ACM SIGACT Symposium on Theory of Computing,2014,STOC 2014,STOC,31-May-2014,3-Jun-2014,319,91,28.5%,New York,New York,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2014/,ACM,IBM
45th Annual ACM SIGACT Symposium on Theory of Computing,2013,STOC 2013,STOC,1-Jun-2013,3-Jun-2013,360,100,27.8%,Palo Alto,California,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2013/,ACM,IBM
44th Annual ACM SIGACT Symposium on Theory of Computing,2012,STOC 2012,STOC,19-May-2012,22-May-2012,303,89,29.4%,New York,New York,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2012/,ACM,Microsoft
43rd Annual ACM SIGACT Symposium on Theory of Computing,2011,STOC 2011,STOC,6-Jun-2011,8-Jun-2011,304,84,27.6%,San Jose,California,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2011/,ACM,Microsoft
42nd Annual ACM SIGACT Symposium on Theory of Computing,2010,STOC 2010,STOC,5-Jun-2010,8-Jun-2010,279,78,28.0%,Cambridge,Massachusetts,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2010/,ACM,Microsoft
41st Annual ACM SIGACT Symposium on Theory of Computing,2009,STOC 2009,STOC,31-May-2009,2-Jun-2009,329,77,23.4%,Bethesda,,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2009/,ACM,Microsoft
40th Annual ACM SIGACT Symposium on Theory of Computing,2008,STOC 2008,STOC,17-May-2008,20-May-2008,325,80,24.6%,Victoria,British Columbia,Canada,Theory of Computing,Symposium,acm-stoc.org/stoc2008/,ACM,
39th Annual ACM SIGACT Symposium on Theory of Computing,2007,STOC 2007,STOC,11-Jun-2007,13-Jun-2007,312,77,24.7%,San Diego,California,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2007/,ACM,
38th Annual ACM SIGACT Symposium on Theory of Computing,2006,STOC 2006,STOC,21-May-2006,23-May-2006,288,78,27.1%,Seattle,Washigton,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2006/,ACM,
37th Annual ACM SIGACT Symposium on Theory of Computing,2005,STOC 2005,STOC,22-May-2005,24-May-2005,,,,Baltimore,Maryland,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2005/,ACM,
36th Annual ACM SIGACT Symposium on Theory of Computing,2004,STOC 2004,STOC,13-Jun-2004,16-Jun-2004,271,71,26.2%,Chicago,Illinois,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2004/,ACM,
35th Annual ACM SIGACT Symposium on Theory of Computing,2003,STOC 2003,STOC,9-Jun-2003,11-Jun-2003,270,80,29.6%,San Diego,California,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2003/,ACM,
34th Annual ACM SIGACT Symposium on Theory of Computing,2002,STOC 2002,STOC,19-May-2002,21-May-2002,287,91,31.7%,Montréal,Québec,Canada,Theory of Computing,Symposium,acm-stoc.org/stoc2002/,ACM,
33rd Annual ACM SIGACT Symposium on Theory of Computing,2001,STOC 2001,STOC,6-Jun-2001,8-Jun-2001,230,83,36.1%,Crete,,Greece,Theory of Computing,Symposium,acm-stoc.org/stoc2001/,ACM,
32nd Annual ACM SIGACT Symposium on Theory of Computing,2000,STOC 2000,STOC,21-May-2000,23-May-2000,182,85,46.7%,Portland,Oregon,USA,Theory of Computing,Symposium,acm-stoc.org/stoc2000/,ACM,
31st Annual ACM SIGACT Symposium on Theory of Computing,1999,STOC 1999,STOC,1-May-1999,4-May-1999,,,,Atlanta,Georgia,USA,Theory of Computing,Symposium,acm-stoc.org/stoc1999/,ACM,
30th Annual ACM SIGACT Symposium on Theory of Computing,1998,STOC 1998,STOC,23-May-1998,26-May-1998,169,75,44.4%,Dallas,Texas,USA,Theory of Computing,Symposium,acm-stoc.org/stoc1998/,ACM,
29th Annual ACM SIGACT Symposium on Theory of Computing,1997,STOC 1997,STOC,4-May-1997,6-May-1997,211,75,35.5%,El Paso,Texas,USA,Theory of Computing,Symposium,acm-stoc.org/stoc1997/,ACM,
28th Annual ACM SIGACT Symposium on Theory of Computing,1996,STOC 1996,STOC,22-May-1996,24-May-1996,201,74,36.8%,Philadephia,Pennsylvania,USA,Theory of Computing,Symposium,acm-stoc.org/stoc1996/,ACM,
27th Annual ACM SIGACT Symposium on Theory of Computing,1995,STOC 1995,STOC,29-May-1995,1-Jun-1995,,,,Las Vegas,,USA,Theory of Computing,Symposium,acm-stoc.org/stoc1995/,ACM,
26th Annual ACM SIGACT Symposium on Theory of Computing,1994,STOC 1994,STOC,23-May-1994,25-May-1994,,,,Montréal,Québec,Canada,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc94.html,ACM,
25th Annual ACM SIGACT Symposium on Theory of Computing,1993,STOC 1993,STOC,16-May-1993,18-May-1993,,,,San Diego,California,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc93.html,ACM,
24th Annual ACM SIGACT Symposium on Theory of Computing,1992,STOC 1992,STOC,4-May-1992,6-May-1992,,,,Victoria,British Columbia,Canada,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc92.html,ACM,
23rd Annual ACM SIGACT Symposium on Theory of Computing,1991,STOC 1991,STOC,5-May-1991,8-May-1991,,,,New Orleans,Louisiana,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc91.html,ACM,
22nd Annual ACM SIGACT Symposium on Theory of Computing,1990,STOC 1990,STOC,13-May-1990,17-May-1990,214,59,27.6%,Baltimore,Maryland,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc90.html,ACM,
21st Annual ACM SIGACT Symposium on Theory of Computing,1989,STOC 1989,STOC,14-May-1989,17-May-1989,196,56,28.6%,Seattle,Washigton,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc89.html,ACM,
20th Annual ACM SIGACT Symposium on Theory of Computing,1988,STOC 1988,STOC,2-May-1988,4-May-1988,192,53,27.6%,Chicago,Illinois,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc88.html,ACM,
19th Annual ACM SIGACT Symposium on Theory of Computing,1987,STOC 1987,STOC,,,165,50,30.3%,New York,New York,USA,Theory of Computing,Symposium,dblp.uni-trier.de/db/conf/stoc/stoc87.html,ACM,
