Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],Event[Sponsors],Event[Publisher]
The Conference on Uncertainty in Artificial Intelligence,2018,UAI 2018,UAI,6-Aug-2018,10-Aug-2018,,,,Monterey,California,USA,Artificial Intelligence,Conference,http://auai.org/uai2018/index.php,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2017,UAI 2017,UAI,11-Aug-2017,15-Aug-2017,282,87,30.9%,Sydney,,Australia,Artificial Intelligence,Conference,http://auai.org/uai2017/index.php,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2016,UAI 2016,UAI,25-Jun-2016,29-Jun-2016,275,85,30.9%,Newyork,,USA,Artificial Intelligence,Conference,http://www.auai.org/uai2016/index.php,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2015,UAI 2015,UAI,12-Jul-2015,16-Jul-2015,291,99,34.0%,Amsterdam,,The Netherland,Artificial Intelligence,Conference,http://auai.org/uai2015/,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2014,UAI 2014,UAI,23-Jul-2014,27-July-2014,292,94,32.2%,Quebec City,,Canada,Artificial Intelligence,Conference,http://auai.org/uai2014/,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2013,UAI 2013,UAI,12-Jul-2013,14-Jul-2013,233,73,31.3%,Bellevue,Washington,USA,Artificial Intelligence,Conference,http://auai.org/uai2013/,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2012,UAI 2012,UAI,15-Aug-2012,17-Aug-2012,304,94,30.9%,Catalina Island,,USA,Artificial Intelligence,Conference,http://www.auai.org/uai2012/,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2011,UAI 2011,UAI,14-Jul-2011,17-Jul-2011,285,96,33.7%,Barcelona,,spain,Artificial Intelligence,Conference,http://auai.org/uai2011/,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2010,UAI 2010,UAI,8-Jul-2010,11-Jul-2010,260,88,33.8%,Catalina Island,California,USA,Artificial Intelligence,Conference,https://event.cwi.nl/uai2010/,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2009,UAI 2009,UAI,18-Jul-2009,21-Jul-2009,243,76,31.3%,Montreal,,Canada,Artificial Intelligence,Conference,https://www.cs.mcgill.ca/~uai2009/,,IEEE
The Conference on Uncertainty in Artificial Intelligence,2008,UAI 2008,UAI,9-Jul-2008,12-Jul-2008,256,72,28.1%,Helsinki,,Finland,Artificial Intelligence,Conference,http://www.auai.org/uai2008/,,IEEE
