Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,EVENT[PUBLISHER],Event[Sponsors]
ACM International Joint Conference on pervasive and Ubiquitous Computing,2018,UBICOMP 2018,UBICOMP,8-Oct-2018,12-Oct-2018,,,,,,Singapore,Pervasive and Ubiquitous Computing, Conference,http://ubicomp.org/ubicomp2018/,,ACM,Nokia
ACM International Joint Conference on pervasive and Ubiquitous Computing,2017,UBICOMP 2017,UBICOMP,11-Sep-2017,15-Sep-2017,196,38,19.39%,Maul,,Hawaii,Pervasive and Ubiquitous Computing, Conference,http://ubicomp.org/ubicomp2017/,,ACM,NSF
ACM International Joint Conference on pervasive and Ubiquitous Computing,2016,UBICOMP 2016,UBICOMP,12-Sep-2016,16-Sep-2016,389,101,26%,Heidelberg,,Germany,Pervasive and Ubiquitous Computing, Conference,http://ubicomp.org/ubicomp2016/index.php,,ACM,Intel
ACM International Joint Conference on pervasive and Ubiquitous Computing,2015,UBICOMP 2015,UBICOMP,7-Sep-2015,11-Sep-2015,394,101,25.63%,Osaka,,Japan,Pervasive and Ubiquitous Computing, Conference,http://ubicomp.org/ubicomp2015/index.html,,ACM,Panasonic
ACM International Joint Conference on pervasive and Ubiquitous Computing,2014,UBICOMP 2014,UBICOMP,13-Sep-2014,17-Sep-2014,454,71,16%,Seattle,Washington,USA,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2014/,,ACM,Google
ACM International Joint Conference on pervasive and Ubiquitous Computing,2013,UBICOMP 2013,UBICOMP,8-Sep-2013,12-Sep-2013,394,92,23%,Zurich,,switzerland,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2013/,,ACM,Google
ACM International Joint Conference on pervasive and Ubiquitous Computing,2012,UBICOMP 2012,UBICOMP,5-Sep-2012,8-Sep-2012,301,58,19%,Pittsburgh,Pennsylvania,USA,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2012/,,ACM,Nsf
ACM International Joint Conference on pervasive and Ubiquitous Computing,2011,UBICOMP 2011,UBICOMP,17-Sep-2011,21-Sep-2011,302,50,17%,Beijing,,China,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2011/,,ACM,SIGCHI
ACM International Joint Conference on pervasive and Ubiquitous Computing,2010,UBICOMP 2010,UBICOMP,26-Sep-2010,29-Sep-2010,202,39,19%,Copenhagen,,Denmark,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2010/,,ACM,SIGCHI
ACM International Joint Conference on pervasive and Ubiquitous Computing,2009,UBICOMP 2009,UBICOMP,30-Sep-2009,3-Oct-2009,251,31,12%,Orlando,,Florida,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2009/,,ACM,SIGCHI
ACM International Joint Conference on pervasive and Ubiquitous Computing,2008,UBICOMP 2008,UBICOMP,21-Sep-2008,24-Sep-2008,226,42,19%,COEX,Seoul,south Korea,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2008/,,ACM,
ACM International Joint Conference on pervasive and Ubiquitous Computing,2007,UBICOMP 2007,UBICOMP,16-Sep-2007,19-Sep-2007,152,29,19%,Innsbruck,,Austria,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2007/,,ACM,
 International Conference on Ubiquitous Computing,2006,UBICOMP 2006,UBICOMP,17-Sep-2006,21-Sep-2006,204,30,15%,Orange Country,,USA,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2006/,,ACM,
 International Conference on Ubiquitous Computing,2005,UBICOMP 2005,UBICOMP,11-Sep-2005,14-Sep-2005,230,22,9%,Tokyo,,Japan,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2005/,,ACM,
 International Conference on Ubiquitous Computing,2004,UBICOMP 2004,UBICOMP,7-Sep-2004,10-Sep-2004,144,26,18%,Nottingham,,England,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2004/,,ACM,
 International Conference on Ubiquitous Computing,2003,UBICOMP 2003,UBICOMP,12-Oct-2003,15-Oct-2003,117,16,14%,Seattle,Washington,USA,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2003/,,ACM,
 International Conference on Ubiquitous Computing,2002,UBICOMP 2002,UBICOMP,29-Sep-2002,1-Oct-2002,136,15,11%,Goteborg,,Sweden,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2002/,,ACM,
international symposium on Handheld and Ubiquitous Computing ,2001,UBICOMP 2001,UBICOMP,30-Sep-2001,2-Oct-2001,90,14,15%,Georgia,,USA,Pervasive and Ubiquitous Computing, Conference,http://www.ubicomp.org/ubicomp2001/,,ACM,
international symposium on Handheld and Ubiquitous Computing ,2000,UBICOMP 2000,UBICOMP,25-Sep-2000,27-Sep-2000,,,,Bristol,,UK,Pervasive and Ubiquitous Computing,Symposium,https://dl.acm.org/citation.cfm?id=647986&picked=prox,,ACM,
