Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Acceptance Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Event[Publisher],EVENT[Sponsors]
31st ACM Symposium on USer Interface Software and Technology,2018,UIST 2018,UIST,14-Oct-2018,17-Oct-2018,,,,Berlin,,Germany,Computer Vision,Symposium,uist.acm.org/uist2018/,IEEE,HPI
30th ACM Symposium on USer Interface Software and Technology,2017,UIST 2017,UIST,22-Oct-2017,25-Oct-2017,324,73,22.5%,Quebec City,,Canada,Computer Vision,Symposium,uist.acm.org/uist2017/,IEEE,Autodesk
29th ACM Symposium on USer Interface Software and Technology,2016,UIST 2016,UIST,16-Oct-2016,19-Oct-2016,384,79,20.6%,Tokyo,,Japan,Computer Vision,Symposium,uist.acm.org/uist2016/,IEEE,Autodesk
28th ACM Symposium on USer Interface Software and Technology,2015,UIST 2015,UIST,8-Nov-2015,11-Nov-2015,297,70,23.6%,Charlotte,,USA,Computer Vision,Symposium,uist.acm.org/uist2015/,IEEE,Autodesk
27th ACM Symposium on USer Interface Software and Technology,2014,UIST 2014,UIST,5-Oct-2014,8-Oct-2014,333,74,22.2%,Honolulo,,USA,Computer Vision,Symposium,uist.acm.org/uist2014/,IEEE,Autodesk
26th ACM Symposium on USer Interface Software and Technology,2013,UIST 2013,UIST,8-Oct-2013,11-Oct-2013,317,62,19.6%,St Andrews,Scotland,UK,Computer Vision,Symposium,uist.acm.org/uist2013/,IEEE,Autodesk
25th ACM Symposium on USer Interface Software and Technology,2012,UIST 2012,UIST,7-Oct-2012,10-Oct-2012,288,62,21.5%,Cambridge,,USA,Computer Vision,Symposium,uist.acm.org/uist2012/,IEEE,Autodesk
24th ACM Symposium on USer Interface Software and Technology,2011,UIST 2011,UIST,16-Oct-2011,19-Oct-2011,262,67,25.6%,Santa Barbara,,USA,Computer Vision,Symposium,uist.acm.org/uist2011/,IEEE,Autodesk
23rd ACM Symposium on USer Interface Software and Technology,2010,UIST 2010,UIST,3-Oct-2010,6-Oct-2010,207,38,18.4%,New York,,USA,Computer Vision,Symposium,uist.acm.org/uist2010/,IEEE,Autodesk
22nd ACM Symposium on USer Interface Software and Technology,2009,UIST 2009,UIST,4-Oct-2009,7-Oct-2009,183,33,18.0%,Victoria,,USA,Computer Vision,Symposium,uist.acm.org/uist2009/,IEEE,Autodesk
21st ACM Symposium on USer Interface Software and Technology,2008,UIST 2008,UIST,19-Oct-2008,20-Oct-2008,115,25,21.7%,Montery,,USA,Computer Vision,Symposium,uist.acm.org/uist2008/,IEEE,Autodesk
20th ACM Symposium on USer Interface Software and Technology,2007,UIST 2007,UIST,7-Oct-2007,10-Oct-2007,129,24,18.6%,Newport,,UK,Computer Vision,Symposium,uist.acm.org/uist2007/,IEEE,ACM
19th ACM Symposium on USer Interface Software and Technology,2006,UIST 2006,UIST,15-Oct-2006,18-Oct-2006,177,40,22.6%,Montreux,,Switzerland,Computer Vision,Symposium,uist.acm.org/uist2006/,IEEE,ACM
18th ACM Symposium on USer Interface Software and Technology,2005,UIST 2005,UIST,23-Oct-2005,26-Oct-2005,159,31,19.5%,Seattle,,USA,Computer Vision,Symposium,uist.acm.org/uist2005/,IEEE,ACM
17th ACM Symposium on USer Interface Software and Technology,2004,UIST 2004,UIST,24-Oct-2004,27-Oct-2004,170,36,21.2%,Santa Fe,,USA,Computer Vision,Symposium,uist.acm.org/uist2004/,IEEE,ACM
16th ACM Symposium on USer Interface Software and Technology,2003,UIST 2003,UIST,2-Nov-2003,5-Nov-2003,116,25,21.6%,Vancouver,,Canada,Computer Vision,Symposium,uist.acm.org/uist2003/,IEEE,Microsoft
