Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Acceptance Rate],Event[City],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],EVENT[SPONSORS],,,,,,,,,,
28th Usenix Security Symposium,2019,USENIX 2019,USENIX,14-Aug-2019,16-Aug-2019,,,,Santa Clara,USA,Computer Security,Symposium,,USENIX,FACEBOOK,,,,,,,,,,
27th Usenix Security Symposium,2018,USENIX 2018,USENIX,15-Aug-2018,17-Aug-2018,,,,Baltimore,USA,Computer Security,Symposium,www.usenix.org/conference/usenixsecurity18,USENIX,FACEBOOK,,,,,,,,,,
26th Usenix Security Symposium,2017,USENIX 2017,USENIX,16-Aug-2017,18-Aug-2017,572,85,14.9%,Vancouver,Canada,Computer Security,Symposium,www.usenix.org/conference/usenixsecurity17,USENIX,Google,,,,,,,,,,
25th Usenix Security Symposium,2016,USENIX 2016,USENIX,10-Aug-2016,12-Aug-2016,468,72,15.4%,Austin,USA,Computer Security,Symposium,www.usenix.org/conference/usenixsecurity16,USENIX,FACEBOOK,,,,,,,,,,
24th Usenix Security Symposium,2015,USENIX 2015,USENIX,12-Aug-2015,14-Aug-2015,426,198,46.5%,Washington,USA,Computer Security,Symposium,www.usenix.org/conference/usenixsecurity15,USENIX,Google,,,,,,,,,,
23rd Usenix Security Symposium,2014,USENIX 2014,USENIX,20-Aug-2014,22-Aug-2014,350,67,19.1%,San Diego,USA,Computer Security,Symposium,www.usenix.org/conference/usenixsecurity14,USENIX,Google,,,,,,,,,,
22nd Usenix Security Symposium,2013,USENIX 2013,USENIX,14-Aug-2013,16-Aug-2013,277,44,15.9%,Washington,USA,Computer Security,Symposium,www.usenix.org/conference/usenixsecurity13,USENIX,Google,,,,,,,,,,
21th Usenix Security Symposium,2012,USENIX 2012,USENIX,8-Aug-2012,10-Aug-2012,222,42,18.9%,Bellevue,USA,Computer Security,Symposium,www.usenix.org/conference/usenixsecurity12,USENIX,Google,,,,,,,,,,
20th Usenix Security Symposium,2011,USENIX 2011,USENIX,8-Aug-2011,12-Aug-2011,206,35,17.0%,San Francisco,USA,Computer Security,Symposium,www.usenix.org/legacy/events/sec11/,USENIX,Google,,,,,,,,,,
19th Usenix Security Symposium,2010,USENIX 2010,USENIX,11-Aug-2010,13-Aug-2010,207,30,14.5%,Washington,USA,Computer Security,Symposium,www.usenix.org/legacy/events/sec10/,USENIX,Microsoft,,,,,,,,,,
18th Usenix Security Symposium,2009,USENIX 2009,USENIX,10-Aug-2009,14-Aug-2009,176,26,14.8%,Montreal,Canada,Computer Security,Symposium,www.usenix.org/legacy/events/sec09/,USENIX,,,,,,,,,,,
17th Usenix Security Symposium,2008,USENIX 2008,USENIX,28-Jul-2008,1-Aug-2008,174,27,15.5%,San Jose,USA,Computer Security,Symposium,www.usenix.org/legacy/events/sec08/,USENIX,,,,,,,,,,,
16th Usenix Security Symposium,2007,USENIX 2007,USENIX,6-Aug-2007,10-Aug-2007,187,23,12.3%,Boston,USA,Computer Security,Symposium,www.usenix.org/legacy/events/sec07/,USENIX,,,,,,,,,,,
15th Usenix Security Symposium,2006,USENIX 2006,USENIX,31-Jul-2006,4-Aug-2006,179,22,12.3%,Vancouver,Canada,Computer Security,Symposium,www.usenix.org/legacy/events/sec06/,USENIX,,,,,,,,,,,
14th Usenix Security Symposium,2005,USENIX 2005,USENIX,31-Jul-2005,5-Aug-2005,149,22,14.8%,,USA,Computer Security,Symposium,www.usenix.org/legacy/publications/library/proceedings/sec05/,USENIX,,,,,,,,,,,
13th Usenix Security Symposium,2004,USENIX 2004,USENIX,9-Aug-2004,13-Aug-2004,184,22,12.0%,San Diego,USA,Computer Security,Symposium,www.usenix.org/legacy/publications/library/proceedings/sec04/,USENIX,,,,,,,,,,,
