Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,Event[Sponsors],Event[Publisher],,,,,,,,,
International Conference on Very Large Databases,2018,VLDB 2018,VLDB,27-Aug-2018,31-Aug-2018,,,,Rio De Janiero,,Brazil,Database,Conference,http://vldb2018.lncc.br/,,GOOGlE,ACM,,,,,,,,,
International Conference on Very Large Databases,2017,VLDB 2017,VLDB,28-Aug-2017,1-Sep-2017,1188,221,18.6%,Munich,,Germany,Database,Conference,www.vldb.org/2017/,,GOOGlE,ACM,,,,,,,,,
International Conference on Very Large Databases,2016,VLDB 2016,VLDB,5-Sep-2016,9-Sep-2016,527,187,35.5%,New Delhi,,India,Database,Conference,vldb2016.persistent.com/,,Infosys,ACM,,,,,,,,,
International Conference on Very Large Databases,2015,VLDB 2015,VLDB,31-Aug-2015,4-Sep-2015,710,151,21.3%,Kohala Coast,Hawaii,USA,Database,Conference,www.vldb.org/2015/,,Microsoft,ACM,,,,,,,,,
International Conference on Very Large Databases,2014,VLDB 2014,VLDB,1-Sep-2014,5-Sep-2014,1305,261,20.0%,Hangzhou,,China,Database,Conference,www.vldb.org/2014/,,Microsoft,ACM,,,,,,,,,
International Conference on Very Large Databases,2013,VLDB 2013,VLDB,26-Aug-2013,30-Aug-2013,559,127,22.7%,Riva del Garda,Trento,Italy,Database,Conference,www.vldb.org/2013/,,GOOGlE,ACM,,,,,,,,,
International Conference on Very Large Databases,2012,VLDB 2012,VLDB,27-Aug-2012,31-Aug-2012,659,134,20.3%,Istanbul,,Turkey,Database,Conference,www.vldb.org/archives/website/2012/,,GOOGlE,ACM,,,,,,,,,
International Conference on Very Large Databases,2011,VLDB 2011,VLDB,29-Aug-2011,3-Sep-2011,553,100,18.1%,Seattle,Washington,USA,Database,Conference,www.vldb.org/2011/,,GOOGlE,ACM,,,,,,,,,
International Conference on Very Large Databases,2010,VLDB 2010,VLDB,13-Sep-2010,17-Sep-2010,478,84,17.6%,Singapore,,Singapore,Database,Conference,vldb2010.org/,,SMU,ACM,,,,,,,,,
International Conference on Very Large Databases,2009,VLDB 2009,VLDB,24-Aug-2009,28-Aug-2009,562,97,17.3%,Lyon,,France,Database,Conference,vldb2009.org/,,Oracle,ACM,,,,,,,,,
International Conference on Very Large Databases,2008,VLDB 2008,VLDB,24-Aug-2008,30-Aug-2008,567,95,16.8%,Auckland,,New Zealand,Database,Conference,www.vldb.org/archives/website/2008/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,2007,VLDB 2007,VLDB,23-Sep-2007,27-Sep-2007,538,91,16.9%,Vienna,,Austria,Database,Conference,www.vldb.org/archives/website/2007/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,2006,VLDB 2006,VLDB,12-Sep-2006,15-Sep-2006,626,83,13.3%,Seoul,,Korea,Database,Conference,www.vldb.org/archives/website/2006/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,2005,VLDB 2005,VLDB,30-Aug-2005,2-Sep-2005,517,85,16.4%,Trondheim,,Norway,Database,Conference,www.vldb.org/archives/website/2005/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,2004,VLDB 2004,VLDB,31-Aug-2004,3-Sep-2004,504,98,19.4%,Toronto,Ontario,Canada,Database,Conference,www.vldb.org/archives/website/2004/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,2003,VLDB 2003,VLDB,9-Sep-2003,12-Sep-2003,457,84,18.4%,Berlin,,Germany,Database,Conference,www.vldb.org/archives/website/2003/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,2002,VLDB 2002,VLDB,20-Aug-2002,23-Aug-2002,468,84,17.9%,Hong Kong,,China,Database,Conference,www.vldb.org/archives/website/2002/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,2001,VLDB 2001,VLDB,11-Sep-2001,14-Sep-2001,339,59,17.4%,Roma,,Italy,Database,Conference,www.vldb.org/archives/website/2001/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,2000,VLDB 2000,VLDB,10-Sep-2000,14-Sep-2000,351,53,15.1%,Cairo,,Egypt,Database,Conference,www.vldb.org/archives/website/2000/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1999,VLDB 1999,VLDB,7-Sep-1999,10-Sep-1999,390,57,14.6%,Edinburgh,,Scotland,Database,Conference,www.vldb.org/archives/website/1999/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1998,VLDB 1998,VLDB,24-Aug-1998,27-Aug-1998,327,52,15.9%,New York,,USA,Database,Conference,www.vldb.org/archives/website/1998/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1997,VLDB 1997,VLDB,25-Aug-1997,29-Aug-1997,335,51,15.2%,Athens,,Greece,Database,Conference,www.vldb.org/archives/website/1997/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1996,VLDB 1996,VLDB,3-Sep-1996,6-Sep-1996,340,48,14.1%,Bombay,,India,Database,Conference,www.vldb.org/archives/website/1996/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1995,VLDB 1995,VLDB,11-Sep-1995,15-Sep-1995,297,52,17.5%,Zurich,,Switzerland,Database,Conference,www.vldb.org/archives/website/1995/,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1994,VLDB 1994,VLDB,12-Sep-1994,15-Sep-1994,293,54,18.4%,Santiago de Chile,,Chile,Database,Conference,http://dblp.uni-trier.de/db/conf/vldb/vldb94.html,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1993,VLDB 1993,VLDB,24-Aug-1993,27-Aug-1993,311,54,17.4%,Dublin,,Ireland,Database,Conference,dblp.uni-trier.de/db/conf/vldb/vldb93.html,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1992,VLDB 1992,VLDB,23-Aug-1992,27-Aug-1992,,,,Vancouver,British Columbia,Canada,Database,Conference,dblp.uni-trier.de/db/conf/vldb/vldb92.html,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1991,VLDB 1991,VLDB,3-Sep-1991,6-Sep-1991,,,,Barcelona,Catalonia,Spain,Database,Conference,dblp.uni-trier.de/db/conf/vldb/vldb91.html,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1990,VLDB 1990,VLDB,13-Aug-1990,16-Aug-1990,,,,Brisbane,Queensland,Australia,Database,Conference,dblp.uni-trier.de/db/conf/vldb/vldb90.html,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1989,VLDB 1989,VLDB,22-Aug-1989,25-Aug-1989,,,,Amsterdam,,The Netherlands,Database,Conference,dblp.uni-trier.de/db/conf/vldb/vldb89.html,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1988,VLDB 1988,VLDB,29-Aug-1988,1-Sep-1988,,,,Los Angeles,California,USA,Database,Conference,dblp.uni-trier.de/db/conf/vldb/vldb88.html,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1987,VLDB 1987,VLDB,1-Sep-1987,4-Sep-1987,,,,Brighton,,England,Database,Conference,dblp.uni-trier.de/db/conf/vldb/vldb87.html,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1986,VLDB 1986,VLDB,25-Aug-1986,28-Aug-1986,,,,Kyoto,,Japan,Database,Conference,dblp.uni-trier.de/db/conf/vldb/vldb86.html,,,ACM,,,,,,,,,
International Conference on Very Large Databases,1985,VLDB 1985,VLDB,21-Aug-1985,23-Aug-1985,,,,Stockholm,,Sweden,Database,Conference,dblp.uni-trier.de/db/conf/vldb/vldb85.html,,,ACM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
