Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],Events[sponsors],Event[Publisher],,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2019,IEEE VR 2019,IEEE VR,23-Mar-2019,27-Mar-2019,,,,Osaka,,Japan,Virtual and Augmented Reality,Conference,http://ieeevr.org/2019/,,IEEE,,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2018,IEEE VR 2018,IEEE VR,18-Mar-2018,22-Mar-2018,,,,Reutlingen,,Germany,Virtual and Augmented Reality,Conference,ieeevr.org/2018/,SIGCHI,IEEE,,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2017,IEEE VR 2017,IEEE VR,18-Mar-2017,22-Mar-2017,174,39,22.4%,Los Angeles,California,USA,Virtual and Augmented Reality,Conference,www.ieeevr.org/2017/,DELL,IEEE,,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2016,IEEE VR 2016,IEEE VR,19-Mar-2016,23-Mar-2016,135,28,20.7%,Greenville,South Carolina,USA,Virtual and Augmented Reality,Conference,ieeevr.org/2016/,INTEL,IEEE,,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2015,IEEE VR 2015,IEEE VR,23-Mar-2015,27-Mar-2015,147,32,21.8%,Arles,,France,Virtual and Augmented Reality,Conference,ieeevr.org/2015/,INTEL,IEEE,,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2014,IEEE VR 2014,IEEE VR,29-Mar-2014,2-Apr-2014,116,28,24.1%,Minneapolis,,USA,Virtual and Augmented Reality,Conference,ieeevr.org/2014/,NSF,IEEE,,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2013,IEEE VR 2013,IEEE VR,16-Mar-2013,23-Mar-2014,97,21,21.6%,Orlando,Florida,USA,Virtual and Augmented Reality,Conference,ieeevr.org/2013/,UCF,IEEE,,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2012,IEEE VR 2012,IEEE VR,4-Mar-2012,8-Mar-2012,95,15,15.8%,Orange County,California,USA,Virtual and Augmented Reality,Conference,conferences.computer.org/vr/2012/,CHRISTIE,IEEE,,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2011,IEEE VR 2011,IEEE VR,19-Mar-2011,23-Mar-2011,134,33,24.6%,Singapore,,Singapore,Virtual and Augmented Reality,Conference,conferences.computer.org/vr/2011/,IEEE,IEEE,,,,,,,,,,
IEEE Conference on Virtual Reality and 3D User Interfaces,2010,IEEE VR 2010,IEEE VR,20-Mar-2010,24-Mar-2010,161,41,25.5%,Waltham,,USA,Virtual and Augmented Reality,Conference,conferences.computer.org/vr/2010/,WPI,IEEE,,,,,,,,,,
