Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],,,EVENT[PUBLISHER],Event[Sponsor]
The Web conference,2019,WWW 2019,WWW,13-May-2019,17-May-2019,,,,San Francisco,California,USA,Semantic Web,Conference,https://www2019.thewebconf.org/,,,TheWeb,Google
The Web conference,2018,WWW 2018,WWW,23-Apr-2018,27-Apr-2018,,,,Lyon,,France,Semantic Web,Conference,https://www2018.thewebconf.org/,,,TheWeb,ECU
26th International Conference on World Wide Web,2017,WWW 2017,WWW,3-Apr-2017,7-Apr-2017,966,164,17%,Perth,,Australia,Semantic Web,Conference,www.www2017.com.au/,,,TheWeb,Microsoft
25th International Conference on World Wide Web,2016,WWW 2016,WWW,11-Apr-2016,15-Apr-2016,727,115,16%,Montreal,,Canada,Semantic Web,Conference,www2016.ca/,,,TheWeb,Microsoft
24th International Conference on World Wide Web,2015,WWW 2015,WWW,18-May-2015,22-May-2015,929,131,14%,Florence,,Italy,Semantic Web,Conference,www.www2015.it/,,,TheWeb,Microsoft
23rd International Conference on World Wide Web,2014,WWW 2014,WWW,7-Apr-2014,11-Apr-2014,645,84,13%,Seoul,,Korea,Semantic Web,Conference,www2014.wwwconference.org/,,,TheWeb,Google
22nd International Conference on World Wide Web,2013,WWW 2013,WWW,13-May-2013,17-May-2013,831,125,15%,Rio de Janeiro,,Brazil,Semantic Web,Conference,www2013.org/,,,TheWeb,OnlyLyon
21st International Conference on World Wide Web,2012,WWW 2012,WWW,16-Apr-2012,20-Apr-2012,885,108,12%,Lyon,,France,Semantic Web,Conference,www.wwwconference.org/www2012/,,,TheWeb,Infosys
20th International Conference on World Wide Web,2011,WWW 2011,WWW,28-Mar-2011,1-Apr-2011,658,81,12%,Hyderabad,,India,Semantic Web,Conference,www2011.wwwconference.org/,,,TheWeb,Google
19th International Conference on World Wide Web,2010,WWW 2010,WWW,26-Apr-2010,30-Apr-2010,754,105,14%,Raleigh,North Carolina,USA,Semantic Web,Conference,www2010.org/www/,,,TheWeb,Google
18th International Conference on World Wide Web,2009,WWW 2009,WWW,20-Apr-2009,24-Apr-2009,823,198,24%,Madrid,,Spain,Semantic Web,Conference,www2009.org/,,,TheWeb,
17th International Conference on World Wide Web,2008,WWW 2008,WWW,21-Apr-2008,25-Apr-2008,880,103,12%,Beijing,,China,Semantic Web,Conference,wwwconference.org/www2008/,,,TheWeb,
16th International Conference on World Wide Web,2007,WWW 2007,WWW,8-May-2007,12-May-2007,753,111,15%,Banff,Alberta,Canada,Semantic Web,Conference,www.www2007.org/,,,TheWeb,
15th International Conference on World Wide Web,2006,WWW 2006,WWW,23-May-2006,25-May-2006,667,75,11%,Edinburgh,Scotland,UK,Semantic Web,Conference,www2006.org/,,,TheWeb,
14th International Conference on World Wide Web,2005,WWW 2005,WWW,10-May-2005,14-May-2005,550,77,14%,Chiba,,Jaban,Semantic Web,Conference,www2005.wwwconference.org/,,,TheWeb,
13th International Conference on World Wide Web,2004,WWW 2004,WWW,17-May-2004,22-May-2004,506,74,15%,Manhattan,New York,USA,Semantic Web,Conference,www2004.org/,,,TheWeb,
12th International Conference on World Wide Web,2003,WWW 2003,WWW,20-May-2003,24-May-2003,602,77,13%,Budapest,,Hungary,Semantic Web,Conference,www2003.org/,,,TheWeb,
11th International Conference on World Wide Web,2002,WWW 2002,WWW,7-May-2002,11-May-2002,454,72,16%,Honolulu,Hawaii,USA,Semantic Web,Conference,wwwconference.org/proceedings/www2002/,,,TheWeb,
10th International Conference on World Wide Web,2001,WWW 2001,WWW,1-May-2001,5-May-2001,391,78,20%,Hong Kong,,China,Semantic Web,Conference,www10.wwwconference.org/,,,TheWeb,
9th International Conference on World Wide Web,2000,WWW 2000,WWW,15-May-2000,19-May-2000,280,57,20%,Amsterdam,,The Netherlands,Semantic Web,Conference,www9.org/,,,TheWeb,
8th International Conference on World Wide Web,1999,WWW 1999,WWW,11-May-1999,14-May-1999,304,48,16%,Toronto,,Canada,Semantic Web,Conference,www8.org/,,,TheWeb,
7th International Conference on World Wide Web,1998,WWW 1998,WWW,14-Apr-1998,18-Apr-1998,250,54,22%,,Brisbane,Australia,Semantic Web,Conference,www7.wwwconference.org/00/index.htm,,,TheWeb,
6th International Conference on World Wide Web,1997,WWW 1997,WWW,7-Apr-1997,11-Apr-1997,276,62,22%,Santa Clara,California,USA,Semantic Web,Conference,www6.wwwconference.org/,,,TheWeb,
5th International Conference on World Wide Web,1996,WWW 1996,WWW,6-May-1996,10-May-1996,210,58,28%,Paris,,France,Semantic Web,Conference,www.w3.org/Conferences/WWW5/,,,TheWeb,
4th International Conference on World Wide Web,1995,WWW 1995,WWW,11-Dec-1995,14-Dec-1995,189,59,31%,Boston,Massachusetts,USA,Semantic Web,Conference,www.w3.org/Conferences/WWW4/,,,TheWeb,
3rd International Conference on World Wide Web,1995,WWW 1995,WWW,,,,,,Darmstadt,,Germany,Semantic Web,Conference,,,,TheWeb,
2nd International Conference on World Wide Web,1994,WWW 1994,WWW,,,,,,Chicago,Illinois,USA,Semantic Web,Conference,,,,TheWeb,
1st International Conference on World Wide Web,1994,WWW 1994,WWW,25-May-1994,27-May-1994,,50,,Cern,,Switzerland,Semantic Web,Conference,www94.web.cern.ch/WWW94/,,,TheWeb,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
